Date,Open,High,Low,Close,Volume
08/30/2021,"20.60","21.09","20.60","20.94","65,933"
08/27/2021,"20.74","20.89","20.50","20.64","79,572"
08/26/2021,"20.68","20.99","20.66","20.89","90,710"
08/25/2021,"20.48","20.63","20.42","20.63","29,734"
08/24/2021,"20.58","20.70","20.42","20.52","33,797"
08/23/2021,"20.32","20.69","20.32","20.68","60,016"
08/20/2021,"20.20","20.36","20.14","20.26","56,079"
08/19/2021,"20.25","20.37","20.04","20.11","51,316"
08/18/2021,"20.70","20.75","20.49","20.58","106,441"
08/17/2021,"20.53","20.77","20.47","20.60","33,629"
08/16/2021,"20.46","20.74","20.26","20.62","44,562"
08/13/2021,"20.38","20.72","20.37","20.57","19,578"
08/12/2021,"20.42","20.60","20.24","20.43","50,524"
08/11/2021,"20.60","20.65","20.42","20.47","40,652"
08/10/2021,"20.43","20.69","20.30","20.50","53,688"
08/09/2021,"20.39","20.42","20.10","20.39","67,139"
08/06/2021,"20.10","20.65","19.99","20.40","158,527"
08/05/2021,"19.31","19.56","19.11","19.50","99,103"
08/04/2021,"19.70","19.93","19.24","19.26","245,217"
08/03/2021,"19.54","19.80","19.39","19.76","98,282"
08/02/2021,"19.25","19.90","19.25","19.73","84,232"
07/30/2021,"18.75","19.02","18.75","18.91","64,854"
07/29/2021,"18.79","19.03","18.57","18.67","98,622"
07/28/2021,"18.18","18.84","18.18","18.76","107,512"
07/27/2021,"18.05","18.07","17.80","18.01","33,629"
07/26/2021,"18.23","18.31","17.91","18.01","109,258"
07/23/2021,"18.21","18.50","18.09","18.29","61,175"
07/22/2021,"17.80","18.09","17.64","18.06","221,095"
07/21/2021,"17.66","17.66","17.35","17.55","264,128"
07/20/2021,"17.38","17.54","17.14","17.38","113,585"
07/19/2021,"17.75","18.00","17.62","17.70","175,803"
07/16/2021,"18.13","18.34","17.88","17.91","226,800"
07/15/2021,"18.43","18.44","17.64","17.91","129,812"
07/14/2021,"18.87","18.87","18.27","18.29","108,710"
07/13/2021,"18.70","18.96","18.66","18.75","141,353"
07/12/2021,"19.26","19.26","18.67","18.75","93,135"
07/09/2021,"19.24","19.38","19.07","19.27","298,096"
07/08/2021,"18.99","19.08","18.90","19.00","128,686"
07/07/2021,"19.38","19.45","18.91","18.94","150,401"
07/06/2021,"19.33","19.44","18.89","19.25","212,934"
07/02/2021,"19.64","19.68","19.04","19.16","341,809"
07/01/2021,"19.60","19.96","19.56","19.68","428,357"
06/30/2021,"19.32","19.32","18.94","19.04","542,800"
06/29/2021,"19.73","20.03","19.35","19.53","501,757"
06/28/2021,"19.67","19.88","19.34","19.53","216,723"
06/25/2021,"19.29","19.65","19.05","19.20","133,268"
06/24/2021,"19.06","19.30","19.05","19.25","144,046"
06/23/2021,"19.06","19.06","18.82","18.84","90,781"
06/22/2021,"18.83","19.00","18.81","18.94","30,080"
06/21/2021,"18.77","19.04","18.68","18.95","125,482"
06/18/2021,"18.82","18.98","18.71","18.77","157,641"
06/17/2021,"18.84","19.34","18.84","19.28","184,717"
06/16/2021,"18.95","19.05","18.66","18.69","165,984"
06/15/2021,"18.72","18.72","18.50","18.52","197,411"
06/14/2021,"18.79","18.82","18.55","18.60","53,731"
06/11/2021,"18.57","18.86","18.29","18.47","245,944"
06/10/2021,"18.88","19.25","18.79","19.10","262,862"
06/09/2021,"19.16","19.31","19.03","19.03","222,863"
06/08/2021,"19.27","19.45","19.15","19.38","300,260"
06/07/2021,"19.28","19.62","19.20","19.35","156,924"
06/04/2021,"19.51","19.51","19.24","19.38","296,179"
06/03/2021,"19.74","20.30","19.25","19.49","800,550"
06/02/2021,"19.22","22.60","19.22","20.67","1,415,175"
06/01/2021,"19.73","19.85","19.34","19.45","156,694"
05/28/2021,"19.98","20.32","19.98","20.10","286,950"
05/27/2021,"20.06","20.38","20.01","20.06","64,663"
05/26/2021,"20.20","20.42","19.99","20.41","103,603"
05/25/2021,"19.97","20.21","19.85","20.09","125,937"
05/24/2021,"19.85","20.03","19.76","19.78","38,309"
05/21/2021,"20.13","20.13","19.88","19.95","75,105"
05/20/2021,"20.09","20.19","20.03","20.12","58,595"
05/19/2021,"19.87","20.10","19.82","19.93","313,087"
05/18/2021,"19.93","21.11","19.82","20.62","313,433"
05/17/2021,"20.05","20.20","19.93","20.01","70,007"
05/14/2021,"19.81","20.45","19.70","20.11","78,093"
05/13/2021,"19.99","20.18","19.88","20.00","226,822"
05/12/2021,"20.52","20.61","20.06","20.40","271,914"
05/11/2021,"20.40","20.89","20.37","20.65","374,912"
05/10/2021,"20.94","21.23","20.87","21.10","160,285"
05/07/2021,"20.74","21.32","20.70","21.26","222,394"
05/06/2021,"20.61","20.88","20.54","20.75","489,857"
05/05/2021,"20.82","21.34","20.80","20.95","94,390"
05/04/2021,"21.51","21.51","20.75","20.98","187,320"
05/03/2021,"21.66","22.23","21.57","22.11","128,830"
04/30/2021,"21.13","21.51","21.06","21.44","103,052"
04/29/2021,"21.38","21.44","21.02","21.18","55,242"
04/28/2021,"21.00","21.30","20.91","21.16","98,856"
04/27/2021,"21.11","21.30","21.01","21.15","208,788"
04/26/2021,"20.75","21.07","20.59","21.07","62,682"
04/23/2021,"20.25","20.73","20.17","20.66","56,122"
04/22/2021,"20.19","20.48","20.08","20.38","54,569"
04/21/2021,"20.33","20.39","20.13","20.32","76,352"
04/20/2021,"20.08","20.31","19.96","20.13","91,988"
04/19/2021,"20.14","20.34","19.86","20.31","67,191"
04/16/2021,"19.89","20.10","19.84","20.02","35,401"
04/15/2021,"19.75","20.10","19.70","19.90","82,200"
04/14/2021,"19.68","19.88","19.51","19.56","136,914"
04/13/2021,"19.29","19.82","19.29","19.67","172,059"
04/12/2021,"19.45","19.74","19.31","19.43","126,442"
04/09/2021,"19.67","19.97","19.55","19.89","97,927"
04/08/2021,"19.89","20.00","19.54","19.70","108,461"
04/07/2021,"19.67","19.77","19.48","19.66","273,419"
04/06/2021,"19.36","19.83","19.10","19.69","217,195"
04/05/2021,"19.71","20.10","19.55","19.89","73,125"
04/01/2021,"19.41","19.81","19.41","19.76","71,774"
03/31/2021,"19.30","19.44","19.15","19.22","61,993"
03/30/2021,"19.50","19.50","19.10","19.25","83,042"
03/29/2021,"19.52","19.89","19.21","19.63","236,154"
03/26/2021,"19.70","19.89","19.51","19.89","37,234"
03/25/2021,"19.71","19.98","19.50","19.76","50,004"
03/24/2021,"20.26","20.26","19.64","19.76","74,020"
03/23/2021,"20.56","20.61","19.97","20.48","174,615"
03/22/2021,"20.68","21.18","20.22","20.75","1,213,597"
03/19/2021,"20.59","21.06","20.43","21.01","269,002"
03/18/2021,"20.77","21.12","20.53","20.53","1,122,950"
03/17/2021,"21.31","21.34","21.03","21.24","30,133"
03/16/2021,"21.51","21.59","21.29","21.40","40,338"
03/15/2021,"21.57","21.69","21.17","21.47","98,352"
03/12/2021,"21.12","21.38","20.87","21.12","89,939"
03/11/2021,"21.25","21.63","21.11","21.47","30,303"
03/10/2021,"20.82","20.90","20.38","20.77","44,244"
03/09/2021,"20.68","20.89","20.45","20.81","81,799"
03/08/2021,"19.62","20.07","19.51","19.70","461,425"
03/05/2021,"21.15","21.28","20.79","21.11","127,610"
03/04/2021,"21.50","21.68","20.96","21.13","97,417"
03/03/2021,"22.70","22.70","21.66","22.21","80,143"
03/02/2021,"22.33","22.98","22.22","22.92","229,314"
03/01/2021,"23.05","23.33","22.25","22.59","171,537"
02/26/2021,"23.32","23.99","23.12","23.83","71,376"
02/25/2021,"23.24","23.33","22.67","22.85","30,521"
02/24/2021,"23.12","23.16","22.24","22.46","50,057"
02/23/2021,"23.42","23.44","22.75","23.28","34,762"
02/22/2021,"23.89","23.96","23.32","23.58","96,383"
02/19/2021,"24.09","24.33","23.78","23.80","269,292"
02/18/2021,"23.87","24.38","23.63","24.30","253,737"
02/17/2021,"23.71","24.18","23.45","24.12","258,596"
02/16/2021,"23.79","23.91","23.43","23.77","40,451"
02/12/2021,"23.28","23.79","23.20","23.75","23,979"
02/11/2021,"23.36","23.41","22.95","22.97","271,203"
02/10/2021,"23.14","23.22","22.80","23.00","54,378"
02/09/2021,"23.21","23.41","23.04","23.05","51,380"
02/08/2021,"22.90","23.22","22.80","22.92","47,125"
02/05/2021,"22.26","23.23","22.26","22.65","41,018"
02/04/2021,"22.19","22.32","21.88","22.24","101,398"
02/03/2021,"22.52","22.52","22.08","22.08","82,479"
02/02/2021,"22.54","22.85","22.47","22.74","104,209"
02/01/2021,"22.88","22.88","22.48","22.65","114,643"
01/29/2021,"22.92","23.35","22.65","23.13","101,256"
01/28/2021,"22.72","23.28","22.55","23.16","26,254"
01/27/2021,"22.96","23.34","22.41","23.08","218,275"
01/26/2021,"23.48","23.68","22.09","22.38","182,058"
01/25/2021,"23.56","23.90","23.19","23.89","243,815"
01/22/2021,"23.17","23.90","22.49","23.59","80,553"
01/21/2021,"23.54","23.76","23.26","23.32","91,075"
01/20/2021,"23.33","23.80","23.24","23.52","166,258"
01/19/2021,"23.15","23.61","23.15","23.25","74,035"
01/15/2021,"23.18","23.64","22.96","23.00","97,831"
01/14/2021,"23.42","24.69","23.25","23.34","168,223"
01/13/2021,"22.89","24.02","22.66","23.58","246,911"
01/12/2021,"21.93","23.96","21.75","23.53","224,515"
01/11/2021,"20.76","21.46","20.40","21.35","116,981"
01/08/2021,"19.57","20.29","19.55","19.64","235,908"
01/07/2021,"19.87","20.41","19.51","19.65","706,448"
01/06/2021,"20.14","20.33","19.50","20.01","1,198,224"
01/05/2021,"20.33","20.34","19.90","20.29","78,621"
01/04/2021,"21.17","21.17","20.20","20.47","99,535"
12/31/2020,"22.03","22.03","20.70","21.55","241,520"
12/30/2020,"20.52","23.48","20.48","22.45","372,574"
12/29/2020,"20.30","20.68","20.20","20.30","410,859"
12/28/2020,"20.42","20.90","20.42","20.70","64,541"
12/24/2020,"20.26","20.37","20.00","20.30","14,396"
12/23/2020,"19.93","20.29","19.93","20.16","22,258"
12/22/2020,"19.62","20.09","19.48","19.92","865,120"
12/21/2020,"19.17","20.05","19.17","19.84","474,963"
12/18/2020,"19.57","19.92","19.32","19.64","117,293"
12/17/2020,"19.68","20.19","19.60","19.99","73,557"
12/16/2020,"19.65","19.90","19.47","19.69","75,005"
12/15/2020,"19.55","19.99","19.36","19.56","210,581"
12/14/2020,"19.12","19.70","19.12","19.57","31,605"
12/11/2020,"18.69","19.09","18.65","19.02","61,226"
