Date,Open,High,Low,Close,Volume
08/11/2021,"9.76","9.76","9.72","9.72","411"
08/10/2021,"9.72","9.72","9.72","9.72","58"
08/09/2021,"9.72","9.72","9.72","9.72","675"
08/06/2021,"9.77","9.78","9.75","9.75","1,751"
08/05/2021,"9.71","9.78","9.71","9.74","9,815"
08/04/2021,"9.70","9.72","9.70","9.71","14,732"
08/03/2021,"9.68","9.70","9.68","9.69","2,367"
08/02/2021,"9.66","9.70","9.63","9.70","6,413"
07/30/2021,"9.71","9.71","9.68","9.71","1,569"
07/29/2021,"9.72","9.74","9.71","9.71","2,153"
07/28/2021,"9.70","9.79","9.70","9.72","108,216"
07/27/2021,"9.75","9.78","9.66","9.74","8,671"
07/26/2021,"9.80","9.80","9.70","9.78","124,522"
07/23/2021,"9.79","9.83","9.79","9.83","1,295"
07/22/2021,"9.85","9.85","9.79","9.79","941"
07/21/2021,"9.86","9.86","9.81","9.81","324"
07/20/2021,"9.81","9.83","9.81","9.83","2,027"
07/19/2021,"9.79","9.84","9.79","9.83","2,092"
07/16/2021,"9.85","9.85","9.85","9.85","1,165"
07/15/2021,"9.80","9.85","9.80","9.85","1,131"
07/14/2021,"9.80","9.88","9.79","9.86","5,690"
07/13/2021,"9.88","9.88","9.88","9.88","35"
07/12/2021,"9.87","9.88","9.80","9.88","3,632"
07/09/2021,"9.87","9.87","9.85","9.85","2,876"
07/01/2021,"9.80","9.80","9.80","9.80","28"
06/30/2021,"9.79","9.90","9.79","9.80","31,996"
06/29/2021,"9.78","9.85","9.78","9.84","3,535"
06/28/2021,"9.80","9.87","9.75","9.84","25,295"
06/25/2021,"9.87","9.95","9.81","9.81","15,901"
06/24/2021,"9.85","9.95","9.85","9.95","20,430"
06/23/2021,"9.87","9.90","9.80","9.85","38,492"
06/22/2021,"9.90","9.90","9.80","9.89","33,604"
06/21/2021,"9.85","9.96","9.85","9.96","24,332"
06/18/2021,"9.95","9.95","9.92","9.92","304"
06/17/2021,"9.90","9.95","9.90","9.93","1,708"
06/16/2021,"9.90","9.92","9.90","9.92","6,868"
06/15/2021,"9.97","9.97","9.95","9.95","4,340"
06/14/2021,"9.99","9.99","9.90","9.92","6,289"
06/11/2021,"9.94","9.94","9.90","9.94","19,076"
06/10/2021,"9.95","9.95","9.90","9.94","1,968"
06/09/2021,"9.90","9.95","9.88","9.95","3,602"
06/08/2021,"9.87","9.88","9.87","9.88","2,710"
06/07/2021,"9.88","9.88","9.88","9.88","1,737"
06/04/2021,"9.95","9.95","9.90","9.90","3,742"
06/03/2021,"9.87","9.91","9.87","9.90","4,478"
06/02/2021,"9.90","9.90","9.87","9.90","20,186"
06/01/2021,"9.95","9.96","9.88","9.89","12,579"
05/28/2021,"9.95","9.95","9.95","9.95","224"
05/27/2021,"9.95","9.95","9.95","9.95","5"
05/26/2021,"9.97","9.97","9.90","9.95","7,313"
05/25/2021,"9.88","9.94","9.82","9.94","12,337"
05/24/2021,"9.89","9.96","9.88","9.88","144,130"
05/21/2021,"9.81","9.95","9.81","9.90","6,282"
05/20/2021,"9.89","9.97","9.83","9.96","895"
05/19/2021,"9.91","9.96","9.84","9.96","10,134"
