Date,Open,High,Low,Close,Volume
08/12/2021,"14.79","15.09","14.79","14.90","64,379"
08/11/2021,"15.13","15.15","14.66","14.82","58,715"
08/10/2021,"15.01","15.11","14.70","14.75","89,963"
08/09/2021,"15.11","15.20","14.80","15.04","69,968"
08/06/2021,"14.89","15.18","14.80","15.01","76,923"
08/05/2021,"14.85","15.36","14.75","14.99","88,258"
08/04/2021,"15.08","16.01","14.61","14.65","81,602"
08/03/2021,"15.35","15.85","14.70","14.95","274,834"
08/02/2021,"15.41","16.24","14.50","15.27","1,018,288"
07/30/2021,"14.87","15.68","14.85","15.48","149,422"
07/29/2021,"14.77","16.13","14.34","15.32","144,461"
07/28/2021,"14.61","15.76","13.95","14.90","291,532"
07/27/2021,"16.93","17.52","14.41","14.50","314,483"
07/26/2021,"17.17","19.68","16.56","16.57","135,007"
07/23/2021,"16.87","17.31","16.48","17.08","95,502"
07/22/2021,"17.51","17.59","16.77","17.13","62,170"
07/21/2021,"18.31","19.10","17.15","17.17","109,855"
07/20/2021,"19.11","19.59","18.31","18.51","114,261"
07/19/2021,"17.76","20.29","17.27","19.11","82,821"
07/16/2021,"17.17","18.24","16.49","17.86","151,295"
07/15/2021,"18.35","18.92","17.21","17.30","98,805"
07/14/2021,"18.60","19.10","18.00","18.34","120,272"
07/13/2021,"18.36","19.00","18.09","18.94","81,198"
07/12/2021,"19.06","19.48","17.90","18.50","245,749"
07/09/2021,"17.78","19.57","17.78","18.90","46,083"
07/08/2021,"18.55","18.62","17.03","17.78","120,804"
07/07/2021,"20.04","20.07","18.36","18.75","169,157"
07/06/2021,"19.31","20.59","18.01","20.20","151,625"
07/02/2021,"19.50","20.99","16.93","20.28","414,727"
07/01/2021,"25.07","26.98","18.90","20.10","2,246,748"
