Date,Open,High,Low,Close,Volume
08/20/2021,"6.11","6.39","6.02","6.20","52,569"
08/19/2021,"6.55","6.55","6.00","6.11","96,793"
08/18/2021,"6.59","6.59","6.13","6.58","104,050"
08/17/2021,"6.24","6.58","6.02","6.32","65,294"
08/16/2021,"6.40","6.64","6.00","6.32","96,509"
08/13/2021,"6.40","6.71","6.21","6.45","88,471"
08/12/2021,"6.50","7.20","5.51","6.39","646,086"
08/11/2021,"8.00","11.40","6.15","6.60","3,864,057"
08/10/2021,"6.25","7.64","6.05","7.56","241,275"
08/09/2021,"6.23","6.23","6.01","6.19","16,223"
08/06/2021,"6.11","6.24","6.08","6.22","8,842"
08/05/2021,"6.19","6.20","6.03","6.05","18,225"
08/04/2021,"5.98","6.22","5.95","6.19","17,025"
08/03/2021,"6.01","6.07","5.95","5.98","11,038"
08/02/2021,"5.99","6.38","5.90","6.08","41,153"
07/30/2021,"6.13","6.13","5.76","5.83","30,891"
07/29/2021,"6.01","6.19","5.91","5.91","20,268"
07/28/2021,"5.95","6.11","5.95","6.05","6,360"
07/27/2021,"6.16","6.19","5.91","6.01","28,923"
07/26/2021,"6.48","6.48","6.08","6.23","30,097"
07/23/2021,"6.50","6.56","6.38","6.42","28,967"
07/22/2021,"6.55","6.62","6.48","6.54","25,420"
07/21/2021,"6.67","6.68","6.50","6.51","43,321"
07/20/2021,"6.40","6.66","6.40","6.58","154,451"
07/19/2021,"6.50","6.73","6.41","6.41","174,757"
07/16/2021,"7.00","7.00","6.59","6.69","104,225"
07/15/2021,"6.62","6.93","6.38","6.80","481,006"
07/14/2021,"6.97","6.98","6.68","6.69","47,147"
07/13/2021,"7.18","7.25","6.97","6.97","47,056"
07/12/2021,"7.29","7.30","7.11","7.18","58,155"
07/09/2021,"7.60","7.77","7.11","7.11","77,341"
07/08/2021,"7.79","8.08","7.59","7.59","49,422"
07/07/2021,"8.51","9.00","7.71","7.71","53,996"
07/06/2021,"10.00","10.54","8.50","8.50","45,018"
07/02/2021,"9.94","10.40","9.70","9.70","38,124"
07/01/2021,"9.96","10.25","9.83","9.93","18,900"
06/30/2021,"9.95","10.95","9.79","9.79","53,902"
06/29/2021,"10.35","10.85","9.92","9.92","13,821"
06/28/2021,"11.29","11.29","10.27","10.27","21,470"
06/25/2021,"11.00","11.40","10.81","10.93","28,985"
06/24/2021,"11.42","11.67","11.00","11.00","23,577"
06/23/2021,"11.46","11.68","11.42","11.42","17,645"
06/22/2021,"11.80","11.80","11.50","11.57","3,818"
06/21/2021,"11.51","12.50","11.51","11.73","1,030"
06/18/2021,"11.93","11.93","11.53","11.54","6,479"
06/17/2021,"11.83","12.41","11.70","11.70","5,901"
06/16/2021,"11.42","12.58","11.42","11.92","26,363"
06/15/2021,"12.00","12.75","11.42","11.42","27,680"
06/14/2021,"12.75","12.75","12.01","12.01","130,262"
06/11/2021,"12.70","12.75","12.61","12.61","12,869"
06/10/2021,"12.70","12.75","12.63","12.69","6,374"
06/09/2021,"12.78","12.78","12.61","12.75","18,950"
06/08/2021,"12.84","12.84","12.60","12.73","1,696"
06/07/2021,"12.65","12.86","12.60","12.85","4,601"
06/04/2021,"12.80","12.80","12.61","12.61","6,966"
06/03/2021,"12.61","12.94","12.61","12.68","14,115"
06/02/2021,"12.61","12.98","12.61","12.66","3,589"
06/01/2021,"12.70","12.97","12.64","12.93","5,842"
05/28/2021,"12.90","12.90","12.63","12.63","3,705"
05/27/2021,"12.83","13.00","12.60","12.60","6,152"
05/26/2021,"13.63","13.63","12.81","12.81","7,251"
05/25/2021,"13.09","13.30","13.00","13.00","3,087"
05/24/2021,"13.24","14.09","13.00","13.00","14,381"
05/21/2021,"12.82","13.68","12.82","13.51","2,548"
05/20/2021,"13.00","13.57","12.80","12.88","14,084"
05/19/2021,"12.82","14.39","12.68","13.03","12,832"
05/18/2021,"13.44","14.39","12.63","12.80","36,375"
05/17/2021,"12.77","13.98","12.77","13.45","13,848"
05/14/2021,"12.92","13.35","12.63","13.03","5,816"
05/13/2021,"13.55","14.00","12.51","12.61","14,088"
05/12/2021,"13.80","14.49","13.01","13.01","8,510"
05/11/2021,"13.05","14.09","13.02","13.70","15,819"
05/10/2021,"13.85","14.46","13.40","13.40","4,020"
05/07/2021,"14.76","16.00","13.62","14.17","16,126"
05/06/2021,"15.80","15.89","14.29","14.29","18,696"
05/05/2021,"15.25","16.30","15.25","15.89","13,468"
05/04/2021,"15.23","15.72","15.23","15.40","17,986"
05/03/2021,"15.91","16.53","15.37","15.53","9,684"
04/30/2021,"15.88","16.35","15.29","15.55","10,875"
04/29/2021,"16.10","16.33","15.90","16.02","75,131"
04/28/2021,"17.06","17.06","15.80","16.32","119,374"
04/27/2021,"16.70","17.05","16.27","16.96","111,321"
04/26/2021,"16.71","16.84","16.05","16.75","126,703"
04/23/2021,"16.13","16.74","15.00","16.60","74,534"
04/22/2021,"16.04","16.39","15.48","16.07","63,909"
04/21/2021,"15.85","16.34","15.70","16.00","94,481"
04/20/2021,"15.34","16.14","15.16","15.76","46,690"
04/19/2021,"15.05","15.65","14.98","15.51","74,086"
04/16/2021,"14.60","15.15","14.15","15.15","37,429"
04/15/2021,"13.60","14.66","13.27","14.60","121,763"
04/14/2021,"12.96","13.73","12.92","13.73","56,978"
04/13/2021,"12.89","13.32","12.79","12.97","71,348"
04/12/2021,"13.99","14.28","12.63","13.05","103,160"
04/09/2021,"14.28","15.11","13.72","13.78","207,201"
04/08/2021,"15.55","16.05","14.47","14.51","202,376"
04/07/2021,"17.51","17.79","15.55","15.61","173,289"
04/06/2021,"14.87","17.99","14.73","17.86","447,306"
04/05/2021,"15.63","15.95","14.73","14.92","169,213"
04/01/2021,"16.30","17.34","15.06","16.00","506,528"
03/31/2021,"18.00","18.95","16.06","16.55","2,110,841"
