Date,Open,High,Low,Close,Volume
08/12/2021,"24.45","24.88","21.03","21.85","1,597,550"
08/11/2021,"23.94","24.77","23.54","24.60","590,478"
08/10/2021,"23.77","24.17","23.44","23.90","602,004"
08/09/2021,"23.71","24.10","23.35","23.68","163,361"
08/06/2021,"23.78","24.15","23.67","23.71","133,023"
08/05/2021,"23.72","24.02","23.36","23.95","203,570"
08/04/2021,"23.31","24.19","22.89","23.74","482,906"
08/03/2021,"23.30","23.34","22.77","23.03","529,457"
08/02/2021,"23.43","23.92","23.06","23.09","411,061"
07/30/2021,"23.18","23.40","22.89","23.16","302,713"
07/29/2021,"23.40","23.54","23.08","23.18","372,923"
07/28/2021,"22.87","23.64","22.85","23.19","524,552"
07/27/2021,"22.77","22.94","21.92","22.87","288,033"
07/26/2021,"22.92","22.96","22.03","22.80","526,889"
07/23/2021,"22.03","23.15","21.58","22.93","449,996"
07/22/2021,"21.40","22.13","21.07","22.05","305,576"
07/21/2021,"21.89","22.28","21.33","21.43","573,085"
07/20/2021,"21.58","22.23","21.08","21.77","665,704"
07/19/2021,"21.17","22.29","20.85","21.45","315,339"
07/16/2021,"20.03","21.69","20.03","21.46","1,016,912"
07/15/2021,"21.81","22.20","19.96","20.09","796,070"
07/14/2021,"23.24","23.25","21.79","21.84","592,148"
07/13/2021,"24.00","24.00","22.95","23.03","689,417"
07/12/2021,"23.07","23.99","22.81","23.78","299,223"
07/09/2021,"23.28","23.71","22.95","23.36","257,916"
07/08/2021,"23.08","23.44","22.95","23.17","236,001"
07/07/2021,"23.80","23.93","23.45","23.59","293,319"
07/06/2021,"24.90","24.94","23.40","23.79","702,242"
07/02/2021,"24.87","25.28","24.36","25.18","516,423"
07/01/2021,"25.71","25.71","24.51","24.86","486,940"
06/30/2021,"24.62","25.97","24.37","25.63","526,664"
06/29/2021,"24.20","25.13","23.55","24.94","677,634"
06/28/2021,"24.60","24.63","23.32","23.99","563,434"
06/25/2021,"24.06","24.75","23.60","24.65","806,830"
06/24/2021,"23.99","24.51","23.67","24.07","879,347"
06/23/2021,"24.12","24.38","23.85","23.95","564,785"
06/22/2021,"24.05","24.47","23.38","24.17","520,762"
06/21/2021,"24.29","24.29","23.63","24.06","657,992"
06/18/2021,"23.30","24.14","23.12","23.93","1,389,435"
06/17/2021,"24.42","24.86","23.69","24.07","537,575"
06/16/2021,"23.76","24.49","23.22","24.42","879,915"
06/15/2021,"24.37","24.47","23.09","23.84","752,477"
06/14/2021,"24.25","25.00","24.25","24.50","1,156,559"
06/11/2021,"24.11","24.50","23.64","24.29","1,289,311"
06/10/2021,"23.03","24.12","22.77","24.10","425,840"
06/09/2021,"23.90","24.48","22.66","22.83","695,681"
06/08/2021,"25.68","25.68","23.72","23.90","1,166,523"
06/07/2021,"25.75","26.13","25.06","25.69","504,678"
06/04/2021,"25.70","26.86","25.51","26.20","475,100"
06/03/2021,"25.46","25.90","24.30","25.51","691,473"
06/02/2021,"25.88","25.93","25.50","25.56","381,801"
06/01/2021,"26.07","26.18","25.50","25.99","338,972"
05/28/2021,"26.13","27.00","25.51","25.92","385,404"
05/27/2021,"25.94","26.38","25.23","26.02","297,154"
05/26/2021,"25.79","26.55","25.05","26.01","773,772"
05/25/2021,"25.57","26.38","24.12","25.90","1,918,622"
