Date,Open,High,Low,Close,Volume
08/20/2021,"27.05","27.86","26.56","27.64","806,117"
08/19/2021,"26.38","27.85","26.01","26.94","359,541"
08/18/2021,"27.05","27.93","25.40","26.80","616,452"
08/17/2021,"27.95","29.21","26.28","26.89","672,449"
08/16/2021,"26.10","28.51","26.00","27.97","374,427"
08/13/2021,"28.27","29.58","25.00","26.66","550,698"
08/12/2021,"28.11","31.58","27.68","29.22","1,825,964"
08/11/2021,"24.12","28.58","23.77","27.76","751,724"
08/10/2021,"23.06","25.46","22.39","24.20","1,010,205"
08/09/2021,"21.70","26.78","21.02","23.06","1,522,207"
08/06/2021,"21.00","23.19","20.50","20.88","3,246,488"
