Date,Open,High,Low,Close,Volume
08/20/2021,"63.29","64.87","63.15","64.76","1,118,480"
08/19/2021,"62.97","64.80","62.80","63.46","1,418,170"
08/18/2021,"63.80","65.83","62.01","64.68","1,941,053"
08/17/2021,"62.14","65.80","62.11","63.50","2,209,361"
08/16/2021,"65.22","65.23","61.66","63.59","1,635,261"
08/13/2021,"67.68","68.46","64.77","65.95","1,679,787"
08/12/2021,"68.75","68.78","66.75","67.54","1,130,271"
08/11/2021,"66.36","68.71","65.50","68.62","2,259,945"
08/10/2021,"66.39","66.50","65.01","65.56","1,244,199"
08/09/2021,"68.00","68.34","65.86","65.88","1,536,808"
08/06/2021,"67.16","68.10","64.28","67.17","1,886,467"
08/05/2021,"67.43","71.50","64.76","67.16","4,518,674"
08/04/2021,"67.02","70.20","66.12","68.22","5,513,622"
08/03/2021,"64.44","69.93","58.68","66.67","10,602,710"
08/02/2021,"57.88","66.88","56.66","64.71","9,233,324"
07/30/2021,"61.00","61.40","56.02","56.32","1,916,986"
07/29/2021,"61.50","62.77","60.80","60.86","1,599,328"
07/28/2021,"60.31","61.98","60.16","61.18","1,923,317"
07/27/2021,"58.54","59.64","56.40","59.50","1,616,487"
07/26/2021,"58.29","61.22","58.19","59.42","1,577,572"
07/23/2021,"59.10","59.22","57.40","58.69","1,415,684"
07/22/2021,"60.38","60.54","58.51","59.00","1,790,547"
07/21/2021,"58.00","62.09","57.80","60.63","2,487,318"
07/20/2021,"56.31","58.42","55.58","57.41","2,311,925"
07/19/2021,"54.68","56.77","54.06","55.86","2,925,773"
07/16/2021,"57.72","58.08","56.04","57.50","1,962,664"
07/15/2021,"57.44","58.73","55.58","57.45","3,483,109"
07/14/2021,"59.73","60.80","55.67","56.76","6,840,427"
07/13/2021,"64.84","66.80","55.59","58.21","9,661,682"
07/12/2021,"66.67","67.71","64.57","65.00","2,604,529"
07/09/2021,"64.41","67.45","63.90","67.25","2,032,589"
07/08/2021,"61.31","64.16","60.59","63.99","2,537,595"
07/07/2021,"68.63","68.70","63.26","64.29","1,961,418"
07/06/2021,"68.57","69.62","66.66","67.99","1,629,997"
07/02/2021,"68.82","69.79","67.31","68.87","1,086,124"
07/01/2021,"67.00","68.98","65.88","68.37","2,237,706"
06/30/2021,"66.19","69.63","65.30","67.35","2,586,161"
06/29/2021,"64.43","68.64","63.74","66.46","2,036,015"
06/28/2021,"64.51","65.34","63.38","64.43","1,729,657"
06/25/2021,"66.88","67.43","63.82","64.40","1,812,015"
06/24/2021,"66.64","68.33","65.65","66.33","1,820,101"
06/23/2021,"63.50","65.83","63.32","65.16","1,617,566"
06/22/2021,"63.30","63.99","60.65","63.45","3,929,060"
06/21/2021,"68.00","68.17","63.68","63.80","4,400,986"
06/18/2021,"69.29","69.90","67.54","68.18","3,625,017"
06/17/2021,"66.80","70.81","66.50","69.39","3,023,017"
06/16/2021,"67.14","69.40","65.65","67.41","4,014,579"
06/15/2021,"68.82","69.37","66.28","67.26","2,718,021"
06/14/2021,"68.26","70.68","67.60","68.94","3,741,235"
06/11/2021,"65.29","68.89","63.91","67.98","4,780,848"
06/10/2021,"60.62","64.02","60.23","63.68","2,900,949"
06/09/2021,"64.25","64.63","60.21","60.26","2,160,344"
06/08/2021,"59.79","63.89","59.59","62.49","2,726,283"
06/07/2021,"60.34","61.15","58.34","59.46","1,842,074"
06/04/2021,"64.01","64.40","59.52","59.65","3,444,597"
06/03/2021,"64.01","65.76","62.34","63.24","2,408,578"
06/02/2021,"62.67","65.60","62.07","65.24","2,879,639"
06/01/2021,"63.25","64.27","60.88","62.52","4,301,937"
05/28/2021,"58.00","61.06","57.85","60.81","3,308,842"
05/27/2021,"56.29","57.29","55.03","57.29","2,565,642"
05/26/2021,"54.32","57.56","52.61","57.00","4,039,454"
05/25/2021,"53.30","54.19","52.63","54.04","3,716,584"
05/24/2021,"52.90","53.34","50.88","53.15","6,965,006"
05/21/2021,"55.00","56.76","53.32","53.36","3,175,604"
05/20/2021,"51.16","56.79","51.11","54.89","4,790,069"
05/19/2021,"48.69","50.98","48.67","50.45","2,545,103"
05/18/2021,"50.86","53.27","50.23","51.64","2,006,633"
05/17/2021,"52.57","52.81","50.01","50.60","3,850,832"
05/14/2021,"49.38","54.61","49.06","54.00","3,886,591"
05/13/2021,"50.02","50.75","47.12","48.37","4,045,961"
05/12/2021,"54.44","54.55","48.63","49.82","5,248,209"
05/11/2021,"49.88","55.90","46.50","55.45","7,339,251"
05/10/2021,"52.65","57.67","52.13","57.00","5,777,308"
05/07/2021,"57.04","58.70","53.78","54.00","3,332,294"
05/06/2021,"57.82","57.91","52.48","54.44","3,874,799"
05/05/2021,"62.86","63.70","55.85","57.60","4,970,437"
05/04/2021,"65.77","66.00","60.13","62.17","4,054,431"
05/03/2021,"71.70","71.75","66.31","66.78","1,533,978"
04/30/2021,"72.63","74.30","70.23","70.50","1,764,870"
04/29/2021,"78.89","79.30","72.80","74.02","1,886,821"
04/28/2021,"75.31","77.71","75.31","77.21","1,145,135"
04/27/2021,"78.19","78.35","74.72","76.37","959,068"
04/26/2021,"74.50","78.76","73.70","77.97","2,272,911"
04/23/2021,"68.65","74.60","68.65","74.12","2,681,627"
04/22/2021,"67.73","70.37","67.10","68.62","1,309,765"
04/21/2021,"64.47","67.64","63.79","67.55","1,160,386"
04/20/2021,"65.41","67.19","63.02","65.00","1,855,187"
04/19/2021,"68.50","69.56","65.16","66.02","1,948,254"
04/16/2021,"70.00","70.14","67.18","69.72","1,315,317"
04/15/2021,"70.35","70.59","67.48","68.67","1,222,597"
04/14/2021,"70.18","72.20","68.63","68.73","1,540,554"
04/13/2021,"67.99","70.18","65.31","70.11","2,493,434"
04/12/2021,"71.43","71.47","66.73","67.93","1,890,903"
04/09/2021,"69.43","71.20","68.38","70.71","1,070,750"
04/08/2021,"72.77","72.90","68.97","69.81","1,091,174"
04/07/2021,"72.73","72.73","69.75","71.50","1,264,480"
04/06/2021,"70.37","73.50","69.70","73.00","1,909,061"
04/05/2021,"71.74","72.41","68.40","69.39","1,154,770"
04/01/2021,"73.00","74.97","70.37","71.45","1,660,959"
03/31/2021,"67.71","71.20","65.65","70.72","2,295,961"
03/30/2021,"69.69","69.74","65.77","66.39","2,254,727"
03/29/2021,"69.72","73.92","68.67","69.99","1,984,354"
03/26/2021,"70.00","72.37","67.02","69.72","1,474,147"
03/25/2021,"70.62","71.30","67.72","69.56","2,244,422"
03/24/2021,"79.48","79.80","72.52","72.63","1,554,964"
03/23/2021,"81.22","81.75","78.20","78.87","963,814"
03/22/2021,"77.81","83.46","77.81","81.99","2,158,026"
03/19/2021,"74.16","78.51","71.51","77.37","3,185,248"
03/18/2021,"79.87","80.47","73.10","74.39","4,233,832"
03/17/2021,"78.99","81.34","76.77","81.09","1,424,660"
03/16/2021,"82.22","84.20","79.50","80.80","1,609,330"
03/15/2021,"80.00","82.78","79.00","81.35","1,886,730"
03/12/2021,"78.00","80.08","76.01","79.57","2,276,793"
03/11/2021,"82.36","83.50","80.25","81.25","2,228,912"
03/10/2021,"82.71","85.19","78.30","80.76","2,130,933"
03/09/2021,"77.25","81.18","75.78","79.66","3,712,837"
03/08/2021,"80.08","80.25","72.95","74.31","3,771,904"
03/05/2021,"82.83","83.04","70.05","81.14","5,385,269"
03/04/2021,"85.00","85.45","77.10","84.46","5,611,140"
03/03/2021,"91.65","92.38","83.93","86.31","6,083,902"
03/02/2021,"92.70","98.19","91.00","91.80","3,733,471"
03/01/2021,"95.50","96.35","90.81","91.44","2,922,364"
02/26/2021,"92.18","97.82","91.03","93.06","2,596,725"
02/25/2021,"99.93","101.00","90.00","94.20","5,471,956"
02/24/2021,"99.28","103.75","98.71","102.49","1,894,111"
02/23/2021,"99.26","102.35","91.10","102.01","4,105,234"
02/22/2021,"105.01","105.72","102.00","104.83","2,955,607"
02/19/2021,"110.29","110.75","105.00","105.99","2,973,935"
02/18/2021,"109.64","109.95","104.61","105.55","3,589,181"
02/17/2021,"116.63","117.50","110.80","112.53","2,786,719"
02/16/2021,"129.30","129.30","115.00","119.15","5,642,287"
02/12/2021,"129.64","131.67","123.01","125.89","4,903,543"
02/11/2021,"140.00","140.50","131.16","139.99","2,285,556"
02/10/2021,"141.95","146.90","129.00","136.23","2,352,964"
02/09/2021,"121.49","144.90","117.04","131.00","4,056,830"
02/08/2021,"109.46","123.50","109.00","122.76","3,428,040"
02/05/2021,"108.83","109.41","101.25","103.45","2,932,280"
02/04/2021,"110.06","110.50","106.38","108.77","1,695,856"
02/03/2021,"115.95","115.99","109.10","110.95","1,451,665"
02/02/2021,"110.00","118.80","110.00","113.00","1,875,593"
02/01/2021,"100.00","107.65","99.62","107.61","1,266,007"
01/29/2021,"100.00","104.58","97.60","99.59","1,836,348"
01/28/2021,"105.00","106.29","97.21","99.42","2,097,386"
01/27/2021,"105.74","108.90","100.80","105.29","2,259,264"
01/26/2021,"113.84","114.00","109.51","110.08","1,287,386"
01/25/2021,"117.11","123.45","108.00","112.70","2,660,045"
01/22/2021,"107.19","121.00","107.19","119.95","4,343,451"
01/21/2021,"107.16","109.90","104.30","108.97","1,735,307"
01/20/2021,"110.00","112.00","103.25","106.21","5,091,417"
01/19/2021,"117.00","117.68","108.00","110.99","3,304,914"
01/15/2021,"123.05","127.24","107.00","117.00","8,310,663"
01/14/2021,"103.50","137.98","101.00","114.94","20,858,689"
01/13/2021,"90.90","103.00","90.01","97.24","25,158,961"
