Date,Open,High,Low,Close,Volume
08/20/2021,"29.14","31.99","28.82","31.88","637,580"
08/19/2021,"29.91","32.34","28.61","29.54","1,538,564"
08/18/2021,"26.48","33.17","26.48","32.51","1,841,123"
08/17/2021,"25.66","29.32","25.30","26.27","866,456"
08/16/2021,"30.05","30.79","26.63","27.29","1,247,238"
08/13/2021,"25.20","30.68","25.00","28.86","2,458,579"
08/12/2021,"25.32","27.50","24.63","26.51","1,409,403"
08/11/2021,"27.49","29.25","24.00","24.96","1,559,164"
08/10/2021,"23.19","27.41","23.02","26.62","2,360,790"
08/09/2021,"22.40","23.25","20.36","22.62","1,221,647"
08/06/2021,"19.44","21.79","19.13","21.79","1,016,966"
08/05/2021,"19.60","19.91","18.67","19.44","787,715"
08/04/2021,"21.09","23.63","19.02","19.80","2,397,037"
08/03/2021,"19.08","19.55","18.01","19.45","669,735"
08/02/2021,"19.34","20.30","18.36","18.43","794,765"
07/30/2021,"18.21","19.54","18.16","19.10","507,309"
07/29/2021,"19.58","21.25","18.38","18.99","1,716,813"
07/28/2021,"19.53","22.30","17.60","18.67","2,078,606"
07/27/2021,"18.44","19.18","16.87","18.90","1,451,892"
07/26/2021,"19.43","20.44","18.09","19.71","1,300,423"
07/23/2021,"19.73","21.88","18.38","19.83","1,933,981"
07/22/2021,"17.00","20.72","16.57","18.31","3,583,069"
07/21/2021,"15.00","17.45","14.96","16.55","1,678,150"
07/20/2021,"13.56","14.95","13.14","14.65","597,900"
07/19/2021,"12.88","14.46","12.88","13.74","707,553"
07/16/2021,"14.31","14.92","13.50","13.58","713,786"
07/15/2021,"15.20","15.80","13.50","14.29","577,781"
07/14/2021,"15.40","16.35","14.95","15.20","908,323"
07/13/2021,"14.74","15.50","13.94","15.41","746,690"
07/12/2021,"13.85","16.86","13.76","15.02","1,317,836"
07/09/2021,"13.94","15.49","13.92","14.00","1,010,113"
07/08/2021,"12.36","14.87","12.09","13.96","605,094"
07/07/2021,"14.11","14.51","12.80","12.95","443,374"
07/06/2021,"15.08","15.50","13.38","13.73","987,999"
07/02/2021,"13.37","14.89","13.32","14.46","1,052,045"
07/01/2021,"11.77","13.05","11.70","12.96","552,892"
06/30/2021,"12.19","12.38","11.51","11.90","189,999"
06/29/2021,"13.03","13.25","11.74","11.99","386,347"
06/28/2021,"13.45","13.85","12.51","13.00","627,953"
06/25/2021,"12.47","13.25","12.43","13.09","1,168,019"
06/24/2021,"11.96","12.65","11.60","12.39","563,480"
06/23/2021,"11.25","11.88","11.11","11.68","579,923"
06/22/2021,"10.76","11.25","10.28","11.20","334,942"
06/21/2021,"9.90","10.77","9.82","10.77","415,338"
06/18/2021,"10.23","10.28","9.40","9.90","268,752"
06/17/2021,"10.44","10.76","10.00","10.33","206,171"
06/16/2021,"9.59","10.52","9.51","10.52","247,811"
06/15/2021,"10.14","10.24","9.30","9.59","341,360"
06/14/2021,"10.61","10.84","9.82","10.13","153,223"
06/11/2021,"10.70","10.91","10.25","10.70","166,636"
06/10/2021,"10.76","10.80","10.32","10.45","120,373"
06/09/2021,"10.70","11.12","10.53","10.77","126,160"
06/08/2021,"10.83","11.03","10.15","10.70","146,680"
06/07/2021,"11.01","11.62","10.60","10.71","284,015"
06/04/2021,"10.25","11.44","10.25","11.00","342,276"
06/03/2021,"10.00","10.42","9.86","10.25","222,763"
06/02/2021,"9.99","10.64","9.78","9.97","373,778"
06/01/2021,"9.44","10.17","9.38","9.87","351,713"
05/28/2021,"9.11","9.40","8.97","9.37","141,094"
05/27/2021,"9.41","9.41","8.90","9.26","165,345"
05/26/2021,"8.69","9.48","8.69","9.38","187,724"
05/25/2021,"8.74","8.90","8.50","8.77","124,724"
05/24/2021,"9.00","9.00","8.36","8.59","187,653"
05/21/2021,"8.76","9.15","8.56","8.98","120,118"
05/20/2021,"8.77","8.94","8.25","8.63","255,788"
05/19/2021,"8.54","9.00","8.51","8.72","355,674"
05/18/2021,"8.35","9.25","8.12","9.18","660,441"
05/17/2021,"7.81","8.43","7.54","7.62","281,455"
05/14/2021,"7.13","7.76","7.07","7.68","323,075"
05/13/2021,"7.90","7.94","6.81","6.92","727,066"
05/12/2021,"8.05","8.24","7.57","7.86","391,423"
05/11/2021,"7.75","8.04","7.56","7.93","190,338"
05/10/2021,"8.00","8.43","7.53","8.02","587,021"
05/07/2021,"7.91","8.30","7.76","7.99","489,005"
05/06/2021,"9.18","9.27","7.58","7.68","788,958"
05/05/2021,"9.42","9.90","9.00","9.17","243,222"
05/04/2021,"10.32","10.32","9.33","9.40","364,307"
05/03/2021,"10.81","10.91","10.29","10.35","156,675"
04/30/2021,"11.41","11.73","10.70","10.80","136,218"
04/29/2021,"11.43","12.00","11.10","11.77","74,934"
04/28/2021,"12.01","12.18","11.18","11.26","128,330"
04/27/2021,"10.86","12.50","10.63","12.29","296,314"
04/26/2021,"10.21","10.89","10.21","10.86","153,599"
04/23/2021,"10.65","10.70","10.10","10.15","214,725"
04/22/2021,"9.95","10.64","9.86","10.57","246,541"
04/21/2021,"9.80","10.40","9.72","9.80","215,080"
04/20/2021,"11.86","11.86","9.71","9.75","405,465"
04/19/2021,"11.97","12.00","11.52","11.83","204,567"
04/16/2021,"12.00","12.09","11.62","11.91","118,134"
04/15/2021,"12.17","12.29","11.52","11.98","168,235"
04/14/2021,"12.05","12.20","11.85","12.07","88,109"
04/13/2021,"12.27","12.56","11.76","11.91","288,732"
04/12/2021,"12.59","12.90","12.16","12.27","227,018"
04/09/2021,"12.90","13.12","12.59","12.63","192,198"
04/08/2021,"13.07","13.14","12.53","12.92","134,933"
04/07/2021,"13.50","14.15","12.80","12.95","301,223"
04/06/2021,"13.57","13.58","13.16","13.50","274,548"
04/05/2021,"13.00","13.50","12.75","13.45","326,468"
04/01/2021,"12.93","13.00","12.30","12.62","369,235"
03/31/2021,"11.97","12.61","11.87","12.48","388,634"
03/30/2021,"11.78","12.00","11.56","11.85","130,524"
03/29/2021,"11.81","12.35","11.70","11.87","120,706"
03/26/2021,"11.91","12.11","11.54","11.65","222,183"
03/25/2021,"12.20","12.23","11.67","12.00","265,729"
03/24/2021,"12.03","13.10","11.90","12.65","411,691"
03/23/2021,"12.55","12.87","11.80","11.89","242,582"
03/22/2021,"11.98","13.24","11.98","12.55","557,967"
03/19/2021,"11.86","12.30","11.62","11.92","1,260,391"
03/18/2021,"12.58","12.90","11.36","11.51","412,965"
03/17/2021,"12.85","12.99","12.33","12.50","364,844"
03/16/2021,"14.13","14.32","12.62","12.88","570,172"
03/15/2021,"12.93","14.09","12.80","13.99","494,039"
03/12/2021,"12.90","13.33","12.60","13.24","377,148"
03/11/2021,"13.10","13.95","12.90","13.15","1,030,004"
03/10/2021,"13.20","13.25","12.75","12.98","393,656"
03/09/2021,"12.59","13.19","12.56","13.14","332,470"
03/08/2021,"12.71","13.29","12.50","12.50","501,293"
03/05/2021,"11.50","13.15","11.34","12.90","1,618,408"
03/04/2021,"11.96","12.30","11.00","11.56","902,681"
03/03/2021,"12.67","13.08","12.00","12.25","943,851"
03/02/2021,"12.81","14.00","12.55","12.67","1,712,463"
03/01/2021,"13.20","13.48","12.68","12.89","1,154,524"
02/26/2021,"11.80","13.25","11.51","12.82","1,216,641"
02/25/2021,"12.13","12.73","11.85","12.04","676,460"
02/24/2021,"13.01","13.25","12.36","12.40","685,587"
02/23/2021,"12.15","13.25","11.50","12.90","1,755,658"
02/22/2021,"13.96","14.23","12.62","12.66","1,019,004"
02/19/2021,"15.00","15.50","14.03","14.03","1,195,436"
02/18/2021,"13.80","14.50","13.15","14.49","942,936"
02/17/2021,"14.26","14.65","13.66","13.84","4,205,525"
02/16/2021,"18.50","18.50","15.69","16.01","1,052,548"
02/12/2021,"15.85","19.25","15.07","18.94","1,122,097"
02/11/2021,"18.88","19.30","16.51","17.08","490,281"
02/10/2021,"21.05","21.05","17.00","18.89","676,752"
02/09/2021,"19.95","21.43","18.30","19.20","654,669"
02/08/2021,"20.33","21.24","18.70","19.81","765,955"
02/05/2021,"17.70","20.89","16.28","19.76","1,619,295"
02/04/2021,"19.02","20.05","16.52","17.25","989,929"
02/03/2021,"14.52","19.19","13.53","18.80","2,399,143"
02/02/2021,"10.93","15.00","10.93","14.20","1,749,232"
02/01/2021,"11.75","11.75","10.80","10.92","348,347"
01/29/2021,"12.09","12.44","10.59","11.40","1,223,392"
01/28/2021,"13.00","14.30","12.44","12.74","3,512,059"
