Date,Open,High,Low,Close,Volume
08/30/2021,"20.45","21.17","20.14","21.05","248,561"
08/27/2021,"19.65","20.29","19.65","20.24","147,991"
08/26/2021,"19.10","19.90","19.07","19.71","98,851"
08/25/2021,"19.69","19.83","19.23","19.31","43,727"
08/24/2021,"19.89","19.96","19.42","19.73","76,745"
08/23/2021,"19.78","20.15","19.40","19.78","122,228"
08/20/2021,"19.10","19.62","19.10","19.56","126,651"
08/19/2021,"18.40","19.54","18.40","19.16","181,700"
08/18/2021,"18.48","18.97","18.20","18.62","176,584"
08/17/2021,"18.21","18.86","18.03","18.36","243,900"
08/16/2021,"18.57","18.79","18.17","18.28","254,013"
08/13/2021,"19.86","19.88","17.15","18.34","708,168"
08/12/2021,"20.45","20.95","19.84","19.92","276,020"
08/11/2021,"19.41","20.12","19.02","20.10","116,390"
08/10/2021,"19.19","19.58","18.86","19.47","103,124"
08/09/2021,"19.09","19.66","18.87","19.16","77,792"
08/06/2021,"19.60","19.94","19.18","19.29","101,932"
08/05/2021,"19.08","19.62","18.78","19.38","209,926"
08/04/2021,"18.75","19.61","18.75","19.18","178,504"
08/03/2021,"18.98","19.67","18.72","19.11","164,625"
08/02/2021,"19.53","19.62","18.99","19.16","243,334"
07/30/2021,"19.86","20.05","19.16","19.59","228,357"
07/29/2021,"19.63","20.23","19.01","19.87","246,768"
07/28/2021,"18.83","19.86","18.67","19.44","302,300"
07/27/2021,"18.58","19.04","18.36","18.78","208,432"
07/26/2021,"18.85","19.04","18.60","18.72","269,061"
07/23/2021,"19.25","19.38","18.57","18.74","116,440"
07/22/2021,"19.32","19.33","18.91","19.12","294,784"
07/21/2021,"18.65","19.44","18.20","19.27","321,967"
07/20/2021,"18.52","19.33","18.32","18.42","324,080"
07/19/2021,"19.83","20.00","18.44","18.49","630,019"
07/16/2021,"20.69","21.06","20.07","20.12","313,550"
07/15/2021,"21.27","21.33","20.11","20.50","343,663"
07/14/2021,"21.53","21.82","21.24","21.46","369,036"
07/13/2021,"21.30","21.89","20.86","21.61","188,904"
07/12/2021,"21.14","21.70","20.79","21.43","118,242"
07/09/2021,"21.00","21.19","20.49","21.14","193,792"
07/08/2021,"20.79","21.09","20.11","20.84","232,887"
07/07/2021,"21.61","21.94","20.92","20.95","204,478"
07/06/2021,"21.24","21.66","20.44","21.61","290,668"
07/02/2021,"21.86","22.00","20.83","21.38","591,220"
07/01/2021,"21.57","22.12","21.35","21.92","253,696"
06/30/2021,"21.74","21.94","20.92","21.87","702,258"
06/29/2021,"21.11","22.10","20.86","21.94","716,101"
06/28/2021,"21.63","22.51","21.04","21.22","618,602"
06/25/2021,"23.45","23.54","20.40","21.71","3,807,655"
06/24/2021,"24.96","25.70","23.34","23.47","819,924"
06/23/2021,"25.16","25.44","24.23","25.02","648,009"
06/22/2021,"25.51","26.36","24.40","25.12","840,998"
06/21/2021,"24.16","25.95","24.08","25.56","726,724"
06/18/2021,"23.98","25.77","23.68","24.28","1,827,182"
06/17/2021,"24.29","25.93","23.82","24.18","836,730"
06/16/2021,"23.11","24.52","23.00","24.44","694,395"
06/15/2021,"22.53","24.39","21.98","23.00","557,632"
06/14/2021,"21.18","23.29","20.79","22.50","735,872"
06/11/2021,"20.95","21.02","20.33","21.00","318,832"
06/10/2021,"20.67","21.17","20.50","21.00","402,521"
06/09/2021,"21.01","22.47","20.61","20.98","382,461"
06/08/2021,"19.85","21.97","19.85","20.72","467,923"
06/07/2021,"20.85","20.85","19.67","19.90","398,927"
06/04/2021,"21.94","22.19","20.00","20.50","659,099"
06/03/2021,"21.51","23.11","21.50","21.76","453,127"
06/02/2021,"22.08","22.26","21.52","21.73","219,265"
06/01/2021,"21.55","21.95","20.90","21.78","501,914"
05/28/2021,"20.83","22.82","20.76","21.87","305,691"
05/27/2021,"21.30","21.61","20.45","20.86","364,060"
05/26/2021,"19.70","21.12","19.58","21.08","704,834"
05/25/2021,"18.53","19.56","18.10","19.34","745,898"
05/24/2021,"17.20","18.29","17.02","18.04","446,288"
05/21/2021,"17.05","17.21","16.52","16.91","165,874"
05/20/2021,"15.83","17.99","15.60","17.03","822,205"
05/19/2021,"15.45","16.00","14.91","15.70","377,955"
05/18/2021,"15.00","15.25","14.52","15.19","360,581"
05/17/2021,"13.72","14.91","13.60","14.73","345,694"
05/14/2021,"14.17","14.47","13.56","13.67","346,389"
05/13/2021,"14.73","15.02","14.12","14.18","328,126"
05/12/2021,"14.63","15.02","14.62","14.76","755,106"
05/11/2021,"14.48","14.93","14.35","14.79","264,360"
05/10/2021,"14.69","15.25","14.66","14.77","225,006"
05/07/2021,"14.90","15.34","14.90","14.94","435,219"
05/06/2021,"14.70","15.26","14.70","15.03","473,104"
05/05/2021,"14.74","15.40","14.63","14.88","414,331"
05/04/2021,"15.20","15.38","14.67","14.80","422,527"
05/03/2021,"15.48","15.89","15.26","15.40","210,848"
04/30/2021,"15.89","15.98","15.20","15.39","535,331"
04/29/2021,"15.73","16.08","15.55","15.86","2,309,623"
04/28/2021,"15.70","16.12","15.36","15.72","341,695"
04/27/2021,"15.75","15.89","15.57","15.80","922,096"
04/26/2021,"16.33","17.08","15.27","15.80","1,887,212"
04/23/2021,"16.05","16.49","15.12","16.40","8,879,720"
