Date,Open,High,Low,Close,Volume
08/30/2021,"50.93","52.67","50.50","51.25","2,462,840"
08/27/2021,"49.60","51.36","49.37","50.58","1,898,850"
08/26/2021,"49.69","51.38","49.32","49.41","1,651,210"
08/25/2021,"49.91","50.44","48.90","49.70","1,733,741"
08/24/2021,"47.50","50.25","47.36","49.72","2,410,470"
08/23/2021,"46.10","46.94","45.08","46.64","2,499,094"
08/20/2021,"44.75","46.14","44.70","45.51","2,498,189"
08/19/2021,"45.28","45.80","44.35","44.79","2,122,906"
08/18/2021,"46.20","46.90","44.73","46.08","2,304,432"
08/17/2021,"45.99","46.04","44.78","45.94","2,824,538"
08/16/2021,"49.00","49.18","45.90","46.62","3,163,576"
08/13/2021,"51.06","51.18","49.18","49.38","2,241,778"
08/12/2021,"50.72","51.75","50.37","51.44","982,641"
08/11/2021,"51.59","51.63","49.81","51.00","1,201,964"
08/10/2021,"51.04","52.20","50.51","50.80","1,297,129"
08/09/2021,"48.75","51.37","48.70","50.70","2,003,927"
08/06/2021,"49.39","49.88","48.15","48.83","2,032,143"
08/05/2021,"49.00","50.13","48.27","49.41","1,988,924"
08/04/2021,"49.41","51.09","48.90","49.14","1,914,186"
08/03/2021,"50.10","50.10","48.40","49.80","2,979,146"
08/02/2021,"50.45","51.37","49.86","50.06","1,985,848"
07/30/2021,"51.32","51.85","50.10","50.35","1,332,137"
07/29/2021,"52.98","53.37","51.64","51.67","1,170,325"
07/28/2021,"51.33","53.30","51.17","52.79","1,714,558"
07/27/2021,"51.10","51.63","49.21","50.91","1,810,706"
07/26/2021,"51.46","52.82","50.41","51.50","1,623,937"
07/23/2021,"53.14","53.29","51.11","51.36","1,500,771"
07/22/2021,"54.23","54.50","52.57","53.08","1,211,839"
07/21/2021,"53.60","54.64","53.20","54.03","1,653,403"
07/20/2021,"51.85","53.46","50.96","53.15","1,952,376"
07/19/2021,"50.00","51.53","48.95","51.21","2,603,623"
07/16/2021,"52.37","52.77","50.10","50.64","4,020,693"
07/15/2021,"51.99","53.44","50.17","52.24","3,245,663"
07/14/2021,"55.60","55.70","51.23","51.44","5,225,169"
07/13/2021,"57.00","57.33","54.95","55.12","2,532,583"
07/12/2021,"59.01","59.18","56.34","57.51","2,813,441"
07/09/2021,"58.61","59.28","57.36","59.19","1,728,187"
07/08/2021,"57.10","58.50","55.60","58.50","1,931,412"
07/07/2021,"60.00","60.23","57.25","58.41","2,566,863"
07/06/2021,"60.84","61.80","59.20","59.99","2,169,041"
07/02/2021,"63.71","64.50","60.51","60.53","2,498,975"
07/01/2021,"62.59","64.44","61.70","63.80","2,977,982"
06/30/2021,"64.03","65.98","62.21","62.53","5,190,149"
06/29/2021,"66.55","67.37","63.83","64.42","3,442,216"
06/28/2021,"64.50","67.38","64.48","66.41","5,028,654"
06/25/2021,"62.50","64.95","62.39","64.15","6,705,803"
06/24/2021,"62.17","63.14","61.55","61.88","3,630,520"
06/23/2021,"60.29","61.83","59.80","61.65","2,494,957"
06/22/2021,"57.83","60.74","57.61","60.49","2,928,447"
06/21/2021,"59.01","59.57","57.25","57.89","3,090,686"
06/18/2021,"59.49","60.50","58.32","59.18","2,593,100"
06/17/2021,"57.57","60.22","57.20","59.90","2,840,870"
06/16/2021,"57.09","58.75","56.03","57.90","3,431,964"
06/15/2021,"59.76","60.37","56.90","57.25","3,961,631"
06/14/2021,"61.40","62.55","59.47","60.00","3,910,639"
06/11/2021,"58.30","60.63","58.20","60.55","3,067,088"
06/10/2021,"62.67","62.67","57.80","58.08","8,241,387"
06/09/2021,"64.51","66.73","62.03","62.10","4,415,261"
06/08/2021,"61.14","65.50","60.51","63.29","8,504,930"
06/07/2021,"62.56","62.80","58.78","60.91","12,238,350"
06/04/2021,"67.31","67.98","64.33","64.43","3,889,637"
06/03/2021,"68.00","70.30","64.55","68.26","6,582,325"
06/02/2021,"70.20","76.85","69.30","76.15","9,468,719"
06/01/2021,"62.50","73.15","62.50","71.76","7,995,459"
05/28/2021,"63.40","65.20","61.59","61.71","1,539,810"
05/27/2021,"61.08","63.88","58.96","63.20","2,247,231"
05/26/2021,"58.30","61.49","58.10","61.43","1,304,139"
05/25/2021,"60.82","60.95","57.25","57.88","1,514,714"
05/24/2021,"61.74","62.09","58.68","59.59","1,429,003"
05/21/2021,"58.95","62.16","57.75","61.18","2,462,500"
05/20/2021,"58.90","59.69","57.10","57.90","1,398,444"
05/19/2021,"54.93","58.20","54.12","56.92","1,616,178"
05/18/2021,"54.11","59.00","53.68","57.44","2,972,446"
05/17/2021,"51.94","53.69","51.26","53.25","1,294,575"
05/14/2021,"50.05","52.42","48.55","51.94","1,795,257"
05/13/2021,"52.03","53.49","47.22","48.89","2,941,607"
05/12/2021,"53.26","54.58","51.10","51.59","1,745,162"
