Date,Open,High,Low,Close,Volume
08/11/2021,"9.95","9.95","9.91","9.95","12,674"
08/10/2021,"9.91","9.95","9.91","9.95","4,462"
08/09/2021,"9.90","9.90","9.89","9.89","1,157"
08/06/2021,"9.88","9.91","9.87","9.91","31,798"
08/05/2021,"9.85","9.97","9.85","9.95","646,508"
08/04/2021,"9.85","9.88","9.85","9.88","32,791"
08/03/2021,"9.91","9.91","9.86","9.88","12,136"
08/02/2021,"9.90","9.90","9.85","9.89","7,405"
07/30/2021,"9.86","9.86","9.81","9.85","8,034"
07/29/2021,"9.86","9.86","9.82","9.85","3,715"
07/28/2021,"9.86","9.89","9.85","9.85","13,920"
07/27/2021,"9.80","9.88","9.80","9.85","23,168"
07/26/2021,"9.86","9.86","9.85","9.85","9,518"
07/23/2021,"9.89","9.89","9.88","9.88","8,365"
07/22/2021,"9.90","9.90","9.87","9.87","3,707"
07/21/2021,"9.90","9.90","9.86","9.88","17,201"
07/20/2021,"9.86","9.89","9.83","9.85","1,085,276"
07/19/2021,"9.90","9.94","9.86","9.86","1,049,551"
07/16/2021,"9.97","9.99","9.90","9.97","158,617"
07/15/2021,"9.95","10.02","9.95","9.99","51,822"
07/14/2021,"10.00","10.00","9.97","9.97","129,348"
07/13/2021,"10.02","10.03","10.01","10.01","137,732"
07/12/2021,"10.00","10.05","10.00","10.05","1,030,741"
07/09/2021,"9.98","10.05","9.98","10.05","1,529,356"
07/08/2021,"10.00","10.04","9.97","9.98","15,054,510"
