Date,Open,High,Low,Close,Volume
08/20/2021,"28.04","28.94","27.93","28.25","377,049"
08/19/2021,"27.55","28.13","27.28","27.88","264,013"
08/18/2021,"27.60","28.28","27.60","27.83","354,344"
08/17/2021,"28.79","28.91","27.68","28.14","221,088"
08/16/2021,"29.60","30.06","28.61","29.13","582,244"
08/13/2021,"29.06","29.61","28.84","29.59","263,805"
08/12/2021,"28.72","29.25","28.30","29.16","404,116"
08/11/2021,"29.23","29.48","28.68","28.92","247,592"
08/10/2021,"28.86","29.29","28.40","29.23","274,292"
08/09/2021,"28.50","29.05","28.12","28.72","328,994"
08/06/2021,"28.58","29.12","28.44","28.53","280,227"
08/05/2021,"28.50","28.96","28.23","28.89","347,351"
08/04/2021,"28.15","28.63","28.02","28.52","372,466"
08/03/2021,"27.73","28.24","27.25","28.22","407,947"
08/02/2021,"27.50","28.24","27.50","27.73","577,594"
07/30/2021,"26.90","27.46","26.18","27.41","856,314"
07/29/2021,"25.91","27.58","25.51","27.12","1,108,861"
07/28/2021,"24.98","25.49","24.79","25.28","800,114"
07/27/2021,"25.72","25.75","24.44","24.93","381,679"
07/26/2021,"26.12","26.35","25.71","25.86","293,500"
07/23/2021,"25.95","26.23","25.44","26.17","347,065"
07/22/2021,"26.55","26.55","25.77","25.88","264,198"
07/21/2021,"25.97","26.76","25.87","26.66","401,545"
07/20/2021,"25.60","26.25","25.14","26.01","366,327"
07/19/2021,"24.72","25.49","24.29","25.48","559,549"
07/16/2021,"26.08","26.19","25.10","25.23","352,912"
07/15/2021,"26.65","26.65","25.62","26.03","185,238"
07/14/2021,"27.64","27.96","26.67","26.77","274,608"
07/13/2021,"27.92","27.98","27.05","27.30","275,613"
07/12/2021,"27.64","28.04","27.41","27.97","343,416"
07/09/2021,"27.50","27.64","26.98","27.53","365,278"
07/08/2021,"26.71","27.14","26.24","27.09","364,756"
07/07/2021,"28.24","28.40","27.41","27.66","625,081"
07/06/2021,"27.72","28.83","27.50","28.24","1,133,160"
07/02/2021,"27.53","27.70","27.33","27.64","322,305"
07/01/2021,"27.60","27.73","27.07","27.37","565,324"
06/30/2021,"27.80","28.00","27.46","27.70","364,649"
06/29/2021,"27.75","27.99","27.59","27.75","233,068"
06/28/2021,"27.42","27.79","27.28","27.71","354,075"
06/25/2021,"27.33","27.66","27.14","27.32","1,197,224"
06/24/2021,"26.77","27.46","26.77","27.42","246,247"
06/23/2021,"26.54","26.88","26.46","26.61","248,878"
06/22/2021,"26.44","27.00","26.25","26.54","412,600"
06/21/2021,"26.50","26.88","26.18","26.55","619,025"
06/18/2021,"26.89","26.97","25.81","26.55","1,251,953"
06/17/2021,"27.13","27.74","26.96","27.18","728,845"
06/16/2021,"27.26","27.72","27.05","27.27","595,881"
06/15/2021,"27.85","28.27","27.19","27.25","508,995"
06/14/2021,"27.58","28.19","27.34","27.86","506,359"
06/11/2021,"27.10","27.50","27.10","27.47","275,509"
06/10/2021,"27.15","27.47","27.04","27.40","364,557"
06/09/2021,"27.35","27.48","27.09","27.29","476,547"
06/08/2021,"27.08","27.50","27.05","27.36","598,629"
06/07/2021,"26.79","27.02","26.43","26.84","901,475"
06/04/2021,"26.50","26.98","26.22","26.93","391,641"
06/03/2021,"26.48","27.00","26.08","26.28","484,025"
06/02/2021,"26.18","26.65","25.76","26.65","803,862"
06/01/2021,"26.31","26.44","25.42","26.22","521,028"
05/28/2021,"26.78","26.97","26.18","26.21","513,709"
05/27/2021,"25.96","26.94","25.26","26.71","1,505,101"
05/26/2021,"25.47","26.31","24.71","26.01","914,784"
05/25/2021,"25.14","25.87","24.97","25.58","778,777"
05/24/2021,"24.18","25.03","23.99","24.90","715,388"
05/21/2021,"24.71","24.96","23.78","24.02","901,334"
05/20/2021,"24.08","24.69","23.89","24.59","1,417,294"
05/19/2021,"23.08","24.24","23.08","23.99","490,791"
05/18/2021,"23.88","24.46","23.63","23.68","623,054"
05/17/2021,"23.55","23.95","23.27","23.80","738,411"
05/14/2021,"23.29","23.96","23.08","23.73","467,481"
05/13/2021,"23.30","23.83","22.05","22.88","844,150"
05/12/2021,"24.10","24.42","22.71","22.86","734,447"
05/11/2021,"23.00","24.68","22.54","24.45","779,310"
05/10/2021,"24.66","24.66","23.80","23.94","698,727"
05/07/2021,"24.76","25.25","24.46","24.79","459,056"
05/06/2021,"25.66","26.00","24.63","24.85","438,671"
05/05/2021,"24.30","25.59","24.21","25.24","791,635"
05/04/2021,"24.01","24.48","23.42","24.11","757,240"
05/03/2021,"24.75","24.75","24.18","24.36","375,437"
04/30/2021,"24.85","25.58","24.60","24.68","703,838"
04/29/2021,"26.00","26.18","25.16","25.33","716,029"
04/28/2021,"26.50","26.77","25.35","25.85","1,065,739"
04/27/2021,"26.68","27.06","26.52","26.59","1,224,039"
04/26/2021,"27.00","27.16","26.58","26.86","1,109,172"
04/23/2021,"25.94","27.58","25.93","27.06","882,421"
04/22/2021,"26.08","26.96","25.84","26.00","289,536"
04/21/2021,"24.85","26.13","24.63","26.09","315,869"
04/20/2021,"25.40","25.68","24.69","25.00","1,002,147"
04/19/2021,"26.50","26.73","25.43","25.65","548,842"
04/16/2021,"26.73","27.38","26.31","26.73","286,511"
04/15/2021,"26.49","27.41","25.93","26.76","647,254"
04/14/2021,"26.35","26.96","25.92","26.09","627,394"
04/13/2021,"26.35","26.53","25.64","26.48","544,145"
04/12/2021,"27.30","27.30","26.15","26.25","420,856"
04/09/2021,"27.61","27.70","27.01","27.40","263,991"
04/08/2021,"27.76","27.99","27.31","27.88","193,515"
04/07/2021,"27.15","27.75","26.96","27.42","315,099"
04/06/2021,"27.87","28.27","26.94","27.64","594,790"
04/05/2021,"27.52","28.00","26.73","28.00","495,535"
04/01/2021,"25.57","27.32","25.57","27.26","580,549"
03/31/2021,"25.48","26.39","25.16","25.35","547,030"
03/30/2021,"24.44","25.03","23.70","24.92","925,515"
03/29/2021,"25.14","25.17","24.40","24.68","699,195"
03/26/2021,"24.38","25.40","24.31","25.27","669,747"
03/25/2021,"23.58","24.59","23.39","24.43","1,096,837"
03/24/2021,"25.70","26.40","23.71","23.91","684,665"
03/23/2021,"26.68","26.68","25.35","25.78","868,818"
03/22/2021,"26.17","27.48","25.74","26.85","614,528"
03/19/2021,"25.90","26.75","25.55","26.04","1,935,918"
03/18/2021,"26.36","27.08","26.06","26.07","659,497"
03/17/2021,"26.44","26.95","25.65","26.92","544,807"
03/16/2021,"26.94","28.08","26.53","26.83","301,269"
03/15/2021,"26.85","27.00","26.14","26.88","383,029"
03/12/2021,"26.60","27.14","25.96","26.79","389,415"
03/11/2021,"25.83","27.25","25.83","26.96","688,496"
03/10/2021,"25.63","26.08","24.98","25.29","471,276"
03/09/2021,"25.79","26.40","25.41","25.83","368,491"
03/08/2021,"25.37","26.36","24.89","25.14","588,964"
03/05/2021,"25.92","26.43","24.31","25.63","819,767"
03/04/2021,"26.35","26.93","23.81","25.45","1,761,404"
03/03/2021,"27.00","27.44","26.41","26.65","780,506"
03/02/2021,"26.87","27.16","26.26","26.94","503,903"
03/01/2021,"26.61","27.19","26.53","27.17","564,097"
02/26/2021,"27.07","27.46","25.68","26.14","914,948"
02/25/2021,"27.90","28.19","26.31","26.72","1,807,173"
02/24/2021,"28.61","29.03","27.04","28.29","1,669,241"
02/23/2021,"29.43","29.67","27.71","28.94","1,132,440"
02/22/2021,"29.75","30.10","29.10","29.46","1,101,446"
02/19/2021,"30.50","30.74","29.84","30.14","764,039"
02/18/2021,"30.07","30.57","29.53","30.29","1,046,565"
02/17/2021,"30.44","30.44","29.91","30.30","815,016"
02/16/2021,"30.76","30.85","29.63","30.49","795,372"
02/12/2021,"30.97","31.00","29.81","30.40","884,202"
02/11/2021,"30.56","30.75","29.45","30.54","1,247,029"
02/10/2021,"30.99","31.20","30.28","30.46","1,670,244"
02/09/2021,"31.26","31.29","30.02","30.46","2,337,488"
02/08/2021,"30.50","31.24","30.01","30.84","3,984,644"
02/05/2021,"30.74","31.20","28.86","30.19","8,652,075"
02/04/2021,"30.09","31.89","29.62","31.66","838,413"
02/03/2021,"31.39","32.29","28.50","29.02","1,608,754"
02/02/2021,"30.87","32.04","29.66","32.01","649,464"
02/01/2021,"29.28","30.48","28.16","30.36","574,411"
01/29/2021,"30.00","30.05","27.74","27.92","1,077,164"
01/28/2021,"30.00","30.36","28.81","29.49","426,756"
01/27/2021,"30.92","30.92","28.65","29.35","831,374"
01/26/2021,"32.89","33.36","30.68","30.82","992,641"
01/25/2021,"34.20","34.40","31.51","31.85","520,642"
01/22/2021,"34.17","34.33","32.96","33.50","448,015"
01/21/2021,"33.08","34.57","32.57","34.10","369,312"
01/20/2021,"32.49","33.69","32.21","32.82","350,334"
01/19/2021,"33.08","33.50","31.58","32.29","701,988"
01/15/2021,"33.30","34.66","31.58","32.72","822,630"
01/14/2021,"33.00","34.47","31.81","33.37","927,525"
01/13/2021,"31.92","33.33","31.88","32.95","910,928"
01/12/2021,"30.28","31.90","30.20","31.35","1,172,980"
01/11/2021,"28.82","30.33","28.72","30.20","439,959"
01/08/2021,"30.00","30.18","28.45","29.19","544,074"
01/07/2021,"28.25","31.15","28.16","29.94","1,627,733"
01/06/2021,"25.82","28.27","25.32","28.07","694,708"
01/05/2021,"25.77","26.60","25.61","26.16","618,899"
01/04/2021,"26.98","27.59","24.86","25.52","1,033,430"
12/31/2020,"25.72","27.49","25.60","26.66","512,439"
12/30/2020,"26.68","28.00","25.35","25.58","687,548"
12/29/2020,"26.40","26.58","25.60","26.58","572,867"
12/28/2020,"25.06","26.16","24.51","26.03","503,782"
12/24/2020,"25.80","25.80","24.65","24.79","402,809"
12/23/2020,"27.77","27.77","24.09","24.81","1,223,896"
12/22/2020,"26.50","27.77","26.50","27.34","1,131,065"
12/21/2020,"25.76","26.40","24.68","26.14","701,490"
12/18/2020,"26.42","26.84","25.19","25.36","3,677,276"
12/17/2020,"26.99","27.23","25.00","26.25","862,502"
12/16/2020,"28.00","28.21","26.25","26.52","876,769"
12/15/2020,"27.77","27.97","26.80","27.37","540,202"
12/14/2020,"26.65","27.20","26.13","26.80","303,345"
12/11/2020,"27.50","27.90","25.80","26.08","559,826"
12/10/2020,"25.46","27.79","25.05","26.52","1,008,491"
12/09/2020,"26.51","27.56","24.52","25.37","488,190"
12/08/2020,"28.11","28.28","26.54","26.60","310,680"
12/07/2020,"28.42","28.42","26.50","27.74","384,541"
12/04/2020,"28.00","29.48","27.00","28.00","754,543"
12/03/2020,"25.94","28.56","25.13","27.12","745,301"
12/02/2020,"24.18","26.79","24.03","25.71","833,756"
12/01/2020,"23.51","25.45","23.13","24.73","576,217"
11/30/2020,"26.00","26.50","23.71","23.95","501,030"
11/27/2020,"25.60","25.90","25.00","25.41","500,216"
11/25/2020,"24.20","24.86","23.83","24.00","606,823"
11/24/2020,"22.31","25.53","21.92","23.63","1,171,491"
11/23/2020,"23.50","24.00","21.86","21.86","1,295,516"
11/20/2020,"22.73","23.77","22.42","22.79","851,795"
11/19/2020,"21.67","23.93","21.67","22.53","507,264"
11/18/2020,"22.20","22.51","21.50","21.60","324,288"
