Date,Open,High,Low,Close,Volume
08/12/2021,"17.89","18.18","17.15","17.99","254,385"
08/11/2021,"18.43","18.52","17.37","17.65","193,562"
08/10/2021,"20.34","20.60","18.28","18.51","337,432"
08/09/2021,"20.17","20.55","19.72","20.21","428,225"
08/06/2021,"21.00","21.05","19.60","20.24","304,148"
08/05/2021,"20.38","21.00","20.01","20.96","282,608"
08/04/2021,"20.74","20.99","19.99","20.51","92,002"
08/03/2021,"20.91","21.86","20.67","20.90","131,680"
08/02/2021,"20.88","21.12","20.32","20.85","209,753"
07/30/2021,"21.38","21.81","20.58","20.83","117,970"
07/29/2021,"21.10","21.51","20.76","21.29","79,055"
07/28/2021,"19.75","21.07","19.71","20.97","317,542"
07/27/2021,"19.71","19.98","18.91","19.81","176,660"
07/26/2021,"20.38","20.40","19.49","19.66","64,679"
07/23/2021,"20.25","21.18","20.01","20.30","133,080"
07/22/2021,"20.25","20.46","19.94","20.24","153,307"
07/21/2021,"20.05","20.58","19.78","20.18","170,442"
07/20/2021,"20.31","20.44","19.81","19.97","250,359"
07/19/2021,"20.03","20.45","19.77","20.10","183,856"
07/16/2021,"20.90","21.27","20.16","20.27","242,626"
07/15/2021,"20.65","20.83","20.02","20.74","174,477"
07/14/2021,"21.34","21.34","19.92","20.59","333,752"
07/13/2021,"21.58","21.92","21.09","21.21","140,385"
07/12/2021,"21.72","21.84","21.08","21.65","276,772"
07/09/2021,"22.60","22.75","21.47","21.49","191,836"
07/08/2021,"23.11","23.11","22.15","22.46","192,980"
07/07/2021,"23.03","23.50","22.52","23.47","216,367"
07/06/2021,"23.07","23.17","22.58","22.98","154,995"
07/02/2021,"22.90","23.00","22.25","22.92","184,961"
07/01/2021,"23.35","23.40","22.72","22.79","148,839"
06/30/2021,"23.13","23.58","22.89","23.37","350,613"
06/29/2021,"24.25","24.52","23.26","23.29","175,026"
06/28/2021,"25.06","25.20","23.76","24.25","442,079"
06/25/2021,"25.42","25.69","24.63","24.82","3,395,818"
06/24/2021,"26.37","26.53","25.50","25.64","193,533"
06/23/2021,"26.48","26.96","26.08","26.41","269,627"
06/22/2021,"26.81","27.40","26.30","26.48","150,745"
06/21/2021,"26.84","27.74","26.30","27.27","268,628"
06/18/2021,"26.56","27.44","25.99","26.80","1,802,706"
06/17/2021,"26.38","27.92","26.23","26.35","480,277"
06/16/2021,"25.44","27.16","24.35","26.75","369,298"
06/15/2021,"24.72","25.73","24.59","25.51","271,098"
06/14/2021,"23.72","25.25","23.22","24.51","322,527"
06/11/2021,"23.73","23.73","22.93","23.60","184,328"
06/10/2021,"23.60","23.86","22.83","23.66","199,293"
06/09/2021,"24.11","25.18","23.71","23.84","254,030"
06/08/2021,"23.16","24.41","23.16","24.07","299,482"
06/07/2021,"23.35","23.72","22.81","23.21","211,719"
06/04/2021,"23.44","23.84","22.87","23.37","160,525"
06/03/2021,"24.85","25.08","23.33","23.44","309,213"
06/02/2021,"24.99","25.72","24.75","25.07","236,583"
06/01/2021,"25.11","25.36","23.70","25.00","227,000"
05/28/2021,"25.12","26.17","24.63","25.23","292,493"
05/27/2021,"23.98","25.26","23.60","25.02","221,886"
05/26/2021,"24.10","24.91","23.54","24.07","423,979"
05/25/2021,"23.16","24.55","22.64","24.01","371,812"
05/24/2021,"23.74","24.60","22.81","23.00","336,133"
05/21/2021,"23.29","24.02","22.79","23.75","372,714"
05/20/2021,"22.69","23.42","22.64","23.22","297,382"
05/19/2021,"22.35","24.05","21.57","22.74","279,857"
05/18/2021,"23.03","24.02","21.38","22.39","365,602"
05/17/2021,"21.30","23.23","21.30","22.58","224,063"
05/14/2021,"20.55","20.97","19.83","20.96","205,102"
05/13/2021,"21.21","23.05","20.26","20.57","214,098"
05/12/2021,"22.25","22.45","20.88","21.32","248,237"
05/11/2021,"20.71","22.56","20.24","22.11","177,310"
05/10/2021,"24.07","24.07","21.42","21.51","270,815"
05/07/2021,"25.11","26.10","23.41","23.62","548,579"
05/06/2021,"26.67","27.57","24.76","25.14","476,895"
05/05/2021,"27.09","28.59","26.51","26.89","186,335"
05/04/2021,"26.02","27.30","25.26","27.13","251,513"
05/03/2021,"26.84","28.46","25.50","26.34","205,433"
04/30/2021,"26.74","26.93","26.05","26.54","276,726"
04/29/2021,"26.77","27.66","26.43","26.73","393,565"
04/28/2021,"26.08","27.16","25.65","26.77","152,998"
04/27/2021,"27.00","27.36","26.00","26.01","279,806"
04/26/2021,"24.64","28.02","24.43","26.76","467,951"
04/23/2021,"23.21","24.78","22.75","24.71","183,808"
04/22/2021,"23.46","23.63","22.55","23.00","259,848"
04/21/2021,"22.82","24.33","22.68","23.50","196,543"
04/20/2021,"24.51","25.69","22.30","23.02","601,756"
04/19/2021,"26.08","26.08","24.44","25.13","268,342"
04/16/2021,"25.81","26.17","25.32","26.06","256,036"
04/15/2021,"24.66","26.00","24.40","25.58","178,578"
04/14/2021,"24.00","25.00","23.83","24.66","543,370"
04/13/2021,"23.63","24.03","23.08","23.80","561,699"
04/12/2021,"23.77","24.34","23.20","23.52","547,940"
04/09/2021,"22.51","24.00","21.83","23.83","248,811"
04/08/2021,"21.77","23.15","21.50","22.77","269,418"
04/07/2021,"23.84","24.14","21.56","21.77","209,591"
04/06/2021,"23.73","24.80","23.52","23.59","721,330"
04/05/2021,"23.85","23.99","22.59","23.52","446,267"
04/01/2021,"21.50","24.00","20.58","23.20","3,178,809"
03/31/2021,"20.32","22.15","20.00","21.93","1,197,380"
03/30/2021,"18.75","20.86","18.25","19.94","1,447,088"
03/29/2021,"17.00","19.24","17.00","19.00","1,483,188"
03/26/2021,"19.05","19.70","16.32","17.31","5,326,988"
