Date,Open,High,Low,Close,Volume
08/11/2021,"31.00","31.40","30.00","31.15","155,180"
08/10/2021,"30.69","31.96","30.20","31.09","464,969"
08/09/2021,"30.65","31.00","29.25","30.86","845,417"
08/06/2021,"32.63","33.36","30.68","31.21","249,964"
08/05/2021,"30.83","33.77","30.83","32.20","291,937"
08/04/2021,"30.64","31.77","30.07","31.45","93,053"
08/03/2021,"30.91","31.20","29.11","30.72","194,368"
08/02/2021,"31.43","31.44","30.28","30.57","130,193"
07/30/2021,"31.94","32.07","30.92","31.29","111,016"
07/29/2021,"30.84","32.24","30.38","31.93","199,751"
07/28/2021,"30.19","31.02","29.85","30.84","117,425"
07/27/2021,"30.43","31.46","29.51","30.47","101,235"
07/26/2021,"31.74","31.74","29.83","30.36","155,566"
07/23/2021,"32.10","32.10","30.61","31.54","243,810"
07/22/2021,"32.67","33.02","31.28","31.90","139,574"
07/21/2021,"32.44","32.97","31.81","32.61","310,945"
07/20/2021,"32.63","32.63","31.58","32.42","181,922"
07/19/2021,"31.13","32.15","30.28","32.10","266,912"
07/16/2021,"32.55","32.79","31.33","32.16","187,003"
07/15/2021,"32.73","32.73","30.25","32.25","140,293"
07/14/2021,"34.00","34.00","30.97","31.18","235,561"
07/13/2021,"34.85","35.56","33.00","33.50","250,113"
07/12/2021,"35.66","36.00","34.94","35.16","187,311"
07/09/2021,"34.83","35.85","34.83","35.76","25,192"
07/08/2021,"35.58","35.58","34.07","34.89","64,407"
07/07/2021,"36.67","37.04","35.92","36.24","147,380"
07/06/2021,"36.72","36.76","36.11","36.67","78,914"
07/02/2021,"36.49","36.78","36.34","36.62","105,228"
07/01/2021,"35.71","36.49","35.43","36.23","99,482"
06/30/2021,"36.80","37.33","35.25","35.67","138,864"
06/29/2021,"36.73","37.99","36.56","36.88","145,543"
06/28/2021,"35.90","38.34","35.36","36.70","179,586"
06/25/2021,"38.19","38.63","35.00","36.04","905,927"
06/24/2021,"36.34","38.41","36.18","37.73","117,060"
06/23/2021,"36.00","36.57","35.55","35.97","93,634"
06/22/2021,"35.52","36.86","35.44","36.00","121,729"
06/21/2021,"34.23","35.67","34.23","35.50","235,566"
06/18/2021,"32.65","34.52","32.65","34.46","113,805"
06/17/2021,"32.60","33.30","32.33","32.97","109,140"
06/16/2021,"32.19","32.88","32.15","32.66","153,511"
06/15/2021,"32.84","33.28","32.39","32.66","110,960"
06/14/2021,"31.99","33.31","31.98","32.81","137,168"
06/11/2021,"32.00","32.55","31.52","32.01","143,953"
06/10/2021,"31.79","32.45","31.51","32.25","63,039"
06/09/2021,"32.87","33.29","31.78","31.93","95,300"
06/08/2021,"33.49","34.40","32.93","32.99","116,401"
06/07/2021,"32.89","33.55","32.86","33.34","274,269"
06/04/2021,"32.84","33.37","32.39","33.06","152,774"
06/03/2021,"33.06","33.39","32.43","32.96","162,795"
06/02/2021,"33.49","33.64","32.97","33.54","123,056"
06/01/2021,"33.28","33.88","32.67","33.58","171,803"
05/28/2021,"33.48","33.98","32.67","33.27","98,317"
05/27/2021,"33.66","34.94","32.60","33.48","192,234"
05/26/2021,"33.50","34.95","33.33","34.18","251,691"
05/25/2021,"32.25","33.32","32.18","33.30","220,851"
05/24/2021,"30.78","32.50","30.78","32.00","148,334"
05/21/2021,"30.69","31.54","30.35","30.71","221,972"
05/20/2021,"28.09","30.76","28.09","30.30","575,088"
05/19/2021,"27.00","28.07","26.54","27.24","166,551"
05/18/2021,"26.46","28.45","26.12","27.57","476,719"
05/17/2021,"28.58","28.95","26.85","27.06","761,813"
05/14/2021,"30.00","30.58","28.47","29.24","953,671"
05/13/2021,"32.47","35.15","30.41","31.02","220,002"
05/12/2021,"35.60","35.98","32.26","32.65","366,566"
05/11/2021,"37.38","38.29","35.90","36.03","165,250"
05/10/2021,"38.30","40.38","38.00","38.92","200,203"
05/07/2021,"41.94","42.32","37.52","38.65","325,482"
05/06/2021,"42.55","42.55","41.22","41.93","130,657"
05/05/2021,"42.50","43.69","41.43","42.71","246,250"
05/04/2021,"46.24","46.24","42.07","42.50","71,806"
05/03/2021,"48.09","48.09","45.91","46.46","35,268"
04/30/2021,"47.14","48.17","46.11","47.69","38,024"
04/29/2021,"47.71","48.28","46.01","47.67","39,289"
04/28/2021,"46.63","47.28","46.22","47.00","37,481"
04/27/2021,"46.28","47.47","44.26","46.71","55,663"
04/26/2021,"44.36","46.98","43.98","45.83","115,971"
04/23/2021,"44.69","45.25","43.03","44.63","108,160"
04/22/2021,"42.30","45.70","41.17","44.24","151,817"
04/21/2021,"41.09","42.74","40.18","42.05","217,565"
04/20/2021,"41.35","42.01","40.10","41.44","337,304"
04/19/2021,"42.74","42.74","40.03","41.57","407,267"
04/16/2021,"42.00","45.42","41.27","42.13","334,670"
04/15/2021,"42.65","48.50","41.60","41.63","1,267,583"
04/14/2021,"41.26","49.32","41.05","43.00","5,737,366"
