Date,Open,High,Low,Close,Volume
08/11/2021,"17.24","18.10","17.00","17.49","24,601"
08/10/2021,"18.66","18.66","17.20","17.60","65,820"
08/09/2021,"19.50","19.50","18.55","18.70","14,912"
08/06/2021,"19.48","19.48","18.41","18.75","11,399"
08/05/2021,"18.85","19.54","18.50","19.10","22,649"
08/04/2021,"19.72","19.75","18.05","18.35","106,194"
08/03/2021,"21.36","22.00","19.68","20.01","33,922"
08/02/2021,"21.05","22.00","19.86","19.90","55,817"
07/30/2021,"20.01","20.74","19.20","19.55","14,608"
07/29/2021,"22.75","22.75","20.01","20.10","37,447"
07/28/2021,"19.85","21.99","19.84","21.99","7,356"
07/27/2021,"20.90","21.46","20.13","20.25","14,997"
07/26/2021,"21.37","21.50","20.59","20.91","26,518"
07/23/2021,"21.36","21.85","21.18","21.72","52,779"
07/22/2021,"21.60","22.07","21.60","21.60","63,697"
07/21/2021,"22.40","22.40","21.28","21.60","114,036"
07/20/2021,"21.95","22.50","21.17","21.58","50,216"
07/19/2021,"21.75","21.95","20.56","20.97","62,581"
07/16/2021,"18.15","20.10","18.15","19.56","22,700"
07/15/2021,"21.95","22.00","18.50","18.54","66,319"
07/14/2021,"22.30","22.78","21.41","22.00","44,486"
07/13/2021,"22.30","22.86","22.12","22.53","70,247"
07/12/2021,"21.09","21.52","21.00","21.30","9,056"
07/09/2021,"21.89","22.87","21.30","21.32","37,970"
07/08/2021,"19.72","22.61","19.43","21.84","56,113"
07/07/2021,"20.00","20.45","19.76","19.76","23,404"
07/06/2021,"19.87","19.93","18.68","19.79","3,863"
07/02/2021,"18.73","19.75","18.02","19.11","14,037"
07/01/2021,"19.32","19.45","18.80","18.80","35,415"
06/30/2021,"18.21","19.88","18.00","19.60","141,792"
06/29/2021,"16.52","18.25","16.52","18.16","120,824"
06/28/2021,"17.00","17.47","16.03","16.81","114,968"
06/25/2021,"17.35","17.50","17.04","17.20","62,326"
06/24/2021,"16.00","17.02","15.76","16.40","10,910"
06/23/2021,"15.65","16.10","15.50","15.98","57,718"
06/22/2021,"16.20","16.33","15.56","15.95","69,660"
06/21/2021,"17.50","17.69","16.19","16.23","71,999"
06/18/2021,"18.00","18.00","14.94","17.05","1,499,445"
