Date,Open,High,Low,Close,Volume
08/20/2021,"1.7400","1.8500","1.7200","1.7300","328,066"
08/19/2021,"1.8000","1.8200","1.6700","1.7400","225,894"
08/18/2021,"1.8800","1.9600","1.8500","1.8600","120,524"
08/17/2021,"2.0700","2.0700","1.8000","1.8500","545,957"
08/16/2021,"2.1000","2.1245","2.0300","2.0700","292,189"
08/13/2021,"2.1800","2.2000","2.1000","2.1000","121,473"
08/12/2021,"2.2400","2.2700","2.1500","2.1800","127,380"
08/11/2021,"2.2000","2.3200","2.1800","2.2700","212,980"
08/10/2021,"2.1600","2.2600","2.1300","2.2200","252,964"
08/09/2021,"2.0800","2.1900","2.0700","2.1300","240,690"
08/06/2021,"2.1100","2.1400","2.0500","2.0900","128,417"
08/05/2021,"2.0800","2.1300","2.0600","2.1000","131,180"
08/04/2021,"2.1300","2.1500","2.0700","2.0800","118,651"
08/03/2021,"2.1100","2.1800","2.0343","2.1800","198,702"
08/02/2021,"2.0600","2.1600","2.0600","2.1300","127,058"
07/30/2021,"2.0800","2.1600","2.0550","2.0800","116,360"
07/29/2021,"2.1000","2.1283","2.0600","2.1000","95,637"
07/28/2021,"2.1000","2.1900","2.0400","2.1300","244,754"
07/27/2021,"2.1600","2.2000","2.0200","2.1200","167,091"
07/26/2021,"2.2882","2.2882","2.0275","2.1600","450,823"
07/23/2021,"2.1900","2.2200","2.0200","2.0300","327,174"
07/22/2021,"2.2900","2.3200","2.1400","2.2200","323,590"
07/21/2021,"2.2280","2.3000","2.2100","2.2700","237,645"
07/20/2021,"2.1300","2.4200","2.1147","2.2400","654,394"
07/19/2021,"2.0600","2.1799","2.0200","2.1600","195,015"
07/16/2021,"2.1500","2.1600","2.0600","2.1100","245,175"
07/15/2021,"2.1900","2.2300","2.1000","2.1400","361,239"
07/14/2021,"2.1800","2.2400","2.1500","2.1700","335,695"
07/13/2021,"2.2800","2.3400","2.1800","2.1900","582,441"
07/12/2021,"2.3800","2.4600","2.2800","2.3000","508,606"
07/09/2021,"2.4100","2.4800","2.2300","2.3400","1,044,415"
07/08/2021,"2.3200","2.4500","2.2700","2.3900","522,445"
07/07/2021,"2.7055","2.7546","2.3801","2.4400","1,168,282"
07/06/2021,"2.3800","3.0700","2.3100","2.8500","3,240,277"
07/02/2021,"2.5000","2.5600","2.2800","2.3800","966,798"
07/01/2021,"2.6800","2.6999","2.5000","2.5100","819,626"
06/30/2021,"3.0213","3.0213","2.6000","2.7500","1,963,920"
06/29/2021,"2.8000","3.3500","2.7000","3.1100","10,512,040"
06/28/2021,"2.5300","2.6400","2.4400","2.5700","1,092,261"
06/25/2021,"2.5100","2.6080","2.4600","2.5300","334,361"
06/24/2021,"2.5200","2.6400","2.4200","2.5400","507,935"
06/23/2021,"2.3600","2.5900","2.3400","2.5700","816,320"
06/22/2021,"2.4300","2.4380","2.3200","2.4100","705,550"
06/21/2021,"2.4800","2.5600","2.3800","2.4600","666,697"
06/18/2021,"2.6400","2.6930","2.4800","2.5800","1,062,170"
06/17/2021,"2.7200","2.7800","2.6000","2.7800","827,999"
06/16/2021,"2.6600","2.8800","2.5600","2.7900","1,239,702"
06/15/2021,"2.8900","2.8900","2.6000","2.6700","1,424,438"
06/14/2021,"3.1910","3.2200","2.8100","2.9000","3,645,053"
06/11/2021,"4.1800","4.5000","2.9600","3.2000","42,708,238"
06/10/2021,"2.2200","4.4300","2.1600","2.7700","32,745,260"
06/09/2021,"2.2900","2.3696","2.1800","2.2100","147,938"
06/08/2021,"2.2500","2.2900","2.2200","2.2400","42,885"
06/07/2021,"2.3400","2.3400","2.1600","2.2300","106,711"
06/04/2021,"2.3300","2.3450","2.2800","2.3000","26,125"
06/03/2021,"2.4200","2.5400","2.2500","2.2900","136,300"
06/02/2021,"2.5400","2.5500","2.4300","2.4890","117,285"
06/01/2021,"2.4400","2.6000","2.3600","2.5300","165,851"
05/28/2021,"2.3800","2.4400","2.3200","2.3900","76,405"
05/27/2021,"2.3900","2.5000","2.2850","2.3750","69,066"
05/26/2021,"2.2800","2.4000","2.2000","2.3500","71,624"
05/25/2021,"2.2200","2.3000","2.1800","2.2900","42,420"
05/24/2021,"2.2500","2.2900","2.1200","2.2100","75,730"
05/21/2021,"2.2100","2.2500","2.1601","2.2050","29,862"
05/20/2021,"2.2100","2.2400","2.1600","2.2200","97,956"
05/19/2021,"2.1600","2.3300","2.1078","2.2700","242,201"
05/18/2021,"2.1500","2.2200","2.1500","2.1900","79,045"
05/17/2021,"2.3800","2.3829","2.1800","2.1800","63,783"
05/14/2021,"2.3100","2.4800","2.2200","2.3800","128,028"
05/13/2021,"2.2700","2.2700","2.1000","2.1900","195,113"
05/12/2021,"2.3200","2.5199","2.0500","2.1000","92,715"
05/11/2021,"2.2100","2.5000","2.0200","2.2700","121,749"
05/10/2021,"2.7500","2.7508","2.4976","2.5400","74,877"
05/07/2021,"2.5800","2.7538","2.5500","2.7000","88,984"
05/06/2021,"2.6500","2.7800","2.5800","2.6100","135,063"
05/05/2021,"2.7500","2.7899","2.5400","2.6000","123,773"
05/04/2021,"3.1200","3.4790","2.7100","2.7900","550,997"
05/03/2021,"2.9000","3.0000","2.8000","2.8900","107,787"
04/30/2021,"2.5400","2.8746","2.5400","2.8200","96,505"
04/29/2021,"2.9500","2.9800","2.5324","2.5800","108,608"
04/28/2021,"2.9400","2.9400","2.8100","2.8900","23,966"
04/27/2021,"3.1200","3.1200","2.9000","2.9400","69,688"
04/26/2021,"2.9700","3.0979","2.9200","2.9500","62,463"
04/23/2021,"3.0000","3.0500","2.9650","3.0000","22,871"
04/22/2021,"3.0100","3.1300","2.9400","2.9800","49,042"
04/21/2021,"2.7000","2.9900","2.7000","2.9300","101,753"
04/20/2021,"2.8000","2.8748","2.6900","2.7100","32,896"
04/19/2021,"2.8000","2.9099","2.7000","2.7600","125,815"
04/16/2021,"3.1600","3.2400","2.6800","2.7400","158,909"
04/15/2021,"3.4300","3.4400","3.2000","3.2000","89,408"
04/14/2021,"3.1500","3.3661","3.1200","3.3000","69,506"
04/13/2021,"3.0600","3.3499","3.0600","3.1000","92,925"
04/12/2021,"3.5800","3.5801","3.2200","3.2200","109,260"
04/09/2021,"3.6800","3.7400","3.5000","3.6300","66,722"
04/08/2021,"3.8400","3.8400","3.3600","3.6000","428,205"
04/07/2021,"3.9800","3.9800","3.6242","3.9000","198,409"
04/06/2021,"4.1700","4.2000","3.9800","4.0000","386,787"
04/05/2021,"4.2700","4.3000","4.1250","4.2100","61,875"
04/01/2021,"4.1500","4.2499","4.0500","4.1600","77,371"
03/31/2021,"4.2500","4.4050","4.0100","4.1400","101,065"
03/30/2021,"4.5700","4.5700","4.1300","4.2300","115,784"
03/29/2021,"4.7821","4.7821","4.5900","4.6300","18,160"
03/26/2021,"5.0000","5.0000","4.7501","4.8300","26,827"
03/25/2021,"5.1000","5.1000","4.8500","4.9100","50,034"
03/24/2021,"5.0000","5.2400","4.9000","5.1400","54,757"
03/23/2021,"5.1700","5.2700","5.0000","5.0000","61,749"
03/22/2021,"5.1700","5.3500","4.8800","4.8800","22,608"
03/19/2021,"5.2300","5.3750","5.0500","5.0500","44,323"
03/18/2021,"5.3200","5.4900","5.1600","5.1600","39,840"
03/17/2021,"5.2600","5.6286","5.2500","5.2600","20,761"
03/16/2021,"5.6900","5.8300","5.3300","5.4500","40,376"
03/15/2021,"5.5100","5.7400","5.5100","5.6000","18,940"
03/12/2021,"5.4910","5.7761","5.4910","5.6800","20,697"
03/11/2021,"5.7400","5.9600","5.5000","5.5600","19,912"
03/10/2021,"5.6000","6.0225","5.5500","5.7300","34,073"
03/09/2021,"6.4200","6.4599","5.4463","5.5900","105,712"
03/08/2021,"6.0500","6.5000","6.0200","6.4100","62,559"
03/05/2021,"5.1700","6.0200","5.1300","5.8700","99,917"
03/04/2021,"6.4200","6.4900","5.0800","5.2000","107,378"
03/03/2021,"6.4400","6.8000","6.0500","6.4000","24,734"
03/02/2021,"6.1700","6.4900","6.1700","6.4500","35,865"
03/01/2021,"6.1900","6.1900","5.8500","6.0400","43,706"
