Date,Open,High,Low,Close,Volume
08/20/2021,"9.57","10.21","9.57","9.80","3,647,990"
08/19/2021,"10.08","10.20","9.43","9.52","3,909,131"
08/18/2021,"10.43","10.48","10.08","10.12","1,602,193"
08/17/2021,"10.40","10.73","10.16","10.44","2,379,744"
08/16/2021,"11.10","11.15","10.47","10.50","1,600,699"
08/13/2021,"10.64","11.50","10.50","11.16","2,356,333"
08/12/2021,"10.13","10.83","9.95","10.75","5,391,873"
08/11/2021,"10.70","10.73","10.20","10.28","2,570,813"
08/10/2021,"11.26","11.44","10.64","10.68","2,306,899"
08/09/2021,"11.24","11.30","10.89","11.20","1,889,683"
08/06/2021,"11.64","11.68","11.23","11.24","1,484,219"
08/05/2021,"11.15","11.59","10.94","11.57","1,744,492"
08/04/2021,"11.26","11.73","11.06","11.16","1,864,880"
08/03/2021,"11.15","11.36","10.95","11.31","1,970,113"
08/02/2021,"11.71","11.73","11.12","11.19","2,751,122"
07/30/2021,"11.65","11.89","11.49","11.65","1,199,670"
07/29/2021,"11.68","11.97","11.57","11.70","1,667,080"
07/28/2021,"11.04","11.71","10.89","11.63","1,765,124"
07/27/2021,"11.19","11.35","10.95","11.29","1,560,967"
07/26/2021,"11.33","11.60","11.18","11.23","1,221,670"
07/23/2021,"11.61","11.61","11.19","11.41","1,778,701"
07/22/2021,"11.78","11.86","11.45","11.63","919,272"
07/21/2021,"11.50","11.94","11.29","11.80","1,476,183"
07/20/2021,"11.60","11.70","11.33","11.48","4,363,739"
07/19/2021,"10.70","11.63","10.55","11.50","3,435,741"
07/16/2021,"10.87","10.94","10.68","10.85","1,580,870"
07/15/2021,"10.91","11.09","10.59","10.83","2,595,967"
07/14/2021,"11.60","11.60","10.84","10.99","3,324,977"
07/13/2021,"11.82","11.91","11.42","11.45","2,169,958"
07/12/2021,"12.12","12.24","11.67","11.94","1,520,547"
07/09/2021,"12.32","12.32","12.07","12.14","1,411,872"
07/08/2021,"11.63","12.22","11.54","12.21","1,477,771"
07/07/2021,"12.14","12.22","11.72","12.11","2,024,763"
07/06/2021,"12.21","12.46","11.94","12.17","2,007,077"
07/02/2021,"12.51","12.56","12.02","12.28","2,033,153"
07/01/2021,"12.55","12.76","12.33","12.62","3,420,316"
06/30/2021,"12.89","12.89","12.37","12.58","3,428,888"
06/29/2021,"13.79","13.85","12.89","12.92","2,652,536"
06/28/2021,"14.00","14.05","13.50","13.56","3,308,279"
06/25/2021,"13.79","13.94","13.34","13.73","27,782,311"
06/24/2021,"13.50","13.93","13.38","13.67","3,444,783"
06/23/2021,"13.50","13.68","13.17","13.31","3,182,518"
06/22/2021,"13.61","13.82","13.44","13.56","5,383,901"
06/21/2021,"13.53","13.77","13.12","13.70","3,968,268"
06/18/2021,"13.54","13.80","13.33","13.48","3,977,041"
06/17/2021,"13.51","13.83","13.33","13.71","4,943,642"
06/16/2021,"13.34","13.80","13.23","13.66","4,092,915"
06/15/2021,"13.69","14.02","13.17","13.35","2,995,148"
06/14/2021,"14.00","14.18","13.66","13.85","2,326,876"
06/11/2021,"14.08","14.16","13.65","13.92","5,975,437"
06/10/2021,"13.53","14.01","13.41","13.97","2,374,059"
06/09/2021,"14.73","14.76","13.63","13.74","3,204,781"
06/08/2021,"13.94","14.28","13.61","14.26","4,256,945"
06/07/2021,"12.71","13.75","12.52","13.59","3,729,945"
06/04/2021,"12.90","12.94","12.48","12.65","3,329,670"
06/03/2021,"12.96","13.16","12.47","12.93","2,286,047"
06/02/2021,"12.92","13.22","12.65","13.03","5,276,955"
06/01/2021,"12.54","12.98","12.28","12.83","3,863,081"
05/28/2021,"12.61","13.15","12.45","12.45","2,375,569"
05/27/2021,"12.06","12.61","11.62","12.50","2,901,190"
05/26/2021,"11.91","12.37","11.81","12.12","2,677,619"
05/25/2021,"11.55","12.17","11.51","11.90","2,256,873"
05/24/2021,"11.72","11.85","11.32","11.53","2,224,684"
05/21/2021,"11.94","12.20","11.68","11.70","2,112,354"
05/20/2021,"11.83","12.39","11.63","11.88","3,448,123"
05/19/2021,"11.96","12.27","11.61","11.79","3,584,996"
05/18/2021,"12.06","12.88","11.86","12.52","3,475,668"
05/17/2021,"11.94","12.26","11.71","11.98","4,429,381"
05/14/2021,"10.23","11.78","10.23","11.71","8,436,489"
05/13/2021,"11.98","12.34","9.69","10.05","15,901,120"
05/12/2021,"12.44","13.10","12.38","12.82","5,198,217"
05/11/2021,"11.89","12.80","11.89","12.71","3,233,952"
05/10/2021,"13.83","13.83","12.71","12.76","3,640,963"
05/07/2021,"13.79","14.53","13.59","13.93","2,316,662"
05/06/2021,"14.03","14.04","12.98","13.62","4,296,120"
05/05/2021,"13.72","14.48","13.64","14.14","3,468,732"
05/04/2021,"14.67","14.67","13.63","13.75","4,854,952"
05/03/2021,"15.38","15.38","14.53","14.64","6,988,734"
04/30/2021,"16.13","16.15","15.26","15.39","5,631,001"
04/29/2021,"17.10","17.10","15.66","16.14","5,498,474"
04/28/2021,"17.95","18.05","17.10","17.21","2,372,559"
04/27/2021,"18.20","18.29","17.67","17.95","1,687,091"
04/26/2021,"19.08","19.21","18.20","18.30","2,545,719"
04/23/2021,"17.64","19.06","17.60","18.73","5,429,618"
04/22/2021,"17.43","18.00","17.07","17.95","3,014,015"
04/21/2021,"16.73","17.37","16.25","17.31","1,821,413"
04/20/2021,"16.79","17.38","16.50","16.71","1,991,693"
04/19/2021,"17.00","17.15","16.40","16.81","2,507,492"
04/16/2021,"17.12","17.17","16.48","17.00","4,121,686"
04/15/2021,"17.12","17.80","17.06","17.36","2,064,043"
