Date,Open,High,Low,Close,Volume
08/30/2021,"6.95","6.99","6.95","6.99","961"
08/27/2021,"6.88","7.06","6.88","6.90","1,012"
08/26/2021,"6.75","6.75","6.66","6.66","877"
08/25/2021,"6.60","6.60","6.60","6.60","518"
08/24/2021,"6.84","6.84","6.60","6.60","876"
08/23/2021,"6.92","6.92","6.84","6.84","4,540"
08/20/2021,"7.00","7.07","6.90","7.07","448"
08/19/2021,"6.90","6.94","6.90","6.94","874"
08/18/2021,"6.90","6.95","6.90","6.91","1,820"
08/17/2021,"7.00","7.00","7.00","7.00","138"
08/16/2021,"7.00","7.00","7.00","7.00","304"
08/13/2021,"7.19","7.19","6.92","6.98","2,810"
08/12/2021,"7.02","7.42","6.90","7.32","13,658"
08/11/2021,"7.25","7.25","7.25","7.25","212"
08/10/2021,"7.13","7.44","7.00","7.25","13,716"
08/09/2021,"7.30","7.30","7.30","7.30","264"
08/06/2021,"7.44","7.44","7.44","7.44","82"
08/05/2021,"7.09","7.44","6.91","7.44","1,246"
08/04/2021,"7.00","7.00","6.81","6.88","1,765"
08/03/2021,"7.35","7.37","6.60","7.00","6,037"
08/02/2021,"7.43","7.49","7.40","7.46","924"
07/30/2021,"7.26","7.26","7.26","7.26","1,336"
07/29/2021,"7.31","7.31","7.11","7.12","1,204"
07/28/2021,"7.12","7.12","7.12","7.12","324"
07/27/2021,"7.00","7.00","7.00","7.00","102"
07/26/2021,"6.87","7.00","6.87","7.00","3,324"
07/23/2021,"7.02","7.04","7.01","7.01","1,576"
07/22/2021,"7.44","7.44","7.44","7.44","91"
07/21/2021,"7.44","7.44","7.44","7.44","407"
07/20/2021,"6.60","7.75","6.60","7.10","3,240"
07/19/2021,"6.60","6.61","6.60","6.61","1,490"
07/16/2021,"6.90","7.00","6.77","6.85","4,352"
07/15/2021,"7.00","7.12","7.00","7.01","2,138"
07/14/2021,"7.57","7.57","7.02","7.02","4,054"
07/13/2021,"7.77","7.77","7.31","7.67","11,815"
07/12/2021,"7.50","7.77","7.20","7.77","14,162"
07/09/2021,"7.20","7.55","7.11","7.40","5,585"
07/08/2021,"6.75","7.52","6.75","7.05","7,846"
07/07/2021,"6.91","7.56","6.61","7.18","23,243"
07/06/2021,"6.90","6.90","6.65","6.70","5,348"
07/02/2021,"6.91","6.91","6.57","6.57","4,935"
07/01/2021,"6.76","7.00","6.75","6.86","5,191"
06/30/2021,"6.79","7.08","6.79","6.82","1,800"
06/29/2021,"6.96","6.97","6.58","6.58","10,164"
06/28/2021,"7.11","7.30","6.95","6.95","3,963"
06/25/2021,"7.14","7.19","7.09","7.19","10,307"
06/24/2021,"7.04","7.45","7.04","7.05","2,540"
06/23/2021,"7.03","7.56","6.87","6.93","2,407"
06/22/2021,"7.31","7.63","6.69","6.95","7,013"
06/21/2021,"7.32","7.70","6.65","7.30","66,437"
06/18/2021,"7.70","8.49","6.55","7.30","90,437"
06/17/2021,"7.77","8.09","7.51","7.58","23,302"
06/16/2021,"8.00","8.17","7.54","7.63","16,963"
06/15/2021,"8.03","8.70","7.55","7.63","27,537"
06/14/2021,"8.10","8.48","7.59","8.20","16,421"
06/11/2021,"7.88","8.25","7.51","8.25","12,007"
06/10/2021,"7.35","8.09","7.12","8.04","45,105"
06/09/2021,"7.06","7.30","7.06","7.23","7,114"
06/08/2021,"7.60","7.60","7.22","7.22","9,711"
06/07/2021,"7.35","7.68","7.17","7.62","35,892"
06/04/2021,"7.45","7.51","7.29","7.35","34,789"
06/03/2021,"7.51","7.84","7.48","7.50","3,011"
06/02/2021,"7.75","8.00","7.46","7.48","8,764"
06/01/2021,"8.20","8.30","7.76","7.76","9,146"
05/28/2021,"8.45","8.49","7.91","8.20","13,099"
05/27/2021,"8.00","8.10","7.99","8.00","9,482"
05/26/2021,"8.10","8.15","7.89","8.00","22,394"
05/25/2021,"8.20","8.79","8.01","8.03","11,840"
05/24/2021,"8.91","9.00","7.68","8.00","79,823"
05/21/2021,"7.60","9.33","7.47","8.95","85,355"
05/20/2021,"7.05","7.65","7.05","7.58","37,631"
05/19/2021,"7.15","7.15","7.00","7.10","18,577"
05/18/2021,"7.01","7.15","7.00","7.00","7,644"
05/17/2021,"7.02","7.10","7.00","7.02","45,009"
05/14/2021,"6.31","7.08","6.31","7.03","65,170"
05/13/2021,"7.01","7.03","7.00","7.00","12,831"
05/12/2021,"7.00","7.09","6.97","7.00","47,822"
05/11/2021,"7.00","7.10","7.00","7.08","146,514"
05/10/2021,"7.00","7.20","7.00","7.05","242,354"
05/07/2021,"7.38","7.48","6.72","7.10","1,314,779"
