Date,Open,High,Low,Close,Volume
08/30/2021,"10.03","10.71","9.73","10.54","183,782"
08/27/2021,"9.85","10.53","9.69","9.98","131,592"
08/26/2021,"10.07","10.42","9.64","9.85","206,016"
08/25/2021,"9.94","10.24","9.80","10.07","167,948"
08/24/2021,"10.15","10.20","9.36","9.90","288,979"
08/23/2021,"9.52","10.29","9.39","10.07","266,074"
08/20/2021,"9.60","9.94","9.21","9.35","96,304"
08/19/2021,"9.27","10.04","9.13","9.56","126,604"
08/18/2021,"9.43","9.74","9.03","9.31","97,110"
08/17/2021,"10.25","10.43","9.11","9.47","157,409"
08/16/2021,"11.09","11.09","9.90","10.33","122,802"
08/13/2021,"11.01","11.19","10.77","11.08","150,117"
08/12/2021,"13.25","13.44","10.51","10.84","156,920"
08/11/2021,"12.46","14.18","12.19","13.25","128,039"
08/10/2021,"10.70","12.79","10.58","12.61","119,091"
08/09/2021,"10.85","11.02","10.58","10.72","83,764"
08/06/2021,"11.31","11.46","10.68","10.82","24,679"
08/05/2021,"11.60","11.71","11.00","11.21","48,956"
08/04/2021,"10.91","12.29","10.75","11.56","88,771"
08/03/2021,"10.89","11.00","10.50","10.97","35,672"
08/02/2021,"10.63","10.63","10.50","10.50","16,108"
07/30/2021,"10.72","11.05","10.55","10.63","95,984"
07/29/2021,"10.88","11.31","10.56","10.90","11,477"
07/28/2021,"10.87","11.29","10.57","10.84","22,423"
07/27/2021,"10.85","10.85","10.50","10.73","45,475"
07/26/2021,"10.67","11.78","10.63","11.11","50,855"
07/23/2021,"10.99","11.34","10.50","10.75","29,048"
07/22/2021,"11.50","11.64","10.97","11.04","32,674"
07/21/2021,"11.13","11.90","10.94","11.61","15,840"
07/20/2021,"10.74","11.32","10.67","11.24","30,664"
07/19/2021,"10.65","11.25","10.50","10.73","31,933"
07/16/2021,"10.76","11.08","10.55","10.85","29,294"
07/15/2021,"10.59","11.07","10.50","10.69","43,247"
07/14/2021,"11.15","11.15","10.55","10.65","63,803"
07/13/2021,"11.40","11.40","10.97","11.10","26,052"
07/12/2021,"11.60","11.63","11.40","11.45","47,320"
07/09/2021,"11.39","12.02","11.39","11.62","23,328"
07/08/2021,"11.06","11.45","10.68","11.15","54,177"
07/07/2021,"11.45","11.45","10.52","11.23","70,048"
07/06/2021,"11.75","11.92","11.10","11.29","41,179"
07/02/2021,"12.40","12.67","11.47","11.53","73,737"
07/01/2021,"12.92","13.13","12.39","12.40","88,980"
06/30/2021,"12.49","13.49","12.49","13.02","157,050"
06/29/2021,"14.31","14.64","14.16","14.45","81,171"
06/28/2021,"15.50","15.56","14.20","14.33","64,350"
06/25/2021,"13.85","15.45","13.59","15.30","214,081"
06/24/2021,"13.40","13.90","13.28","13.78","73,954"
06/23/2021,"13.00","13.49","13.00","13.28","95,402"
06/22/2021,"13.10","13.34","12.81","13.03","329,668"
06/21/2021,"13.68","13.68","13.01","13.02","196,552"
06/18/2021,"13.19","13.75","13.19","13.64","169,648"
06/17/2021,"13.37","13.83","13.08","13.33","132,180"
06/16/2021,"13.08","13.38","12.80","13.25","147,780"
06/15/2021,"13.19","13.26","12.95","13.24","64,071"
06/14/2021,"13.40","13.81","13.05","13.19","55,290"
06/11/2021,"13.40","13.73","13.25","13.44","44,495"
06/10/2021,"13.40","13.93","13.08","13.60","43,428"
06/09/2021,"13.20","13.94","13.00","13.30","62,757"
06/08/2021,"13.41","13.88","12.45","13.16","106,790"
06/07/2021,"14.73","14.73","13.31","13.49","117,159"
06/04/2021,"15.59","15.59","14.67","14.67","18,711"
06/03/2021,"15.77","15.90","15.52","15.58","16,092"
06/02/2021,"15.07","15.91","14.78","15.86","57,130"
06/01/2021,"15.58","15.72","14.73","14.89","19,837"
05/28/2021,"15.87","16.04","15.18","15.44","20,132"
05/27/2021,"15.06","16.00","14.75","15.83","24,703"
05/26/2021,"14.80","15.19","14.45","14.90","17,316"
05/25/2021,"15.19","15.68","14.65","14.65","12,525"
05/24/2021,"15.60","15.73","15.15","15.19","27,223"
05/21/2021,"16.12","16.26","15.11","15.19","45,274"
05/20/2021,"15.17","16.17","15.01","16.06","28,605"
05/19/2021,"14.16","15.28","14.05","15.14","52,094"
05/18/2021,"13.99","14.46","13.91","14.34","40,769"
05/17/2021,"13.97","14.08","13.72","13.82","25,768"
05/14/2021,"14.17","14.63","13.65","14.06","61,454"
05/13/2021,"14.54","14.54","13.22","14.00","51,546"
05/12/2021,"13.51","14.68","13.51","14.54","41,968"
05/11/2021,"13.29","13.97","13.20","13.40","39,955"
05/10/2021,"14.27","14.48","13.51","13.51","74,608"
05/07/2021,"14.45","14.49","13.95","14.24","16,724"
05/06/2021,"13.95","14.32","13.74","14.32","50,129"
05/05/2021,"14.42","14.51","13.74","13.82","72,918"
05/04/2021,"14.55","14.66","13.95","14.31","94,176"
05/03/2021,"14.16","14.72","14.06","14.64","29,309"
04/30/2021,"14.15","14.38","13.77","14.13","34,752"
04/29/2021,"14.57","14.93","13.94","14.15","35,668"
04/28/2021,"14.54","14.71","14.05","14.38","27,499"
04/27/2021,"14.55","14.93","14.11","14.68","30,750"
04/26/2021,"13.53","14.60","13.26","14.43","30,046"
04/23/2021,"14.39","14.39","13.15","13.35","36,634"
04/22/2021,"13.70","14.85","13.70","14.27","64,186"
04/21/2021,"13.20","13.93","13.00","13.56","137,822"
04/20/2021,"13.01","13.67","12.56","13.30","100,559"
04/19/2021,"13.96","14.24","13.29","13.57","80,711"
04/16/2021,"14.89","14.89","13.60","14.07","92,431"
04/15/2021,"15.19","15.56","14.75","14.86","24,502"
04/14/2021,"14.00","15.67","14.00","15.13","83,218"
04/13/2021,"14.81","14.81","14.05","14.29","59,232"
04/12/2021,"15.35","15.69","14.63","14.81","113,977"
04/09/2021,"16.00","16.19","15.07","15.48","66,281"
04/08/2021,"16.32","16.32","15.50","15.70","38,897"
04/07/2021,"16.60","17.58","15.75","16.02","80,258"
04/06/2021,"17.48","17.55","16.84","16.99","45,883"
04/05/2021,"17.90","17.90","17.27","17.47","78,215"
04/01/2021,"18.51","18.59","17.45","17.83","108,342"
