Date,Open,High,Low,Close,Volume
08/12/2021,"31.63","33.99","31.27","33.47","179,990"
08/11/2021,"30.21","32.05","30.03","32.01","371,860"
08/10/2021,"31.00","31.43","30.15","30.51","536,785"
08/09/2021,"32.32","32.72","30.68","31.30","258,206"
08/06/2021,"31.08","32.82","31.08","32.18","451,286"
08/05/2021,"29.50","31.42","29.47","30.35","167,573"
08/04/2021,"28.43","29.54","28.01","29.43","133,891"
08/03/2021,"30.07","30.07","28.21","28.58","190,477"
08/02/2021,"31.50","32.05","29.55","30.01","532,416"
07/30/2021,"30.28","31.57","29.82","31.53","299,438"
07/29/2021,"29.69","30.72","29.02","30.20","297,497"
07/28/2021,"28.39","29.67","28.27","29.65","219,890"
07/27/2021,"27.93","28.67","27.15","28.66","265,722"
07/26/2021,"27.57","28.21","27.39","27.93","1,122,482"
07/23/2021,"27.37","28.02","26.93","27.98","206,501"
07/22/2021,"25.76","27.77","25.51","27.35","336,072"
07/21/2021,"25.02","26.25","25.01","26.20","248,834"
07/20/2021,"25.48","26.09","25.28","25.61","531,755"
07/19/2021,"26.13","27.12","25.44","26.21","1,200,240"
07/16/2021,"27.27","27.67","26.40","27.64","792,977"
07/15/2021,"26.55","26.80","26.30","26.75","207,481"
07/14/2021,"26.02","26.69","25.56","26.41","205,711"
07/13/2021,"27.16","27.33","25.68","25.88","236,748"
07/12/2021,"27.69","27.69","26.91","27.27","114,093"
07/09/2021,"28.90","29.34","27.16","27.75","165,412"
07/08/2021,"28.27","28.98","27.43","28.84","358,378"
07/07/2021,"27.00","29.16","26.27","28.51","398,859"
07/06/2021,"27.92","27.99","25.87","27.07","325,321"
07/02/2021,"28.02","28.35","26.86","27.92","297,804"
07/01/2021,"28.02","29.07","27.10","27.93","570,638"
06/30/2021,"27.76","28.09","27.20","28.00","114,888"
06/29/2021,"27.68","27.68","27.02","27.45","157,936"
06/28/2021,"28.04","28.56","27.06","27.46","116,398"
06/25/2021,"29.00","29.00","27.58","27.98","537,090"
06/24/2021,"27.71","29.19","27.16","29.02","290,634"
06/23/2021,"27.21","27.63","27.02","27.57","193,573"
06/22/2021,"26.76","27.31","25.98","27.19","291,206"
06/21/2021,"26.56","27.38","26.17","26.86","366,881"
06/18/2021,"26.37","26.50","25.03","26.38","265,825"
06/17/2021,"26.48","26.97","25.46","26.63","432,364"
06/16/2021,"27.25","27.78","26.12","26.74","494,384"
06/15/2021,"26.98","28.52","26.87","27.50","258,944"
06/14/2021,"27.86","28.59","26.72","27.00","477,454"
06/11/2021,"29.97","30.53","27.82","27.98","294,207"
06/10/2021,"28.92","31.09","28.21","29.36","1,993,063"
06/09/2021,"28.63","28.86","26.21","27.34","532,639"
06/08/2021,"28.50","29.79","27.75","28.63","391,056"
06/07/2021,"30.48","31.96","30.48","31.05","116,438"
06/04/2021,"30.88","31.14","30.50","30.76","156,106"
06/03/2021,"30.86","31.25","30.15","30.49","140,601"
06/02/2021,"30.94","31.34","30.50","30.90","104,509"
06/01/2021,"30.14","31.24","29.89","30.84","125,401"
05/28/2021,"31.13","31.64","30.37","30.45","87,126"
05/27/2021,"31.41","31.58","30.77","31.10","190,622"
05/26/2021,"31.25","31.92","30.83","31.00","92,895"
05/25/2021,"32.88","32.88","30.63","30.92","176,595"
05/24/2021,"33.18","34.50","32.55","32.64","238,109"
05/21/2021,"32.34","33.50","32.29","33.01","134,913"
05/20/2021,"31.42","32.62","30.22","32.27","137,540"
05/19/2021,"29.83","31.16","29.26","31.01","165,959"
05/18/2021,"29.66","30.19","29.32","29.88","133,536"
05/17/2021,"30.28","30.84","29.00","29.31","168,477"
05/14/2021,"27.93","29.35","26.11","29.04","159,656"
05/13/2021,"28.83","29.23","27.75","28.34","63,822"
05/12/2021,"28.51","29.86","28.20","29.12","121,723"
05/11/2021,"28.38","29.41","27.58","28.72","76,396"
05/10/2021,"28.11","29.44","27.15","28.53","108,818"
05/07/2021,"27.36","28.41","26.57","28.06","96,060"
05/06/2021,"29.20","29.27","25.10","27.47","182,616"
05/05/2021,"29.53","29.61","28.81","29.29","47,702"
05/04/2021,"29.15","29.93","28.61","29.60","272,850"
05/03/2021,"29.95","30.00","28.63","29.21","105,747"
04/30/2021,"31.00","31.60","29.64","29.95","193,646"
04/29/2021,"30.43","31.47","29.84","31.22","202,261"
04/28/2021,"29.82","30.65","29.32","30.43","149,010"
04/27/2021,"29.60","29.99","29.18","29.95","329,301"
04/26/2021,"30.70","30.70","29.45","29.60","269,028"
04/23/2021,"29.97","30.70","29.50","29.92","213,880"
04/22/2021,"30.16","30.60","29.41","30.05","205,369"
04/21/2021,"28.37","30.63","28.17","30.33","201,542"
04/20/2021,"29.55","29.89","27.89","28.25","169,857"
04/19/2021,"30.15","30.15","28.69","29.57","213,872"
04/16/2021,"30.10","30.45","28.87","29.85","301,913"
04/15/2021,"29.79","30.03","28.65","29.86","135,731"
04/14/2021,"30.04","30.76","28.92","29.85","121,144"
04/13/2021,"29.85","30.43","29.17","29.98","267,832"
04/12/2021,"30.81","30.81","28.58","29.85","270,751"
04/09/2021,"29.88","31.98","29.27","30.81","509,834"
04/08/2021,"29.58","30.22","29.09","29.64","188,965"
04/07/2021,"31.82","31.99","28.04","29.16","713,610"
04/06/2021,"30.00","32.75","29.22","31.48","495,663"
04/05/2021,"28.80","30.00","28.50","29.90","320,441"
04/01/2021,"28.28","28.59","25.78","28.36","530,770"
03/31/2021,"25.92","28.49","25.74","27.93","466,249"
03/30/2021,"25.05","26.80","24.65","25.63","244,697"
03/29/2021,"22.71","25.47","22.36","25.01","212,887"
03/26/2021,"22.15","22.73","21.80","22.49","46,034"
03/25/2021,"22.68","23.23","21.78","22.24","192,030"
03/24/2021,"22.85","23.69","22.64","22.71","150,466"
03/23/2021,"22.86","23.74","22.04","22.54","159,474"
03/22/2021,"24.13","24.65","22.53","23.25","219,299"
03/19/2021,"24.84","25.65","24.19","24.20","1,240,359"
03/18/2021,"23.60","25.09","23.50","24.51","77,910"
03/17/2021,"23.29","23.92","22.54","23.92","131,227"
03/16/2021,"23.70","24.26","23.14","23.63","164,677"
03/15/2021,"23.16","23.75","22.84","23.32","156,964"
03/12/2021,"22.52","23.50","22.46","22.84","135,817"
03/11/2021,"22.28","23.35","22.28","22.54","405,549"
03/10/2021,"22.14","22.93","21.97","22.25","328,216"
