Date,Open,High,Low,Close,Volume
08/11/2021,"10.09","10.13","10.05","10.06","17,656"
08/10/2021,"10.15","10.15","10.15","10.15","186"
08/09/2021,"10.15","10.18","10.09","10.09","9,969"
08/06/2021,"10.09","10.09","10.09","10.09","805"
08/05/2021,"10.13","10.13","10.03","10.10","58,265"
08/04/2021,"10.12","10.15","10.12","10.13","14,202"
08/03/2021,"10.17","10.17","10.17","10.17","263"
08/02/2021,"10.26","10.26","10.17","10.18","12,551"
07/30/2021,"10.20","10.20","10.17","10.17","423"
07/29/2021,"10.15","10.15","10.15","10.15","166"
07/28/2021,"10.16","10.19","10.16","10.18","3,315"
07/27/2021,"10.16","10.20","10.16","10.19","2,261"
07/26/2021,"10.26","10.26","10.15","10.20","7,562"
07/23/2021,"10.15","10.15","10.15","10.15","133"
07/22/2021,"10.56","10.56","10.56","10.56","507"
07/21/2021,"10.11","10.39","10.10","10.23","5,239"
07/20/2021,"10.06","10.19","10.06","10.19","1,905"
07/19/2021,"10.45","10.45","10.08","10.18","5,595"
07/16/2021,"10.23","10.23","10.23","10.23","453"
07/15/2021,"10.32","10.32","10.32","10.32","380"
07/14/2021,"10.12","10.30","10.12","10.30","761"
07/13/2021,"10.68","10.70","10.50","10.60","5,385"
07/12/2021,"10.55","10.60","10.55","10.60","628"
07/09/2021,"10.85","10.90","10.05","10.90","1,154"
07/08/2021,"10.47","10.86","10.47","10.86","6,286"
07/07/2021,"10.51","11.00","10.51","10.51","7,874"
07/06/2021,"10.54","10.54","10.51","10.51","2,030"
07/02/2021,"10.65","10.65","10.42","10.50","655"
07/01/2021,"10.72","10.72","10.72","10.72","121"
06/30/2021,"10.64","10.87","10.42","10.72","16,248"
06/29/2021,"10.75","10.80","10.70","10.78","5,893"
06/28/2021,"10.63","10.80","10.63","10.68","13,312"
06/25/2021,"10.62","10.70","10.47","10.54","30,157"
06/24/2021,"10.57","10.57","10.47","10.55","19,303"
06/23/2021,"10.52","10.52","10.42","10.42","713"
06/22/2021,"10.46","10.49","10.42","10.42","1,139"
06/21/2021,"10.43","10.76","10.43","10.76","2,480"
06/18/2021,"10.79","11.00","10.70","10.75","33,702"
06/17/2021,"10.93","10.99","10.64","10.77","64,393"
06/16/2021,"10.73","10.98","10.71","10.80","32,959"
06/15/2021,"10.59","10.91","10.45","10.48","2,290"
06/14/2021,"10.75","10.99","10.42","10.55","14,235"
06/11/2021,"10.70","10.75","10.39","10.59","1,894"
06/10/2021,"10.39","10.71","10.39","10.50","12,890"
06/09/2021,"10.35","10.58","10.23","10.26","4,910"
06/08/2021,"10.30","10.30","10.20","10.30","13,435"
06/07/2021,"10.20","10.30","10.20","10.30","8,181"
06/04/2021,"10.31","10.32","10.20","10.20","3,560"
06/03/2021,"10.35","10.35","10.35","10.35","9"
06/02/2021,"10.35","10.35","10.35","10.35","1,486"
06/01/2021,"10.30","10.30","10.30","10.30","105"
05/28/2021,"10.78","10.78","10.30","10.30","234"
05/27/2021,"10.74","10.77","10.71","10.77","4,027"
05/26/2021,"10.94","10.98","10.28","10.75","5,645"
05/25/2021,"10.38","10.40","10.38","10.40","1,001"
