Date,Open,High,Low,Close,Volume
08/30/2021,"9.65","9.87","9.65","9.87","2,917"
08/27/2021,"9.80","9.80","9.80","9.80","71"
08/26/2021,"9.80","9.80","9.80","9.80","1,210"
08/25/2021,"9.85","9.85","9.83","9.85","11,534"
08/24/2021,"9.80","9.81","9.80","9.80","2,882"
08/23/2021,"9.86","9.90","9.85","9.85","25,888"
08/20/2021,"9.87","9.88","9.86","9.88","550"
08/19/2021,"9.90","9.92","9.85","9.92","15,921"
08/18/2021,"9.89","9.89","9.88","9.89","11,524"
08/17/2021,"9.85","9.92","9.85","9.90","12,440"
08/16/2021,"9.92","9.92","9.92","9.92","227"
08/13/2021,"9.92","9.95","9.92","9.95","385"
08/12/2021,"9.92","9.97","9.92","9.97","4,058"
08/11/2021,"9.91","9.99","9.85","9.95","9,597"
08/10/2021,"9.99","9.99","9.98","9.98","1,606"
08/09/2021,"9.92","9.99","9.92","9.99","1,508"
08/06/2021,"9.99","10.00","9.98","9.98","2,178"
08/05/2021,"9.98","9.99","9.83","9.98","1,785"
08/04/2021,"9.98","9.99","9.98","9.98","2,900"
08/03/2021,"9.80","9.97","9.71","9.95","451"
08/02/2021,"9.95","9.95","9.88","9.88","1,281"
07/30/2021,"9.96","9.99","9.92","9.97","101,500"
07/29/2021,"10.00","10.00","10.00","10.00","18,362"
07/28/2021,"10.00","10.00","10.00","10.00","36,464"
07/27/2021,"10.00","10.02","10.00","10.00","74,847"
07/26/2021,"10.05","10.05","10.00","10.00","381,441"
07/23/2021,"10.00","10.04","10.00","10.04","2,243"
07/22/2021,"9.97","10.00","9.97","9.97","3,779"
07/21/2021,"9.98","10.02","9.98","10.00","20,881"
07/20/2021,"9.97","10.05","9.97","10.01","3,230"
07/19/2021,"10.03","10.03","9.97","10.03","151,128"
07/16/2021,"10.03","10.05","10.03","10.03","11,205"
07/15/2021,"10.05","10.06","10.02","10.05","60,797"
07/14/2021,"10.10","10.10","10.06","10.08","94,830"
07/13/2021,"10.15","10.16","10.04","10.05","1,703,089"
