Date,Open,High,Low,Close,Volume
08/20/2021,"14.78","14.92","14.51","14.84","148,908"
08/19/2021,"15.51","15.70","14.50","14.57","139,825"
08/18/2021,"15.31","15.94","15.31","15.70","250,997"
08/17/2021,"14.88","15.92","14.32","15.39","425,960"
08/16/2021,"13.13","15.50","13.13","14.75","1,212,396"
08/13/2021,"14.01","14.49","13.54","13.62","355,376"
08/12/2021,"14.24","14.24","13.54","14.10","338,252"
08/11/2021,"14.81","15.06","13.82","13.95","315,854"
08/10/2021,"14.56","14.83","14.20","14.55","197,291"
08/09/2021,"14.27","14.40","13.72","14.30","279,612"
08/06/2021,"15.06","15.39","14.14","14.38","373,302"
08/05/2021,"14.56","14.78","13.89","14.70","377,715"
08/04/2021,"14.83","15.04","14.37","14.62","256,538"
08/03/2021,"15.84","15.84","14.95","14.97","162,773"
08/02/2021,"15.80","16.04","15.26","15.64","344,302"
07/30/2021,"16.12","16.12","14.42","15.50","605,963"
07/29/2021,"16.06","16.33","15.90","16.06","257,305"
07/28/2021,"16.30","16.63","15.92","16.23","273,247"
07/27/2021,"17.00","17.00","15.88","16.29","418,803"
07/26/2021,"17.84","17.84","16.03","16.25","570,900"
07/23/2021,"17.19","17.42","17.01","17.38","84,451"
07/22/2021,"17.09","17.53","16.90","17.26","142,718"
07/21/2021,"17.46","17.50","16.90","16.99","283,836"
07/20/2021,"17.09","17.65","16.90","17.59","159,871"
07/19/2021,"17.25","17.38","16.71","17.01","336,744"
07/16/2021,"18.09","18.39","17.37","17.38","228,859"
07/15/2021,"17.76","18.39","17.54","18.09","367,627"
07/14/2021,"18.92","19.30","17.62","17.81","508,920"
07/13/2021,"19.45","20.45","18.00","18.77","1,299,347"
07/12/2021,"18.89","19.34","18.61","19.00","206,581"
07/09/2021,"19.45","19.73","18.58","18.58","446,294"
07/08/2021,"17.16","20.44","17.08","19.48","820,278"
07/07/2021,"17.85","18.37","17.40","17.50","230,355"
07/06/2021,"18.88","18.88","17.70","17.86","237,869"
07/02/2021,"18.09","18.37","17.67","18.03","293,830"
07/01/2021,"18.51","18.85","17.13","17.81","387,129"
06/30/2021,"17.90","18.70","17.90","18.50","247,651"
06/29/2021,"18.65","18.98","17.82","17.94","607,724"
06/28/2021,"17.36","18.34","17.20","18.33","698,932"
06/25/2021,"17.69","17.95","16.86","16.94","745,183"
06/24/2021,"18.43","18.60","17.50","18.00","422,684"
06/23/2021,"18.82","19.30","18.27","18.38","545,025"
06/22/2021,"20.02","20.02","18.02","18.82","984,976"
06/21/2021,"20.80","21.88","19.77","19.89","2,153,332"
06/18/2021,"21.00","22.91","16.50","19.45","8,810,493"
