Date,Open,High,Low,Close,Volume
08/12/2021,"9.87","10.20","9.78","10.01","278,241"
08/11/2021,"10.19","10.25","9.81","9.89","295,259"
08/10/2021,"10.15","10.19","9.56","10.13","561,186"
08/09/2021,"9.98","10.24","9.84","10.17","239,253"
08/06/2021,"10.45","10.45","9.85","9.97","377,930"
08/05/2021,"10.28","10.58","10.10","10.41","691,625"
08/04/2021,"9.94","10.22","9.94","10.15","178,118"
08/03/2021,"9.90","10.06","9.69","10.06","302,161"
08/02/2021,"9.62","9.99","9.45","9.91","374,222"
07/30/2021,"9.85","10.02","9.45","9.61","383,507"
07/29/2021,"10.39","10.41","9.68","9.77","565,896"
07/28/2021,"9.97","10.34","9.80","10.30","286,429"
07/27/2021,"10.01","10.14","9.52","9.80","365,533"
07/26/2021,"10.24","10.54","9.87","10.04","279,993"
07/23/2021,"10.51","10.59","9.79","10.19","432,917"
07/22/2021,"10.70","11.00","10.39","10.54","656,701"
07/21/2021,"10.45","10.80","10.25","10.79","901,786"
07/20/2021,"10.01","10.48","9.76","10.42","577,288"
07/19/2021,"9.26","10.12","9.22","9.96","1,002,628"
07/16/2021,"9.95","10.02","9.25","9.52","1,387,137"
07/15/2021,"10.05","10.19","9.73","9.92","1,277,582"
07/14/2021,"10.81","10.84","9.95","10.01","1,277,195"
07/13/2021,"10.65","11.30","10.46","10.69","853,919"
07/12/2021,"10.88","11.01","10.43","10.50","479,176"
07/09/2021,"10.72","11.05","10.57","10.89","616,977"
07/08/2021,"10.30","10.67","9.83","10.57","507,583"
07/07/2021,"11.00","11.07","10.25","10.63","632,557"
07/06/2021,"10.56","11.15","10.44","11.00","1,029,906"
07/02/2021,"10.60","10.65","10.22","10.54","452,558"
07/01/2021,"10.38","10.65","10.17","10.59","538,301"
06/30/2021,"10.30","10.52","10.03","10.24","788,333"
06/29/2021,"10.70","10.76","10.27","10.40","1,018,715"
06/28/2021,"10.82","11.10","10.59","10.65","1,011,039"
06/25/2021,"11.21","11.21","10.68","10.84","4,022,895"
06/24/2021,"10.77","11.35","10.71","10.99","2,210,619"
06/23/2021,"10.45","10.84","10.21","10.61","2,023,856"
06/22/2021,"10.97","11.06","10.25","10.34","2,745,322"
06/21/2021,"11.26","11.69","10.53","10.75","7,458,705"
06/18/2021,"10.47","11.74","9.70","11.15","30,119,369"
06/17/2021,"18.57","19.01","17.93","18.24","1,618,354"
06/16/2021,"18.98","19.46","18.46","18.55","394,975"
06/15/2021,"19.49","19.64","18.55","18.73","225,761"
06/14/2021,"19.80","20.11","19.27","19.40","181,259"
06/11/2021,"20.00","20.19","19.41","19.70","224,436"
06/10/2021,"20.24","20.50","19.73","19.86","311,969"
06/09/2021,"20.64","20.86","19.75","20.00","259,728"
06/08/2021,"20.86","21.98","19.94","20.41","814,995"
06/07/2021,"20.13","23.64","19.55","20.87","2,946,443"
06/04/2021,"18.88","20.05","18.87","20.00","532,502"
06/03/2021,"18.50","18.90","17.76","18.73","245,333"
06/02/2021,"18.89","19.55","18.46","18.50","598,427"
06/01/2021,"19.95","20.04","18.55","18.86","203,668"
05/28/2021,"19.44","20.17","19.44","19.94","554,221"
05/27/2021,"18.36","19.75","18.36","19.29","417,387"
05/26/2021,"18.15","18.70","17.94","18.24","390,773"
05/25/2021,"18.66","19.00","17.87","18.00","421,701"
05/24/2021,"19.30","19.52","18.59","18.62","204,235"
05/21/2021,"18.66","19.56","18.66","19.35","412,856"
05/20/2021,"18.32","18.74","17.64","18.55","247,575"
05/19/2021,"18.61","19.47","18.04","18.16","283,140"
05/18/2021,"19.53","19.78","18.63","18.83","252,600"
05/17/2021,"18.09","19.35","17.86","19.35","248,163"
05/14/2021,"18.22","19.00","17.77","18.09","229,570"
05/13/2021,"18.17","18.44","17.66","18.08","116,739"
05/12/2021,"17.53","18.25","17.53","18.00","155,480"
05/11/2021,"18.27","18.45","17.62","17.67","164,642"
05/10/2021,"18.57","19.12","18.10","18.57","90,275"
05/07/2021,"18.19","18.98","17.75","18.48","109,996"
05/06/2021,"17.63","18.08","17.03","18.05","140,468"
05/05/2021,"18.63","18.90","17.68","17.74","158,317"
05/04/2021,"20.28","20.29","18.47","18.64","291,391"
05/03/2021,"19.47","21.00","19.45","20.55","298,158"
04/30/2021,"19.07","19.96","18.95","19.68","157,988"
04/29/2021,"18.84","19.29","18.01","19.22","171,694"
04/28/2021,"18.50","19.06","18.10","18.84","126,970"
