Date,Open,High,Low,Close,Volume
08/20/2021,"6.48","6.75","6.46","6.75","39,561"
08/19/2021,"6.44","6.70","6.29","6.36","39,897"
08/18/2021,"6.40","6.66","6.22","6.60","68,973"
08/17/2021,"7.11","7.25","5.54","6.22","319,093"
08/16/2021,"7.43","7.48","7.17","7.29","28,842"
08/13/2021,"7.67","7.68","7.42","7.42","55,224"
08/12/2021,"7.82","8.02","7.60","7.77","49,182"
08/11/2021,"8.00","8.04","7.55","7.74","40,038"
08/10/2021,"8.36","9.20","7.89","8.04","261,794"
08/09/2021,"8.00","8.36","7.80","8.30","51,233"
08/06/2021,"7.96","8.14","7.77","7.89","33,385"
08/05/2021,"8.09","8.22","8.01","8.07","26,268"
08/04/2021,"8.05","8.21","8.03","8.07","23,728"
08/03/2021,"8.32","8.70","8.08","8.14","32,867"
08/02/2021,"8.35","8.53","8.25","8.32","47,244"
07/30/2021,"8.25","8.73","8.23","8.30","107,866"
07/29/2021,"8.36","8.55","8.27","8.27","19,077"
07/28/2021,"8.31","8.69","8.28","8.44","42,528"
07/27/2021,"8.22","8.44","8.09","8.23","36,162"
07/26/2021,"8.57","8.79","8.28","8.34","72,591"
07/23/2021,"9.45","9.45","8.40","8.49","106,768"
07/22/2021,"9.19","9.56","9.05","9.18","113,980"
07/21/2021,"9.32","9.59","9.20","9.20","38,741"
07/20/2021,"9.30","9.60","9.10","9.35","112,936"
07/19/2021,"9.24","9.39","8.84","9.27","83,609"
07/16/2021,"9.28","9.35","8.90","9.09","23,326"
07/15/2021,"9.19","9.26","8.82","9.26","53,227"
07/14/2021,"9.00","9.71","8.97","9.13","311,740"
07/13/2021,"9.26","9.69","8.77","8.84","219,582"
07/12/2021,"9.35","9.80","9.07","9.34","363,462"
07/09/2021,"9.27","9.44","9.11","9.26","27,043"
07/08/2021,"8.82","9.25","8.56","9.08","67,990"
07/07/2021,"9.57","9.60","8.90","9.23","45,421"
07/06/2021,"9.64","9.70","9.30","9.39","81,106"
07/02/2021,"9.95","10.00","9.50","9.64","129,480"
07/01/2021,"10.00","10.05","9.77","9.85","33,296"
06/30/2021,"10.21","10.23","9.76","9.81","87,041"
06/29/2021,"10.65","10.94","10.18","10.18","163,971"
06/28/2021,"10.81","10.98","10.47","10.69","169,172"
06/25/2021,"10.37","10.74","10.20","10.74","87,918"
06/24/2021,"10.33","10.89","10.17","10.40","93,296"
06/23/2021,"9.69","10.50","9.66","10.50","178,629"
06/22/2021,"9.58","10.24","9.45","9.79","218,734"
06/21/2021,"10.13","10.91","9.31","9.68","1,151,759"
06/18/2021,"10.40","11.09","10.22","10.22","461,911"
06/17/2021,"10.07","10.68","9.49","10.57","691,867"
06/16/2021,"12.00","12.15","9.60","10.60","15,470,460"
06/15/2021,"9.32","9.49","8.94","9.03","69,887"
06/14/2021,"9.34","9.50","9.04","9.34","150,402"
06/11/2021,"9.54","9.77","9.17","9.34","143,384"
06/10/2021,"9.74","9.98","9.45","9.55","91,732"
06/09/2021,"9.84","10.19","9.65","9.71","117,628"
06/08/2021,"9.45","10.12","9.26","9.81","276,863"
06/07/2021,"9.36","9.89","8.85","9.48","323,236"
06/04/2021,"8.60","10.93","8.50","9.53","1,729,480"
06/03/2021,"7.95","9.76","7.90","8.50","1,464,608"
06/02/2021,"8.23","8.44","7.86","7.93","125,482"
06/01/2021,"8.25","8.49","8.05","8.24","64,057"
05/28/2021,"8.17","9.20","8.06","8.25","708,569"
05/27/2021,"7.85","8.18","7.74","8.16","100,588"
05/26/2021,"7.75","8.00","7.60","7.83","81,748"
05/25/2021,"7.87","8.28","7.70","7.74","129,837"
05/24/2021,"7.81","7.81","7.60","7.76","40,401"
05/21/2021,"8.00","8.22","7.50","7.80","170,122"
05/20/2021,"7.17","8.05","7.03","8.04","626,471"
05/19/2021,"7.29","7.65","7.05","7.22","240,444"
05/18/2021,"7.20","7.32","6.87","7.32","126,432"
05/17/2021,"7.90","8.00","7.14","7.22","313,681"
05/14/2021,"7.63","8.97","7.37","8.13","944,063"
05/13/2021,"7.41","8.48","7.20","7.73","297,092"
05/12/2021,"8.16","8.69","7.01","7.10","321,503"
05/11/2021,"8.30","8.50","8.15","8.32","129,841"
05/10/2021,"10.33","10.44","8.52","8.61","815,425"
05/07/2021,"9.83","11.29","9.31","10.56","932,223"
05/06/2021,"8.50","12.70","7.99","10.47","11,739,930"
05/05/2021,"9.22","9.37","8.46","8.50","126,517"
05/04/2021,"9.21","9.93","9.00","9.19","265,683"
05/03/2021,"9.50","9.50","9.12","9.27","46,155"
04/30/2021,"9.52","9.60","9.32","9.42","24,836"
04/29/2021,"9.61","9.61","9.30","9.60","22,561"
04/28/2021,"9.50","9.61","9.35","9.53","22,351"
04/27/2021,"9.64","9.75","9.33","9.47","33,110"
04/26/2021,"9.49","9.69","9.47","9.67","27,863"
04/23/2021,"9.50","9.62","9.40","9.47","33,732"
04/22/2021,"9.68","10.00","9.37","9.45","19,739"
04/21/2021,"9.37","9.70","9.10","9.65","47,026"
04/20/2021,"9.53","9.53","9.20","9.27","29,268"
04/19/2021,"9.42","9.87","9.32","9.53","40,131"
04/16/2021,"9.19","9.66","9.00","9.41","67,635"
04/15/2021,"10.19","10.23","9.25","9.28","131,047"
04/14/2021,"10.52","10.68","10.11","10.11","45,702"
04/13/2021,"10.90","11.06","10.19","10.68","240,951"
04/12/2021,"10.69","11.04","10.15","11.04","286,816"
04/09/2021,"9.80","11.50","9.62","10.77","458,428"
04/08/2021,"9.17","9.75","9.05","9.63","298,584"
04/07/2021,"9.50","9.57","9.01","9.16","109,767"
04/06/2021,"9.60","9.83","9.35","9.49","132,082"
04/05/2021,"9.81","10.05","9.39","9.66","164,461"
04/01/2021,"10.00","10.22","9.40","9.98","148,587"
03/31/2021,"9.46","10.35","9.31","9.99","232,758"
03/30/2021,"9.25","9.54","8.82","9.53","175,802"
03/29/2021,"10.01","10.38","9.29","9.29","136,166"
03/26/2021,"9.31","10.62","9.19","10.20","290,510"
03/25/2021,"9.65","9.65","8.71","9.30","368,062"
03/24/2021,"11.53","13.69","9.38","10.17","5,855,076"
03/23/2021,"10.03","10.25","9.67","9.70","249,050"
03/22/2021,"10.29","10.29","9.82","9.91","76,069"
03/19/2021,"9.61","10.30","9.21","10.09","218,552"
03/18/2021,"9.10","9.88","9.08","9.64","121,253"
03/17/2021,"9.10","9.60","8.67","9.29","113,810"
03/16/2021,"9.49","9.59","8.94","9.20","169,682"
03/15/2021,"9.18","9.79","9.00","9.44","172,415"
03/12/2021,"8.93","9.26","8.80","9.23","203,783"
03/11/2021,"8.46","9.50","8.33","9.26","859,775"
03/10/2021,"8.50","9.10","8.33","8.42","364,062"
03/09/2021,"8.61","8.97","7.98","8.64","981,320"
03/08/2021,"9.12","9.30","8.18","8.18","540,851"
03/05/2021,"8.26","9.82","7.35","9.17","2,045,219"
03/04/2021,"9.09","9.34","7.21","7.80","299,574"
03/03/2021,"9.56","9.81","9.02","9.14","420,975"
03/02/2021,"10.26","10.47","9.55","9.65","601,502"
03/01/2021,"10.05","10.77","9.60","10.30","471,524"
02/26/2021,"9.20","13.75","9.06","10.59","4,757,769"
02/25/2021,"9.94","9.99","8.79","9.11","248,202"
02/24/2021,"9.48","9.61","9.15","9.46","192,187"
02/23/2021,"10.00","10.04","8.72","9.22","294,370"
02/22/2021,"10.58","10.85","10.14","10.55","216,183"
02/19/2021,"11.44","11.60","10.74","10.86","443,044"
02/18/2021,"11.00","12.36","11.00","11.66","962,141"
02/17/2021,"11.92","11.92","10.87","11.10","317,715"
02/16/2021,"12.52","12.87","11.63","11.95","491,101"
02/12/2021,"13.40","14.31","12.26","13.24","876,547"
02/11/2021,"13.71","15.73","11.51","13.81","2,961,055"
02/10/2021,"19.00","26.94","14.00","14.65","9,744,538"
02/09/2021,"9.00","35.78","8.29","19.71","118,339,000"
02/08/2021,"5.24","5.34","5.06","5.18","415,225"
02/05/2021,"4.95","5.34","4.86","5.21","690,297"
02/04/2021,"4.92","5.00","4.81","4.91","245,300"
02/03/2021,"4.88","5.00","4.85","4.98","153,265"
02/02/2021,"4.88","4.95","4.81","4.92","189,893"
02/01/2021,"4.93","4.98","4.80","4.85","119,335"
01/29/2021,"5.00","5.10","4.76","4.90","164,174"
01/28/2021,"5.01","5.17","4.85","5.04","302,293"
