Date,Open,High,Low,Close,Volume
08/20/2021,"8.70","8.89","8.53","8.70","222,102"
08/19/2021,"8.82","8.91","8.68","8.75","390,644"
08/18/2021,"9.08","9.37","8.86","8.91","630,400"
08/17/2021,"9.13","9.28","8.98","9.06","269,663"
08/16/2021,"9.47","9.47","8.97","9.05","243,509"
08/13/2021,"10.07","10.17","9.48","9.49","395,203"
08/12/2021,"10.00","10.02","9.29","10.00","611,328"
08/11/2021,"9.25","9.54","9.22","9.44","422,593"
08/10/2021,"9.17","9.24","9.03","9.23","243,605"
08/09/2021,"9.24","9.28","9.06","9.16","208,373"
08/06/2021,"9.41","9.48","9.17","9.29","287,806"
08/05/2021,"9.45","9.47","9.23","9.39","387,656"
08/04/2021,"9.82","9.95","9.24","9.44","887,779"
08/03/2021,"10.06","10.21","9.84","9.90","171,822"
08/02/2021,"10.36","10.69","9.96","10.07","432,394"
07/30/2021,"10.20","10.38","9.90","10.34","616,613"
07/29/2021,"10.01","10.28","9.96","10.15","538,973"
07/28/2021,"10.16","10.23","9.82","10.00","852,834"
07/27/2021,"10.37","10.44","9.97","10.13","870,643"
07/26/2021,"10.88","10.99","10.37","10.39","258,123"
07/23/2021,"10.85","10.89","10.57","10.84","212,384"
07/22/2021,"10.95","11.04","10.64","10.79","129,870"
07/21/2021,"10.97","11.09","10.88","10.97","195,443"
07/20/2021,"10.81","11.04","10.81","10.97","303,824"
07/19/2021,"10.76","10.95","10.65","10.77","217,956"
07/16/2021,"11.08","11.45","10.82","10.97","206,862"
07/15/2021,"11.07","11.12","10.92","11.08","239,655"
07/14/2021,"11.53","11.53","11.00","11.13","488,252"
07/13/2021,"11.56","11.81","11.51","11.53","544,122"
07/12/2021,"11.48","11.64","11.32","11.61","184,696"
07/09/2021,"11.85","11.94","11.50","11.55","303,534"
07/08/2021,"11.88","11.97","11.64","11.85","317,026"
07/07/2021,"12.50","12.54","12.02","12.12","309,852"
07/06/2021,"12.41","12.55","12.23","12.50","287,735"
07/02/2021,"12.40","12.48","12.14","12.47","388,042"
07/01/2021,"12.39","12.43","12.26","12.39","475,947"
06/30/2021,"12.39","12.61","12.34","12.37","935,098"
06/29/2021,"12.46","12.57","12.35","12.40","398,722"
06/28/2021,"12.62","12.72","12.34","12.45","348,669"
06/25/2021,"12.70","12.99","12.53","12.64","5,771,375"
06/24/2021,"12.69","12.81","12.53","12.70","664,236"
06/23/2021,"12.64","12.74","12.44","12.60","602,424"
06/22/2021,"12.81","12.88","12.47","12.55","1,361,060"
06/21/2021,"12.61","12.84","12.41","12.70","1,037,927"
06/18/2021,"12.54","12.75","12.18","12.55","2,684,442"
06/17/2021,"12.29","12.75","12.00","12.66","1,089,740"
06/16/2021,"12.79","12.97","12.19","12.37","1,784,936"
06/15/2021,"12.85","12.98","12.65","12.73","1,385,665"
06/14/2021,"12.80","13.00","12.71","12.89","657,152"
06/11/2021,"12.59","12.73","12.50","12.69","411,311"
06/10/2021,"12.75","12.92","12.39","12.60","716,886"
06/09/2021,"12.78","12.96","12.38","12.66","820,475"
06/08/2021,"12.17","12.65","12.12","12.61","384,541"
06/07/2021,"12.16","12.58","12.01","12.18","1,367,423"
06/04/2021,"11.70","12.11","11.68","12.07","1,136,762"
06/03/2021,"11.80","11.88","11.54","11.67","494,564"
06/02/2021,"12.00","12.37","11.05","11.79","2,057,792"
06/01/2021,"11.60","11.89","11.33","11.86","2,109,614"
05/28/2021,"11.73","11.73","11.28","11.60","422,135"
05/27/2021,"11.54","11.84","11.29","11.65","570,025"
05/26/2021,"11.28","11.52","11.10","11.48","680,110"
05/25/2021,"11.50","11.55","11.20","11.29","834,229"
05/24/2021,"11.73","11.88","11.49","11.50","1,067,644"
05/21/2021,"11.55","11.76","11.33","11.76","694,803"
05/20/2021,"11.00","11.41","10.90","11.39","739,805"
05/19/2021,"10.91","11.04","10.45","10.93","923,599"
05/18/2021,"10.52","11.04","10.20","10.83","1,339,945"
05/17/2021,"10.58","10.73","10.15","10.52","606,701"
05/14/2021,"10.00","10.55","9.82","10.50","682,060"
05/13/2021,"10.63","10.63","9.80","10.06","1,070,504"
05/12/2021,"11.17","11.20","10.34","10.51","684,177"
05/11/2021,"11.38","11.51","11.02","11.21","375,533"
05/10/2021,"11.59","11.73","11.12","11.60","472,881"
05/07/2021,"11.50","11.79","11.09","11.53","644,668"
05/06/2021,"11.46","11.58","10.57","11.50","1,655,561"
05/05/2021,"11.85","11.95","11.46","11.50","3,577,347"
05/04/2021,"11.80","12.00","11.46","11.75","1,379,725"
05/03/2021,"11.78","12.00","11.58","11.80","1,255,374"
04/30/2021,"11.58","11.79","11.32","11.68","2,062,432"
04/29/2021,"12.00","12.18","11.12","11.53","12,116,250"
