Date,Open,High,Low,Close,Volume
08/12/2021,"33.40","34.47","30.43","31.11","1,454,370"
08/11/2021,"33.48","33.80","31.52","33.01","816,585"
08/10/2021,"32.63","33.06","30.21","32.91","1,188,249"
08/09/2021,"31.50","33.99","31.25","32.27","1,698,795"
08/06/2021,"28.00","31.57","27.56","31.16","1,572,098"
08/05/2021,"27.15","28.15","26.51","27.90","801,248"
08/04/2021,"27.69","27.81","26.30","26.59","769,542"
08/03/2021,"26.06","28.00","25.52","27.84","1,036,918"
08/02/2021,"26.00","27.25","25.20","26.08","648,916"
07/30/2021,"24.36","25.15","24.26","25.04","641,798"
07/29/2021,"25.03","25.27","24.27","24.35","663,796"
07/28/2021,"26.19","26.26","24.60","25.03","1,323,195"
07/27/2021,"24.45","26.13","24.28","26.05","1,127,444"
07/26/2021,"25.00","25.22","24.17","24.50","1,227,336"
07/23/2021,"25.53","25.89","24.75","25.11","463,310"
07/22/2021,"25.07","26.26","25.01","25.53","737,529"
07/21/2021,"25.02","26.20","24.85","25.22","909,510"
07/20/2021,"24.70","25.68","23.29","25.03","1,877,878"
07/19/2021,"22.72","25.24","22.38","24.90","1,493,372"
07/16/2021,"21.94","23.39","21.62","22.90","795,797"
07/15/2021,"22.93","23.07","21.10","22.01","1,121,518"
07/14/2021,"22.44","23.07","22.05","22.93","1,175,672"
07/13/2021,"23.17","23.61","22.00","22.25","1,369,963"
07/12/2021,"22.98","23.41","21.87","23.29","675,657"
07/09/2021,"22.90","23.45","22.46","22.99","349,269"
07/08/2021,"21.56","22.90","21.47","22.65","508,032"
07/07/2021,"23.94","24.00","21.96","22.10","741,657"
07/06/2021,"23.30","24.30","22.75","24.00","2,055,800"
07/02/2021,"21.50","23.45","21.20","23.28","1,523,259"
07/01/2021,"21.78","22.03","20.92","21.33","1,608,182"
06/30/2021,"26.79","27.85","21.20","21.48","4,949,893"
06/29/2021,"26.20","27.21","24.10","24.41","1,631,186"
06/28/2021,"24.13","25.84","23.92","25.71","1,684,416"
06/25/2021,"23.56","24.05","23.32","23.81","7,317,236"
06/24/2021,"23.21","24.21","23.21","23.42","1,368,820"
06/23/2021,"23.57","24.10","22.50","23.17","1,013,571"
06/22/2021,"24.30","24.58","23.10","23.45","1,530,172"
06/21/2021,"23.35","24.41","22.62","24.15","2,130,868"
06/18/2021,"22.91","24.50","22.87","23.39","3,204,157"
06/17/2021,"23.28","26.68","21.78","22.85","3,412,316"
06/16/2021,"23.56","24.01","22.49","23.48","1,380,813"
06/15/2021,"23.66","23.84","22.74","23.58","1,556,741"
06/14/2021,"23.88","24.48","23.02","23.81","1,236,957"
06/11/2021,"25.37","25.45","23.14","23.76","1,005,136"
06/10/2021,"25.10","25.28","24.05","25.08","802,961"
06/09/2021,"23.85","25.57","23.82","24.51","1,360,489"
06/08/2021,"24.13","24.40","22.69","23.51","1,380,545"
06/07/2021,"21.90","24.40","21.71","23.92","1,952,132"
06/04/2021,"20.68","21.71","20.24","21.53","1,167,538"
06/03/2021,"20.74","21.24","20.25","20.53","703,501"
06/02/2021,"20.58","20.95","19.82","20.57","765,901"
06/01/2021,"20.63","20.75","19.64","20.51","551,179"
05/28/2021,"20.54","21.00","20.20","20.42","538,835"
05/27/2021,"20.39","21.17","19.90","20.55","1,391,391"
05/26/2021,"20.04","20.46","19.49","20.08","876,194"
