Date,Open,High,Low,Close,Volume
08/20/2021,"19.46","19.83","19.46","19.76","97,984"
08/19/2021,"19.39","19.60","19.37","19.56","76,683"
08/18/2021,"19.52","19.72","19.28","19.45","91,562"
08/17/2021,"19.39","19.63","19.25","19.55","57,082"
08/16/2021,"19.48","19.66","19.24","19.53","45,236"
08/13/2021,"19.47","19.85","19.14","19.53","33,793"
08/12/2021,"19.54","19.75","19.13","19.41","115,936"
08/11/2021,"19.60","20.22","19.48","19.61","111,517"
08/10/2021,"19.52","19.75","19.30","19.47","43,545"
08/09/2021,"19.51","19.81","19.43","19.46","90,253"
08/06/2021,"19.25","19.57","19.15","19.50","117,911"
08/05/2021,"18.77","19.19","18.69","19.08","67,005"
08/04/2021,"18.75","19.19","18.58","18.68","92,731"
08/03/2021,"18.92","19.20","18.82","19.00","67,875"
08/02/2021,"19.46","19.59","18.83","19.03","101,035"
07/30/2021,"19.68","19.77","19.31","19.37","91,894"
07/29/2021,"19.66","19.76","19.47","19.68","106,539"
07/28/2021,"19.42","19.60","19.19","19.42","120,937"
07/27/2021,"19.20","19.40","19.12","19.22","64,282"
07/26/2021,"19.47","19.74","19.25","19.31","72,583"
07/23/2021,"19.41","19.45","19.08","19.37","66,339"
07/22/2021,"19.67","19.73","19.21","19.27","74,212"
07/21/2021,"19.90","20.08","19.67","19.76","90,510"
07/20/2021,"19.44","19.92","19.26","19.78","245,092"
07/19/2021,"19.16","19.46","18.87","19.27","92,324"
07/16/2021,"19.86","19.96","19.31","19.39","108,086"
07/15/2021,"19.25","19.68","19.25","19.65","77,451"
07/14/2021,"20.20","20.20","19.10","19.37","125,672"
07/13/2021,"20.43","20.85","20.08","20.08","191,056"
07/12/2021,"20.74","20.80","20.22","20.49","424,362"
07/09/2021,"20.56","20.82","20.46","20.65","343,212"
07/08/2021,"20.04","20.61","19.75","20.38","178,092"
07/07/2021,"20.51","20.68","20.02","20.30","200,779"
07/06/2021,"20.81","20.81","20.32","20.65","233,114"
07/02/2021,"20.93","20.93","20.57","20.81","90,697"
07/01/2021,"20.80","21.07","20.52","20.90","148,236"
06/30/2021,"20.70","20.77","20.50","20.71","136,534"
06/29/2021,"21.00","21.08","20.74","20.78","126,722"
06/28/2021,"21.18","21.22","20.67","20.89","172,771"
06/25/2021,"21.66","21.82","20.81","21.31","3,797,819"
