Date,Open,High,Low,Close,Volume
08/12/2021,"7.74","8.37","7.74","8.35","4,340"
08/11/2021,"8.49","8.49","8.00","8.42","11,184"
08/10/2021,"8.10","8.45","7.61","8.11","40,134"
08/09/2021,"8.07","8.79","7.61","8.30","69,615"
08/06/2021,"8.69","8.76","7.79","8.12","75,664"
08/05/2021,"8.11","8.19","7.67","8.05","9,273"
08/04/2021,"8.24","8.24","8.16","8.23","1,093"
08/03/2021,"8.23","8.76","7.99","8.28","40,737"
08/02/2021,"8.51","8.58","8.05","8.26","4,852"
07/30/2021,"8.43","8.82","7.90","8.49","14,007"
07/29/2021,"8.47","8.51","7.48","8.23","33,543"
07/28/2021,"8.88","8.88","8.14","8.36","10,615"
07/27/2021,"8.83","9.28","8.16","8.55","15,921"
07/26/2021,"8.53","9.13","8.23","8.65","17,281"
07/23/2021,"8.30","8.96","7.98","8.64","14,553"
07/22/2021,"7.73","8.41","7.73","8.21","15,269"
07/21/2021,"7.47","8.31","7.40","7.76","33,540"
07/20/2021,"7.43","7.88","7.40","7.56","18,930"
07/19/2021,"7.73","7.76","7.53","7.62","6,848"
07/16/2021,"7.66","7.80","7.33","7.55","8,615"
07/15/2021,"7.50","7.68","7.30","7.55","15,202"
07/14/2021,"7.99","7.99","7.61","7.64","2,210"
07/13/2021,"7.65","8.05","7.43","7.66","42,717"
07/12/2021,"7.90","7.92","7.62","7.70","11,807"
07/09/2021,"7.91","8.61","7.91","8.03","11,236"
07/08/2021,"8.64","8.64","7.70","7.91","19,874"
07/07/2021,"8.93","8.94","8.62","8.70","9,207"
07/06/2021,"9.64","9.64","8.63","8.66","11,540"
07/02/2021,"9.64","9.78","9.10","9.10","14,970"
07/01/2021,"9.85","9.99","9.43","9.52","4,719"
06/30/2021,"10.20","10.35","9.53","9.61","51,016"
06/29/2021,"10.33","10.55","10.26","10.26","6,176"
06/28/2021,"11.10","11.10","10.37","10.56","10,730"
06/25/2021,"10.11","10.93","10.01","10.77","197,005"
06/24/2021,"10.32","10.48","9.87","10.18","17,833"
06/23/2021,"9.98","10.60","9.98","10.38","25,094"
06/22/2021,"10.73","10.78","10.02","10.20","25,611"
06/21/2021,"10.49","10.67","10.20","10.32","19,347"
06/18/2021,"10.70","11.00","9.86","10.62","24,956"
06/17/2021,"10.10","10.77","9.89","10.42","39,795"
06/16/2021,"10.13","10.17","9.54","10.00","14,770"
06/15/2021,"10.03","10.27","9.68","9.87","11,817"
06/14/2021,"10.53","10.60","10.06","10.17","16,473"
06/11/2021,"10.86","10.89","10.38","10.59","27,417"
06/10/2021,"10.99","11.40","10.25","11.22","22,855"
06/09/2021,"10.70","11.40","10.29","10.98","30,617"
06/08/2021,"10.51","11.45","10.20","10.48","15,801"
06/07/2021,"11.45","11.45","10.05","10.41","22,867"
06/04/2021,"12.49","12.58","11.34","11.45","24,348"
06/03/2021,"12.50","12.84","12.40","12.63","13,366"
06/02/2021,"12.25","12.88","12.25","12.56","16,363"
06/01/2021,"12.74","12.89","12.30","12.37","13,966"
05/28/2021,"12.45","12.83","12.00","12.55","18,322"
05/27/2021,"12.63","12.68","12.25","12.39","7,387"
05/26/2021,"12.26","12.67","11.81","12.34","8,791"
05/25/2021,"11.95","12.92","11.81","12.13","17,897"
05/24/2021,"11.85","12.10","11.71","11.85","7,275"
05/21/2021,"11.57","12.03","11.57","11.95","10,311"
05/20/2021,"11.82","12.31","11.52","11.58","28,011"
05/19/2021,"10.64","12.52","10.49","11.83","98,261"
05/18/2021,"11.25","11.25","10.40","11.13","154,054"
05/17/2021,"11.77","11.77","10.82","11.00","6,443"
05/14/2021,"10.77","11.50","10.77","11.50","5,855"
05/13/2021,"10.85","11.66","10.75","10.89","6,091"
05/12/2021,"11.52","12.02","10.69","10.90","31,159"
05/11/2021,"10.80","11.30","10.71","11.01","13,191"
05/10/2021,"11.18","11.42","10.81","11.03","10,305"
05/07/2021,"11.80","12.39","10.89","11.58","19,899"
05/06/2021,"11.17","11.84","10.60","10.87","33,176"
05/05/2021,"11.00","11.64","10.00","11.26","362,462"
05/04/2021,"9.32","9.84","9.31","9.51","17,022"
05/03/2021,"9.65","10.29","9.47","9.66","116,186"
04/30/2021,"10.32","10.32","9.63","9.77","13,027"
04/29/2021,"11.07","11.07","10.08","10.30","17,405"
04/28/2021,"12.29","12.29","10.65","10.66","15,464"
04/27/2021,"12.30","12.30","11.48","12.05","5,091"
04/26/2021,"11.65","11.85","11.61","11.85","2,694"
04/23/2021,"12.02","12.31","11.61","11.62","7,274"
04/22/2021,"12.60","13.19","12.12","12.47","2,516"
04/21/2021,"12.66","12.66","12.66","12.66","1,537"
04/20/2021,"12.93","12.99","12.75","12.99","2,535"
04/19/2021,"12.72","12.98","12.48","12.98","11,246"
04/16/2021,"13.33","13.33","12.90","12.90","2,206"
04/15/2021,"13.02","13.02","12.98","12.98","2,538"
04/14/2021,"13.39","13.39","13.06","13.06","989"
04/13/2021,"13.02","13.25","13.02","13.06","1,568"
04/12/2021,"13.04","13.04","13.04","13.04","1,934"
04/09/2021,"13.04","13.26","13.04","13.24","3,508"
04/08/2021,"13.25","13.43","13.05","13.20","6,614"
04/07/2021,"13.97","14.56","13.01","13.23","6,787"
