Date,Open,High,Low,Close,Volume
08/30/2021,"46.92","47.00","40.40","44.85","784,633"
08/27/2021,"43.74","47.24","43.35","46.94","360,592"
08/26/2021,"49.25","49.72","41.42","42.01","608,300"
08/25/2021,"43.04","50.33","42.62","49.15","715,937"
08/24/2021,"43.45","43.98","40.06","42.75","272,728"
08/23/2021,"38.39","43.29","37.34","42.95","573,920"
08/20/2021,"37.45","39.47","36.96","37.68","367,441"
08/19/2021,"35.51","39.48","35.51","37.35","446,467"
08/18/2021,"35.14","38.93","34.83","36.71","498,714"
08/17/2021,"36.02","36.11","32.91","34.71","272,928"
08/16/2021,"34.49","37.78","34.03","35.57","363,341"
08/13/2021,"31.49","36.00","31.31","34.62","327,128"
08/12/2021,"30.75","31.63","30.55","31.30","167,393"
08/11/2021,"30.01","30.88","30.00","30.55","127,960"
08/10/2021,"31.61","31.61","30.02","30.05","210,662"
08/09/2021,"31.25","31.92","30.74","31.30","98,458"
08/06/2021,"32.34","34.99","30.88","31.66","296,162"
08/05/2021,"31.28","32.82","30.12","31.89","198,023"
08/04/2021,"30.32","31.17","29.65","30.84","86,215"
08/03/2021,"30.66","31.00","29.21","30.28","175,401"
08/02/2021,"29.39","31.23","29.01","30.21","160,315"
07/30/2021,"28.77","30.49","28.77","30.16","198,296"
07/29/2021,"30.29","30.90","28.11","29.32","467,441"
07/28/2021,"30.70","31.83","30.06","30.29","260,889"
07/27/2021,"32.00","33.15","30.00","30.67","479,014"
07/26/2021,"33.82","34.00","30.23","31.76","593,363"
07/23/2021,"30.95","37.37","29.44","33.99","1,320,567"
07/22/2021,"29.60","33.25","28.00","30.40","5,884,350"
