Date,Open,High,Low,Close,Volume
08/20/2021,"5.20","5.30","5.13","5.21","551,550"
08/19/2021,"6.09","6.37","5.09","5.16","4,842,012"
08/18/2021,"5.42","5.85","5.21","5.70","1,273,299"
08/17/2021,"5.41","5.53","5.26","5.28","812,322"
08/16/2021,"5.92","5.92","5.28","5.29","1,584,515"
08/13/2021,"6.06","6.13","5.94","6.00","927,633"
08/12/2021,"6.13","6.38","5.69","6.15","2,262,146"
08/11/2021,"6.00","6.15","5.88","6.15","1,515,824"
08/10/2021,"5.65","5.97","5.50","5.95","1,417,860"
08/09/2021,"5.92","6.14","5.56","5.67","3,134,382"
08/06/2021,"5.16","5.88","5.00","5.79","3,041,901"
08/05/2021,"4.96","5.21","4.64","5.17","2,047,312"
08/04/2021,"5.32","6.15","4.93","5.02","14,214,210"
08/03/2021,"5.23","5.39","4.86","5.31","1,960,775"
08/02/2021,"5.15","5.44","5.05","5.23","957,844"
07/30/2021,"5.40","5.40","4.92","5.08","1,335,486"
07/29/2021,"4.89","5.58","4.89","5.49","2,676,100"
07/28/2021,"4.50","5.08","4.37","4.93","1,006,791"
07/27/2021,"4.64","4.78","4.41","4.43","438,634"
07/26/2021,"4.40","4.89","4.40","4.73","676,331"
07/23/2021,"4.47","4.47","4.25","4.45","533,712"
07/22/2021,"4.56","4.68","4.30","4.40","739,184"
07/21/2021,"4.46","4.70","4.41","4.65","385,296"
07/20/2021,"4.52","4.55","4.31","4.54","793,296"
07/19/2021,"4.71","4.89","4.36","4.51","983,033"
07/16/2021,"4.84","5.09","4.66","4.76","964,642"
07/15/2021,"5.19","5.28","4.75","4.91","1,317,425"
07/14/2021,"5.85","6.04","5.00","5.29","2,037,947"
07/13/2021,"5.96","6.80","5.56","5.85","11,271,380"
07/12/2021,"5.55","5.93","5.40","5.82","2,461,080"
07/09/2021,"4.97","6.44","4.90","5.63","7,583,189"
07/08/2021,"5.15","5.18","4.66","4.76","1,308,999"
07/07/2021,"4.70","5.25","4.62","5.20","1,400,044"
07/06/2021,"5.04","5.23","4.76","4.86","1,319,752"
07/02/2021,"4.96","5.10","4.61","5.00","1,510,200"
07/01/2021,"5.35","5.38","4.89","4.95","1,306,817"
06/30/2021,"5.30","5.70","5.16","5.33","1,252,027"
06/29/2021,"5.48","5.57","5.20","5.24","1,045,183"
06/28/2021,"5.50","5.60","5.35","5.39","822,997"
06/25/2021,"5.54","5.60","5.25","5.37","1,934,079"
06/24/2021,"5.64","5.94","5.55","5.94","1,069,779"
06/23/2021,"5.40","5.60","5.22","5.52","742,599"
06/22/2021,"5.12","5.39","5.10","5.28","456,436"
06/21/2021,"5.48","5.69","5.01","5.06","1,480,790"
06/18/2021,"5.54","5.74","5.46","5.48","682,803"
06/17/2021,"5.76","5.98","5.40","5.65","2,506,921"
06/16/2021,"6.65","7.58","6.33","6.57","19,776,359"
06/15/2021,"5.48","6.22","5.42","6.03","2,141,438"
06/14/2021,"5.79","5.79","5.35","5.53","1,424,294"
06/11/2021,"5.94","5.98","5.47","5.72","1,926,694"
06/10/2021,"5.93","6.13","5.54","5.79","2,910,505"
06/09/2021,"5.26","6.39","5.11","5.84","7,424,189"
06/08/2021,"5.59","5.80","5.00","5.15","2,195,223"
06/07/2021,"5.25","5.68","5.16","5.57","2,797,163"
06/04/2021,"5.81","5.83","5.00","5.15","4,086,234"
06/03/2021,"6.29","7.50","5.52","6.05","13,223,850"
06/02/2021,"6.61","9.00","5.66","6.18","146,762,797"
06/01/2021,"3.25","3.32","3.14","3.18","258,354"
05/28/2021,"3.28","3.34","3.16","3.27","179,566"
05/27/2021,"3.16","3.22","3.09","3.16","248,599"
05/26/2021,"3.15","3.16","3.08","3.14","269,144"
05/25/2021,"3.13","3.18","3.01","3.15","324,087"
05/24/2021,"3.08","3.14","3.00","3.10","327,389"
05/21/2021,"3.14","3.20","3.03","3.08","320,327"
05/20/2021,"2.96","3.19","2.93","3.12","285,834"
05/19/2021,"2.94","3.03","2.82","2.97","391,300"
05/18/2021,"3.10","3.17","3.06","3.08","328,709"
05/17/2021,"3.15","3.25","3.06","3.15","259,720"
05/14/2021,"3.10","3.22","3.10","3.16","272,161"
05/13/2021,"3.21","3.34","3.06","3.08","256,363"
05/12/2021,"3.19","3.31","3.16","3.21","198,603"
05/11/2021,"3.13","3.30","3.03","3.23","279,534"
05/10/2021,"3.31","3.36","3.15","3.19","203,818"
05/07/2021,"3.23","3.39","3.20","3.30","279,375"
05/06/2021,"3.37","3.39","3.11","3.15","454,137"
05/05/2021,"3.52","3.58","3.31","3.39","293,981"
05/04/2021,"3.70","3.80","3.35","3.44","639,512"
05/03/2021,"3.90","4.00","3.70","3.82","1,461,751"
04/30/2021,"3.49","3.95","3.36","3.69","3,979,669"
04/29/2021,"3.69","3.69","3.40","3.47","337,410"
04/28/2021,"3.50","3.69","3.30","3.63","926,209"
04/27/2021,"3.57","3.67","3.40","3.53","496,276"
04/26/2021,"3.40","3.45","3.31","3.43","581,035"
04/23/2021,"3.01","3.31","2.95","3.28","608,048"
04/22/2021,"3.09","3.10","2.93","2.97","591,590"
04/21/2021,"2.85","3.08","2.84","3.03","540,816"
04/20/2021,"3.07","3.09","2.81","2.89","562,744"
04/19/2021,"3.27","3.29","3.02","3.12","438,422"
04/16/2021,"3.24","3.31","3.11","3.26","561,361"
04/15/2021,"3.26","3.37","3.16","3.24","759,933"
04/14/2021,"3.50","3.57","3.17","3.20","1,680,463"
04/13/2021,"3.54","3.80","3.41","3.61","2,023,903"
04/12/2021,"5.30","5.35","3.64","3.92","12,954,250"
04/09/2021,"4.48","5.21","4.40","5.21","7,042,910"
04/08/2021,"4.37","4.65","4.02","4.38","2,821,132"
04/07/2021,"4.46","4.46","4.12","4.33","1,016,488"
04/06/2021,"4.24","4.57","4.24","4.36","1,823,781"
04/05/2021,"3.91","4.35","3.85","4.23","1,981,933"
04/01/2021,"3.81","3.85","3.65","3.80","296,171"
03/31/2021,"3.64","3.93","3.61","3.86","552,787"
03/30/2021,"3.46","3.64","3.36","3.57","198,451"
03/29/2021,"3.45","3.66","3.36","3.55","245,035"
03/26/2021,"3.47","3.75","3.38","3.48","527,806"
03/25/2021,"3.09","3.40","2.96","3.35","488,521"
03/24/2021,"3.68","3.73","3.30","3.40","356,836"
03/23/2021,"3.85","3.91","3.73","3.75","252,906"
03/22/2021,"3.90","3.92","3.75","3.91","198,416"
03/19/2021,"3.84","3.95","3.60","3.93","452,755"
03/18/2021,"4.00","4.05","3.80","3.88","345,299"
03/17/2021,"3.85","4.17","3.72","4.01","737,361"
03/16/2021,"3.95","4.08","3.71","3.85","923,680"
03/15/2021,"3.95","4.23","3.77","4.01","1,535,550"
03/12/2021,"3.54","3.79","3.52","3.74","482,395"
03/11/2021,"3.51","3.84","3.35","3.71","927,904"
03/10/2021,"3.48","3.58","3.26","3.43","428,788"
03/09/2021,"3.36","3.57","3.15","3.41","730,928"
03/08/2021,"3.23","3.37","3.08","3.15","464,613"
03/05/2021,"3.30","3.34","2.89","3.22","766,173"
03/04/2021,"3.46","3.47","2.90","3.15","683,427"
03/03/2021,"3.65","3.85","3.38","3.54","929,879"
03/02/2021,"3.58","3.80","3.33","3.52","1,343,016"
03/01/2021,"3.85","3.92","3.61","3.85","2,948,023"
02/26/2021,"3.65","3.72","3.32","3.40","2,661,227"
02/25/2021,"3.88","3.95","3.55","3.70","975,940"
02/24/2021,"4.24","4.24","3.40","3.90","2,545,226"
