Date,Open,High,Low,Close,Volume
08/12/2021,"7.51","8.39","7.04","7.55","831,257"
08/11/2021,"9.00","9.31","7.25","7.25","521,187"
08/10/2021,"9.15","9.96","9.15","9.84","126,792"
08/09/2021,"9.58","9.74","9.00","9.16","85,848"
08/06/2021,"9.84","9.94","9.30","9.64","38,912"
08/05/2021,"9.34","9.87","9.32","9.81","40,403"
08/04/2021,"9.16","9.58","9.01","9.31","43,479"
08/03/2021,"9.76","10.11","8.94","9.21","170,594"
08/02/2021,"9.38","9.99","9.38","9.74","77,141"
07/30/2021,"9.34","9.73","8.93","9.39","106,910"
07/29/2021,"9.03","9.90","8.95","9.49","268,592"
07/28/2021,"9.13","9.44","8.85","8.94","97,980"
07/27/2021,"9.55","10.00","9.04","9.10","61,582"
07/26/2021,"9.85","10.12","9.42","9.58","98,222"
07/23/2021,"10.27","10.50","9.31","9.92","147,295"
07/22/2021,"10.49","10.66","10.05","10.23","80,666"
07/21/2021,"10.71","10.90","10.49","10.51","105,633"
07/20/2021,"10.77","11.26","10.12","10.60","180,340"
07/19/2021,"11.10","11.24","10.63","10.91","121,850"
07/16/2021,"11.70","11.96","11.20","11.41","98,953"
07/15/2021,"11.31","11.80","10.91","11.64","71,809"
07/14/2021,"12.16","12.16","10.85","11.32","136,377"
07/13/2021,"12.49","12.99","11.68","12.09","96,216"
07/12/2021,"12.04","12.79","11.92","12.36","102,868"
07/09/2021,"11.08","11.98","10.74","11.94","225,544"
07/08/2021,"10.88","11.50","10.86","11.00","117,486"
07/07/2021,"11.82","11.82","10.40","11.00","242,698"
07/06/2021,"12.17","12.42","11.75","11.80","87,501"
07/02/2021,"12.84","12.90","12.01","12.16","88,680"
07/01/2021,"13.21","13.63","12.73","12.78","89,847"
06/30/2021,"13.80","13.89","12.52","13.21","238,483"
06/29/2021,"14.57","14.59","13.54","13.72","133,574"
06/28/2021,"14.19","14.66","14.12","14.47","304,855"
06/25/2021,"14.40","14.80","14.15","14.19","1,096,260"
06/24/2021,"14.60","14.70","13.59","14.22","120,526"
06/23/2021,"15.15","15.20","14.35","14.46","165,746"
06/22/2021,"15.69","15.69","14.55","15.10","130,676"
06/21/2021,"15.65","16.40","15.30","15.80","169,289"
06/18/2021,"15.65","16.04","15.19","15.65","104,565"
06/17/2021,"14.81","16.10","14.81","15.80","81,847"
06/16/2021,"15.25","15.25","14.17","14.75","132,033"
06/15/2021,"16.11","16.35","15.02","15.62","66,366"
06/14/2021,"15.11","16.27","15.06","16.05","54,719"
06/11/2021,"15.25","15.31","14.58","15.13","53,013"
06/10/2021,"15.13","15.57","14.80","15.21","28,040"
06/09/2021,"14.84","15.38","14.76","15.05","50,914"
06/08/2021,"13.43","15.08","13.27","14.90","107,195"
06/07/2021,"13.61","13.96","13.15","13.22","90,720"
06/04/2021,"14.83","14.83","13.50","13.61","100,874"
06/03/2021,"14.76","14.96","14.24","14.45","142,029"
06/02/2021,"14.75","15.44","14.66","14.89","94,334"
06/01/2021,"14.47","15.73","14.22","14.93","148,459"
05/28/2021,"14.23","14.89","14.07","14.45","66,257"
05/27/2021,"14.20","14.25","13.58","14.06","69,040"
05/26/2021,"15.20","15.49","13.89","14.10","152,932"
05/25/2021,"14.06","15.57","14.00","14.89","157,531"
05/24/2021,"13.60","14.46","13.60","14.06","107,807"
05/21/2021,"13.50","13.64","12.72","13.45","66,177"
05/20/2021,"12.87","13.67","12.36","13.49","76,595"
05/19/2021,"12.47","12.89","12.15","12.77","105,624"
05/18/2021,"12.31","12.93","12.31","12.64","97,373"
05/17/2021,"12.48","13.07","12.10","12.14","62,508"
05/14/2021,"12.72","14.00","12.32","12.62","85,980"
05/13/2021,"13.24","14.25","12.50","12.59","115,267"
05/12/2021,"14.00","14.74","12.50","13.01","198,891"
05/11/2021,"14.48","15.05","13.87","14.75","111,641"
05/10/2021,"14.36","15.19","13.80","15.01","127,449"
05/07/2021,"14.12","15.00","13.78","14.24","65,043"
05/06/2021,"14.33","15.00","13.24","14.12","144,821"
05/05/2021,"15.16","15.59","14.05","14.52","52,650"
05/04/2021,"15.50","15.50","14.35","15.01","91,200"
05/03/2021,"16.28","16.41","15.62","15.79","53,720"
04/30/2021,"15.81","16.63","15.62","16.36","36,323"
04/29/2021,"16.98","16.98","15.37","15.88","113,722"
04/28/2021,"16.57","17.90","16.48","17.06","97,899"
04/27/2021,"17.41","17.50","16.44","16.61","122,383"
04/26/2021,"17.18","17.91","16.80","17.38","108,653"
04/23/2021,"18.35","18.68","17.73","17.97","54,395"
04/22/2021,"17.95","18.40","17.65","18.27","48,296"
04/21/2021,"18.50","18.83","17.64","17.78","59,777"
04/20/2021,"18.81","18.85","17.69","18.24","22,838"
04/19/2021,"19.22","19.41","18.00","18.89","51,795"
04/16/2021,"19.29","19.75","18.91","19.37","25,755"
04/15/2021,"19.07","19.45","18.76","19.14","19,571"
04/14/2021,"19.04","19.30","18.66","18.96","20,266"
04/13/2021,"19.03","19.27","18.60","19.04","20,884"
04/12/2021,"18.84","19.76","18.70","19.13","45,492"
04/09/2021,"19.00","19.25","18.65","18.95","27,630"
04/08/2021,"20.11","20.15","18.44","19.04","53,039"
04/07/2021,"20.00","20.30","19.30","19.30","42,409"
04/06/2021,"20.21","20.78","19.38","20.06","85,435"
04/05/2021,"20.63","20.63","19.54","20.35","39,011"
04/01/2021,"20.36","20.50","19.90","20.28","128,259"
03/31/2021,"18.54","21.30","18.33","20.31","89,492"
03/30/2021,"16.81","18.50","16.27","18.24","52,990"
03/29/2021,"17.12","18.54","15.97","16.87","112,526"
03/26/2021,"18.22","18.95","16.70","17.22","75,051"
03/25/2021,"18.30","18.58","16.94","18.14","68,895"
03/24/2021,"20.37","20.52","17.83","18.19","71,166"
03/23/2021,"21.17","21.70","19.80","20.17","63,138"
03/22/2021,"22.07","22.52","20.73","21.40","50,799"
03/19/2021,"22.41","22.68","21.55","22.25","123,601"
03/18/2021,"23.77","24.00","21.70","22.63","102,100"
03/17/2021,"22.10","25.49","21.01","23.73","142,755"
03/16/2021,"23.00","23.00","21.11","21.73","170,979"
03/15/2021,"23.00","23.72","22.59","22.98","50,834"
03/12/2021,"22.40","22.99","21.37","22.80","68,918"
03/11/2021,"22.34","22.73","21.05","22.48","77,283"
03/10/2021,"18.80","21.87","18.80","20.14","149,079"
03/09/2021,"17.59","19.45","17.57","18.57","59,172"
03/08/2021,"18.26","19.12","15.86","17.57","145,142"
03/05/2021,"18.32","19.14","16.26","18.34","259,325"
03/04/2021,"19.91","20.63","17.43","18.08","111,886"
03/03/2021,"21.02","21.21","18.89","20.10","100,159"
