Date,Open,High,Low,Close,Volume
08/20/2021,"9.46","10.01","9.42","9.90","1,270,600"
08/19/2021,"9.20","9.47","9.09","9.36","980,415"
08/18/2021,"9.50","9.51","9.16","9.33","1,380,734"
08/17/2021,"9.90","9.93","9.21","9.50","2,281,550"
08/16/2021,"8.77","9.94","8.56","9.89","4,062,222"
08/13/2021,"9.00","9.01","8.37","8.40","1,406,529"
08/12/2021,"8.64","9.80","8.51","9.01","3,301,922"
08/11/2021,"8.61","8.63","8.37","8.44","653,268"
08/10/2021,"8.92","8.94","8.31","8.57","1,088,768"
08/09/2021,"9.15","9.39","8.85","8.89","1,350,381"
08/06/2021,"8.66","9.13","8.35","8.92","1,642,578"
08/05/2021,"9.52","9.69","8.44","8.96","2,902,553"
08/04/2021,"8.61","9.64","8.34","9.43","6,727,381"
08/03/2021,"11.00","11.05","7.98","8.49","7,450,255"
08/02/2021,"11.19","11.25","10.23","10.92","1,868,521"
07/30/2021,"11.56","11.64","11.03","11.08","456,190"
07/29/2021,"12.42","12.56","11.52","11.62","803,192"
07/28/2021,"12.53","12.60","12.13","12.25","486,384"
07/27/2021,"12.35","12.98","12.26","12.54","483,111"
07/26/2021,"12.58","12.96","12.01","12.40","373,152"
07/23/2021,"12.85","12.99","12.30","12.55","518,035"
07/22/2021,"12.29","12.97","11.83","12.87","1,055,938"
07/21/2021,"12.18","12.52","11.95","12.38","1,725,399"
07/20/2021,"12.66","12.77","11.64","12.05","2,790,937"
07/19/2021,"13.30","13.41","12.34","12.55","2,169,125"
07/16/2021,"14.91","15.07","13.45","13.75","2,014,197"
07/15/2021,"15.98","16.08","14.81","14.89","1,945,729"
07/14/2021,"16.34","16.43","15.91","15.98","1,070,326"
07/13/2021,"16.26","16.54","16.02","16.30","856,007"
07/12/2021,"16.50","16.75","16.25","16.25","966,093"
07/09/2021,"16.15","16.60","16.09","16.50","614,129"
07/08/2021,"16.50","16.69","15.80","16.00","1,496,910"
07/07/2021,"16.72","17.00","16.50","16.50","859,771"
07/06/2021,"16.72","16.81","16.59","16.70","848,651"
07/02/2021,"16.73","16.95","16.58","16.70","932,224"
07/01/2021,"17.46","17.58","16.68","16.85","1,579,328"
06/30/2021,"17.69","17.71","16.98","17.16","2,786,482"
06/29/2021,"17.10","17.62","17.10","17.35","1,245,677"
06/28/2021,"17.70","17.70","17.00","17.24","1,325,531"
06/25/2021,"16.82","17.93","16.61","17.25","2,727,584"
06/24/2021,"17.00","17.89","16.40","16.64","12,993,980"
