Date,Open,High,Low,Close,Volume
08/11/2021,"18.13","18.95","18.13","18.23","530,179"
08/10/2021,"19.81","20.15","18.00","18.09","1,024,264"
08/09/2021,"18.60","19.83","18.55","19.50","891,320"
08/06/2021,"18.10","18.47","18.00","18.45","233,564"
08/05/2021,"18.10","18.71","17.86","18.00","451,693"
08/04/2021,"17.96","18.21","17.64","18.08","677,558"
08/03/2021,"17.97","18.08","17.79","17.90","169,043"
08/02/2021,"18.24","18.25","17.69","18.00","231,020"
07/30/2021,"18.07","18.34","17.40","18.06","403,652"
07/29/2021,"17.80","18.39","17.80","18.07","319,852"
07/28/2021,"17.05","18.00","17.00","17.80","485,138"
07/27/2021,"17.72","17.90","16.76","17.00","489,731"
07/26/2021,"17.92","18.11","17.37","17.60","728,176"
07/23/2021,"17.26","17.48","16.05","17.48","745,824"
07/22/2021,"17.53","18.48","17.05","17.26","1,251,183"
07/21/2021,"17.75","17.85","17.05","17.54","1,572,124"
07/20/2021,"18.00","18.80","17.15","17.50","1,279,584"
07/19/2021,"20.40","20.68","17.75","17.93","4,593,548"
07/16/2021,"20.00","21.04","19.20","20.90","10,160,360"
