Date,Open,High,Low,Close,Volume
08/11/2021,"9.77","9.89","9.77","9.89","409"
08/10/2021,"9.87","9.89","9.87","9.89","602"
08/09/2021,"9.81","9.95","9.81","9.83","54,592"
08/06/2021,"9.85","9.85","9.80","9.81","1,921"
08/05/2021,"9.83","9.89","9.73","9.76","27,393"
08/04/2021,"9.86","9.86","9.86","9.86","752"
08/03/2021,"9.90","9.90","9.80","9.90","2,949"
08/02/2021,"9.99","9.99","9.76","9.83","7,863"
07/30/2021,"10.04","10.04","10.00","10.03","65,316"
07/29/2021,"10.15","10.15","9.97","10.00","16,464"
07/28/2021,"10.31","10.31","10.25","10.25","2,350"
07/27/2021,"10.33","10.70","10.32","10.35","2,987"
07/26/2021,"10.87","10.87","10.26","10.26","1,005"
07/23/2021,"10.41","10.55","10.00","10.08","16,304"
07/22/2021,"10.30","10.30","10.30","10.30","50"
07/21/2021,"10.30","10.30","10.30","10.30","305"
07/20/2021,"10.37","10.37","10.37","10.37","162"
07/19/2021,"10.60","10.62","10.47","10.47","1,648"
07/15/2021,"10.75","10.75","10.75","10.75","28"
07/14/2021,"10.97","11.00","10.75","10.75","2,248"
07/13/2021,"10.70","10.71","10.35","10.71","4,057"
07/12/2021,"11.00","11.00","10.37","10.72","3,407"
07/09/2021,"11.00","11.47","11.00","11.47","643"
07/08/2021,"10.77","10.80","10.65","10.70","10,616"
07/07/2021,"10.35","10.69","10.35","10.69","691"
07/06/2021,"10.64","10.64","10.30","10.30","463"
07/02/2021,"10.53","10.75","10.52","10.64","7,493"
07/01/2021,"10.35","10.44","10.35","10.44","3,073"
06/30/2021,"10.45","10.56","10.44","10.53","5,308"
06/29/2021,"10.37","10.58","10.37","10.42","45,675"
06/28/2021,"10.39","10.43","10.39","10.43","1,642"
06/25/2021,"10.60","10.60","10.60","10.60","1,474"
06/24/2021,"10.21","10.40","10.18","10.37","4,833"
06/23/2021,"10.36","10.40","10.34","10.40","529,104"
06/22/2021,"10.35","10.35","10.35","10.35","691"
06/21/2021,"10.27","10.40","10.25","10.40","25,317"
06/18/2021,"10.40","10.42","10.35","10.40","27,496"
06/17/2021,"10.25","10.30","10.25","10.25","1,561"
06/16/2021,"10.32","10.32","10.29","10.29","25,580"
06/15/2021,"10.24","10.24","10.13","10.22","1,821"
06/14/2021,"10.37","10.37","10.36","10.36","624"
06/11/2021,"10.10","10.52","10.10","10.22","4,038"
06/10/2021,"10.50","10.50","10.50","10.50","4,803"
