Date,Open,High,Low,Close,Volume
08/20/2021,"10.84","11.35","10.30","11.17","115,914"
08/19/2021,"10.59","11.08","10.00","10.57","78,256"
08/18/2021,"10.87","10.96","10.08","10.70","64,764"
08/17/2021,"10.59","10.89","10.26","10.88","113,200"
08/16/2021,"10.62","11.17","10.28","10.50","59,603"
08/13/2021,"11.91","11.91","10.60","10.61","45,105"
08/12/2021,"12.27","12.44","11.19","11.73","38,439"
08/11/2021,"11.97","12.82","11.50","11.98","16,551"
08/10/2021,"12.80","12.96","11.29","11.80","65,553"
08/09/2021,"12.74","13.24","12.51","12.65","29,017"
08/06/2021,"12.77","12.98","12.45","12.74","38,304"
08/05/2021,"13.18","13.71","12.64","12.81","36,130"
08/04/2021,"13.61","13.61","12.90","13.03","55,724"
08/03/2021,"13.67","13.70","13.24","13.45","38,904"
08/02/2021,"13.43","13.46","12.76","13.46","16,300"
07/30/2021,"13.46","13.55","12.82","13.19","32,833"
07/29/2021,"13.47","13.95","13.15","13.50","753,303"
07/28/2021,"13.09","14.17","12.51","13.22","90,680"
07/27/2021,"12.66","14.95","12.22","13.25","239,060"
07/26/2021,"13.36","14.64","12.35","12.60","24,256"
07/23/2021,"13.20","13.50","13.09","13.24","21,186"
07/22/2021,"13.52","13.55","12.54","13.44","26,959"
07/21/2021,"14.36","14.36","13.14","13.38","182,143"
07/20/2021,"13.67","14.49","13.36","13.64","281,755"
07/19/2021,"13.60","14.00","12.96","13.53","89,698"
07/16/2021,"14.25","14.62","13.43","13.66","41,159"
07/15/2021,"13.73","15.26","13.26","14.23","175,786"
07/14/2021,"15.71","15.71","13.58","13.94","41,067"
07/13/2021,"16.02","16.11","15.45","15.61","391,698"
07/12/2021,"15.76","16.28","15.54","15.99","22,855"
07/09/2021,"15.53","15.80","15.41","15.69","12,575"
07/08/2021,"14.94","15.72","14.94","15.50","15,936"
07/07/2021,"15.32","15.80","14.96","15.21","62,656"
07/06/2021,"15.45","15.99","14.67","15.63","38,954"
07/02/2021,"15.57","15.64","14.86","15.20","70,854"
07/01/2021,"15.63","16.00","14.71","15.40","150,248"
06/30/2021,"15.20","15.93","14.66","15.61","86,592"
06/29/2021,"15.00","15.84","13.91","15.08","188,620"
06/28/2021,"13.94","16.16","13.91","15.08","240,958"
06/25/2021,"15.41","15.50","13.41","13.65","1,094,031"
06/24/2021,"16.78","17.06","15.49","15.57","114,184"
06/23/2021,"18.23","18.30","16.30","16.58","49,545"
06/22/2021,"18.71","19.35","17.26","17.89","84,380"
06/21/2021,"19.80","20.24","18.55","18.90","128,358"
06/18/2021,"20.50","20.88","19.28","20.00","443,633"
06/17/2021,"20.28","21.14","20.12","20.73","113,372"
06/16/2021,"20.44","21.20","20.04","20.46","123,641"
06/15/2021,"20.54","20.82","20.01","20.61","36,270"
06/14/2021,"20.95","21.37","20.00","20.56","110,789"
06/11/2021,"21.26","21.48","20.38","20.61","37,481"
06/10/2021,"20.62","21.38","20.28","20.93","60,764"
06/09/2021,"20.09","21.39","20.09","20.87","60,536"
06/08/2021,"20.09","20.98","20.09","20.50","70,589"
06/07/2021,"19.08","20.82","18.24","20.28","121,522"
06/04/2021,"17.95","19.43","17.95","18.86","44,797"
06/03/2021,"18.74","18.93","18.01","18.34","81,739"
06/02/2021,"18.74","19.29","18.08","18.99","67,203"
06/01/2021,"17.50","19.10","17.12","18.74","56,021"
05/28/2021,"16.40","17.95","16.40","17.31","70,317"
05/27/2021,"17.29","18.05","15.99","16.50","26,736"
05/26/2021,"17.27","17.76","17.24","17.36","19,091"
05/25/2021,"17.16","17.70","17.06","17.40","36,597"
05/24/2021,"17.49","17.53","16.85","17.50","22,417"
05/21/2021,"17.50","18.25","16.80","17.50","65,206"
05/20/2021,"17.26","18.15","17.18","17.50","42,600"
05/19/2021,"16.75","17.52","16.75","17.44","149,172"
05/18/2021,"15.94","16.92","15.60","16.85","184,669"
05/17/2021,"15.69","16.08","15.69","16.04","19,147"
05/14/2021,"16.01","17.12","15.10","15.87","188,996"
05/13/2021,"15.85","16.94","14.11","15.91","171,810"
05/12/2021,"16.38","16.66","15.58","15.88","119,242"
05/11/2021,"16.13","17.03","15.83","16.38","132,581"
05/10/2021,"16.94","17.02","16.28","16.63","38,684"
05/07/2021,"16.87","17.12","16.50","16.94","53,700"
05/06/2021,"16.83","17.46","16.58","17.08","33,721"
05/05/2021,"16.79","17.36","16.56","17.05","65,612"
05/04/2021,"16.66","17.00","16.04","16.96","27,848"
05/03/2021,"17.04","17.41","16.85","17.00","82,849"
04/30/2021,"16.70","17.67","16.66","16.95","134,135"
04/29/2021,"17.52","17.52","16.71","16.97","123,838"
04/28/2021,"16.99","17.98","16.99","17.08","98,434"
04/27/2021,"16.25","17.61","15.89","16.99","77,272"
04/26/2021,"16.52","17.58","15.51","17.49","48,310"
04/23/2021,"18.00","18.12","16.33","16.80","129,268"
04/22/2021,"17.20","17.98","16.32","17.61","67,327"
04/21/2021,"16.33","18.09","15.53","17.46","134,292"
04/20/2021,"17.00","17.00","15.15","16.79","168,130"
04/19/2021,"17.26","19.54","16.90","17.00","677,742"
04/16/2021,"20.00","22.22","16.55","18.60","3,590,103"
