Date,Open,High,Low,Close,Volume
08/20/2021,"26.00","26.66","25.80","26.33","751,822"
08/19/2021,"25.66","26.26","25.53","25.91","601,780"
08/18/2021,"26.31","26.43","25.79","25.86","1,110,611"
08/17/2021,"26.55","26.59","26.20","26.34","742,384"
08/16/2021,"26.87","27.02","26.59","26.71","620,601"
08/13/2021,"26.34","27.00","26.34","26.92","565,153"
08/12/2021,"26.47","26.47","26.03","26.30","683,275"
08/11/2021,"26.69","26.82","26.35","26.39","906,244"
08/10/2021,"27.00","27.32","26.68","26.69","1,000,206"
08/09/2021,"26.78","27.13","26.64","27.04","635,271"
08/06/2021,"26.90","27.21","26.76","26.82","780,961"
08/05/2021,"26.49","26.85","26.43","26.83","815,680"
08/04/2021,"25.63","26.44","25.63","26.32","889,888"
08/03/2021,"25.62","25.91","25.47","25.91","973,826"
08/02/2021,"26.16","26.42","25.42","25.53","796,182"
07/30/2021,"25.69","26.34","25.69","26.02","1,882,809"
07/29/2021,"25.80","25.99","25.56","25.63","614,317"
07/28/2021,"25.71","25.82","25.44","25.58","653,105"
07/27/2021,"25.37","25.79","25.32","25.64","1,189,730"
07/26/2021,"25.41","25.65","25.10","25.39","548,052"
07/23/2021,"25.03","25.27","24.85","25.27","681,965"
07/22/2021,"25.17","25.21","24.75","24.90","571,734"
07/21/2021,"25.25","25.68","25.06","25.18","919,495"
07/20/2021,"24.58","25.32","24.36","25.25","1,497,997"
07/19/2021,"24.33","24.55","24.08","24.39","1,067,343"
07/16/2021,"24.73","24.87","24.53","24.60","709,536"
07/15/2021,"24.46","24.63","24.38","24.58","508,814"
07/14/2021,"24.06","24.49","23.93","24.42","786,235"
07/13/2021,"24.57","24.69","24.04","24.13","638,923"
07/12/2021,"24.41","24.77","24.34","24.63","922,440"
07/09/2021,"24.39","24.46","23.98","24.45","1,171,742"
07/08/2021,"24.12","24.40","23.60","24.22","807,157"
07/07/2021,"24.23","24.42","24.08","24.23","837,268"
07/06/2021,"24.07","24.29","23.82","24.24","1,306,241"
07/02/2021,"23.74","24.21","23.66","24.07","1,358,502"
07/01/2021,"23.54","23.73","23.30","23.63","1,443,676"
06/30/2021,"23.36","24.51","22.80","23.41","1,684,529"
06/29/2021,"23.51","23.77","23.17","23.27","1,551,822"
06/28/2021,"23.49","23.68","23.03","23.64","2,481,565"
06/25/2021,"23.55","23.84","23.32","23.47","18,697,260"
06/24/2021,"22.94","23.50","22.92","23.48","7,391,533"
06/23/2021,"23.83","24.22","23.47","24.05","2,032,902"
06/22/2021,"24.30","24.76","23.60","23.72","4,305,537"
06/21/2021,"24.98","25.23","24.78","24.94","4,126,469"
06/18/2021,"24.35","25.39","24.10","24.85","22,823,350"
06/17/2021,"24.64","25.48","24.31","24.33","6,423,373"
06/16/2021,"24.87","25.91","24.55","24.97","5,632,565"
06/15/2021,"25.46","25.71","24.74","24.79","3,896,843"
06/14/2021,"25.28","26.85","25.19","25.85","4,819,582"
06/11/2021,"24.89","25.56","24.70","25.17","2,597,857"
06/10/2021,"24.64","25.19","24.61","24.84","2,443,115"
06/09/2021,"24.36","24.94","24.20","24.61","1,937,424"
06/08/2021,"24.15","24.66","24.00","24.37","2,042,777"
06/07/2021,"24.00","24.50","23.98","24.14","2,608,596"
06/04/2021,"23.61","23.91","23.23","23.90","2,115,922"
06/03/2021,"23.15","24.08","22.96","23.55","4,165,517"
06/02/2021,"22.80","23.32","22.26","23.11","2,366,226"
06/01/2021,"21.90","22.93","21.90","22.85","2,263,067"
05/28/2021,"21.73","22.00","21.64","21.84","1,526,975"
05/27/2021,"22.09","22.09","21.39","21.79","12,416,900"
05/26/2021,"22.09","22.19","21.73","21.99","2,264,770"
05/25/2021,"21.88","22.32","21.80","21.99","2,702,002"
05/24/2021,"21.61","22.08","21.57","21.83","2,591,665"
05/21/2021,"21.41","21.59","21.26","21.47","1,592,682"
05/20/2021,"21.12","21.68","21.02","21.35","2,288,573"
05/19/2021,"21.08","21.14","20.92","21.08","956,682"
05/18/2021,"20.95","21.43","20.72","21.20","1,484,685"
05/17/2021,"20.55","20.95","20.46","20.88","1,176,488"
05/14/2021,"20.50","20.79","20.48","20.59","1,125,117"
05/13/2021,"20.28","20.58","20.12","20.42","1,520,672"
05/12/2021,"20.21","20.70","20.15","20.28","2,241,509"
05/11/2021,"20.18","20.37","19.90","20.27","679,820"
05/10/2021,"20.28","20.43","20.27","20.35","494,402"
05/07/2021,"19.93","20.45","19.93","20.26","943,108"
05/06/2021,"20.07","20.14","19.87","20.05","705,253"
05/05/2021,"20.35","20.46","20.05","20.10","1,225,602"
05/04/2021,"20.19","20.68","20.08","20.29","1,052,230"
05/03/2021,"20.35","20.58","20.00","20.21","1,052,555"
04/30/2021,"20.34","20.55","19.95","20.18","1,832,094"
04/29/2021,"19.66","20.47","19.60","20.36","3,280,393"
04/28/2021,"19.61","19.70","19.55","19.56","788,224"
04/27/2021,"19.52","19.67","19.45","19.55","652,612"
04/26/2021,"19.50","19.72","19.50","19.55","683,428"
04/23/2021,"19.55","19.61","19.43","19.56","685,843"
04/22/2021,"19.47","19.58","19.38","19.46","629,201"
04/21/2021,"19.25","19.51","19.12","19.44","650,452"
04/20/2021,"19.23","19.61","19.23","19.30","817,437"
04/19/2021,"19.19","19.42","19.01","19.31","1,137,788"
04/16/2021,"18.86","19.46","18.74","19.22","1,243,648"
04/15/2021,"18.72","18.91","18.61","18.89","964,497"
04/14/2021,"18.92","19.00","18.73","18.83","881,408"
04/13/2021,"18.70","18.94","18.60","18.92","432,364"
04/12/2021,"18.50","18.65","18.41","18.65","404,989"
04/09/2021,"18.62","18.75","18.49","18.57","556,904"
04/08/2021,"18.84","18.92","18.51","18.61","458,770"
04/07/2021,"18.80","18.87","18.54","18.77","426,777"
04/06/2021,"18.62","18.85","18.52","18.80","1,092,374"
04/05/2021,"18.40","18.75","18.37","18.62","637,840"
04/01/2021,"18.34","18.40","18.12","18.40","620,692"
03/31/2021,"18.20","18.35","18.05","18.30","499,128"
03/30/2021,"18.10","18.31","18.03","18.18","705,954"
03/29/2021,"18.44","18.52","18.31","18.45","515,031"
03/26/2021,"18.16","18.51","18.12","18.49","695,922"
03/25/2021,"18.49","18.49","18.07","18.21","872,203"
03/24/2021,"17.90","18.55","17.90","18.49","969,980"
03/23/2021,"18.10","18.29","17.90","18.01","957,891"
03/22/2021,"18.67","18.68","17.95","18.18","1,110,871"
03/19/2021,"18.34","18.85","18.22","18.64","1,313,806"
03/18/2021,"18.32","18.66","18.19","18.40","910,223"
03/17/2021,"18.56","18.56","18.27","18.35","696,483"
03/16/2021,"18.70","18.97","18.49","18.59","477,975"
03/15/2021,"18.15","18.63","17.98","18.55","504,076"
03/12/2021,"18.28","18.34","18.00","18.25","614,499"
03/11/2021,"18.17","18.25","17.84","18.19","455,170"
03/10/2021,"17.80","18.26","17.78","18.17","142,322"
03/09/2021,"17.89","18.17","17.72","17.82","258,632"
03/08/2021,"18.18","18.45","17.78","17.82","428,076"
03/05/2021,"18.45","18.45","17.81","18.17","358,798"
03/04/2021,"18.25","18.41","18.09","18.24","437,854"
03/03/2021,"18.37","18.66","18.30","18.32","147,661"
03/02/2021,"18.56","18.79","18.06","18.35","382,243"
03/01/2021,"18.31","19.05","18.31","18.66","389,432"
02/26/2021,"18.50","18.50","18.09","18.09","221,020"
02/25/2021,"19.08","19.49","18.26","18.50","357,523"
02/24/2021,"19.28","19.73","18.76","18.89","442,108"
02/23/2021,"18.84","19.23","18.56","19.15","216,251"
02/22/2021,"18.92","19.03","18.48","18.74","353,297"
02/19/2021,"18.64","19.05","18.56","19.03","397,647"
02/18/2021,"18.70","18.88","18.58","18.73","576,087"
02/17/2021,"18.51","18.82","18.27","18.70","231,823"
02/16/2021,"18.91","18.94","18.39","18.61","471,650"
02/12/2021,"18.45","19.02","18.30","18.94","401,139"
02/11/2021,"18.43","18.74","18.31","18.56","480,512"
02/10/2021,"18.32","18.57","18.19","18.41","369,973"
02/09/2021,"18.21","18.30","18.13","18.24","163,538"
02/08/2021,"18.30","18.39","18.05","18.20","224,166"
02/05/2021,"18.31","18.43","18.21","18.32","252,265"
02/04/2021,"18.14","18.62","18.12","18.35","288,073"
02/03/2021,"18.24","18.35","18.11","18.30","267,224"
02/02/2021,"18.39","18.44","18.03","18.35","219,080"
02/01/2021,"18.03","18.39","17.95","18.26","264,597"
01/29/2021,"18.27","18.34","17.99","18.03","228,495"
01/28/2021,"18.27","18.52","18.07","18.38","297,870"
01/27/2021,"18.36","18.52","18.00","18.16","391,888"
01/26/2021,"19.04","19.17","18.34","18.53","252,903"
01/25/2021,"18.46","19.00","18.46","18.75","477,327"
01/22/2021,"18.23","18.24","18.05","18.16","303,045"
01/21/2021,"18.23","18.47","18.09","18.40","136,138"
01/20/2021,"18.12","18.50","18.08","18.28","164,404"
01/19/2021,"18.58","18.59","18.05","18.09","215,203"
01/15/2021,"18.30","18.73","18.20","18.58","305,907"
01/14/2021,"18.95","18.95","18.41","18.44","178,615"
01/13/2021,"18.76","18.91","18.52","18.79","259,465"
01/12/2021,"18.77","18.93","18.65","18.76","203,980"
01/11/2021,"18.64","19.18","18.60","18.77","231,077"
01/08/2021,"18.68","18.96","18.52","18.83","172,009"
01/07/2021,"19.30","19.34","18.55","18.78","200,097"
01/06/2021,"19.39","19.44","19.11","19.31","419,448"
01/05/2021,"19.12","19.32","19.12","19.26","233,990"
01/04/2021,"19.68","19.76","19.23","19.26","309,192"
12/31/2020,"19.40","19.64","19.15","19.58","221,529"
12/30/2020,"19.34","19.58","19.34","19.41","426,859"
12/29/2020,"19.71","19.71","19.37","19.62","285,183"
12/28/2020,"19.69","19.75","19.43","19.60","259,520"
12/24/2020,"19.60","19.86","19.55","19.70","63,784"
12/23/2020,"19.57","19.85","19.50","19.51","492,338"
12/22/2020,"19.23","19.53","18.94","19.52","400,642"
12/21/2020,"19.50","19.50","18.45","19.26","466,821"
12/18/2020,"19.88","19.99","19.50","19.50","6,027,168"
12/17/2020,"19.67","19.84","19.62","19.77","766,125"
12/16/2020,"19.30","19.80","19.30","19.62","788,742"
12/15/2020,"19.05","19.16","18.69","19.16","687,668"
12/14/2020,"19.15","19.30","18.61","18.62","519,584"
12/11/2020,"18.87","19.10","18.80","19.00","313,837"
12/10/2020,"18.51","18.82","18.51","18.79","257,302"
12/09/2020,"18.64","18.77","18.54","18.65","436,031"
12/08/2020,"18.59","18.72","18.49","18.55","133,278"
12/07/2020,"18.42","18.78","18.30","18.59","314,346"
12/04/2020,"18.39","18.59","18.22","18.34","449,231"
12/03/2020,"18.33","18.53","18.28","18.35","188,871"
12/02/2020,"18.25","18.47","18.19","18.33","323,010"
12/01/2020,"17.70","18.36","17.70","18.26","353,664"
11/30/2020,"17.87","17.90","17.34","17.63","414,346"
11/27/2020,"18.09","18.27","17.59","17.94","110,137"
11/25/2020,"17.84","18.40","17.77","18.09","295,432"
11/24/2020,"17.54","17.87","17.22","17.70","525,412"
