Date,Open,High,Low,Close,Volume
08/12/2021,"12.53","12.78","12.03","12.29","14,473"
08/11/2021,"12.90","12.95","12.20","12.34","143,776"
08/10/2021,"13.25","13.86","12.73","12.75","107,013"
08/09/2021,"12.75","13.60","12.50","13.31","179,580"
08/06/2021,"12.53","13.30","12.41","12.80","68,533"
08/05/2021,"12.90","13.93","12.33","13.20","51,740"
08/04/2021,"13.44","13.88","12.61","13.00","157,658"
08/03/2021,"13.06","14.12","12.57","13.21","107,271"
08/02/2021,"14.02","14.02","12.56","13.07","29,488"
07/30/2021,"14.12","14.54","13.77","14.20","29,528"
07/29/2021,"14.12","15.10","13.45","14.39","184,064"
07/28/2021,"12.06","12.35","11.32","12.30","80,141"
07/27/2021,"11.35","12.09","11.35","11.63","24,067"
07/26/2021,"11.46","11.46","10.47","11.15","57,550"
07/23/2021,"12.00","12.22","11.05","11.62","101,696"
07/22/2021,"12.07","12.36","12.03","12.30","26,762"
07/21/2021,"12.05","13.47","11.32","12.20","52,256"
07/20/2021,"14.94","15.35","11.08","12.20","396,547"
07/19/2021,"14.84","16.20","14.61","14.89","427,207"
07/16/2021,"13.11","15.98","13.11","15.31","1,457,982"
07/15/2021,"11.81","13.42","11.50","12.87","535,186"
07/14/2021,"9.01","14.49","8.02","11.89","4,055,751"
07/13/2021,"9.19","9.62","8.90","8.90","132,034"
07/12/2021,"9.66","10.30","9.01","9.20","226,795"
07/09/2021,"11.38","12.08","9.35","9.42","322,603"
07/08/2021,"10.00","11.75","9.34","11.36","648,106"
07/07/2021,"10.29","17.60","10.29","11.30","3,985,132"
07/06/2021,"8.66","12.00","8.51","10.18","1,209,045"
07/02/2021,"7.39","8.15","7.22","8.05","199,734"
07/01/2021,"6.85","7.50","6.85","7.46","158,268"
06/30/2021,"7.75","8.93","6.71","6.85","1,027,318"
06/29/2021,"6.76","8.39","6.55","7.90","526,971"
06/28/2021,"6.98","7.17","6.31","6.89","589,758"
06/25/2021,"7.14","8.49","6.92","7.50","1,460,307"
06/24/2021,"6.30","10.53","6.29","7.20","5,381,522"
