Date,Open,High,Low,Close,Volume
08/30/2021,"2.7200","2.7500","2.6100","2.6500","91,383"
08/27/2021,"2.8200","2.8200","2.6500","2.7100","225,863"
08/26/2021,"2.7200","2.9200","2.6600","2.8200","334,740"
08/25/2021,"3.0800","3.0800","2.9000","2.9200","113,277"
08/24/2021,"2.8200","3.1300","2.8200","3.0800","415,646"
08/23/2021,"2.6600","2.8200","2.5700","2.8000","305,492"
08/20/2021,"2.6840","2.7100","2.5850","2.6000","147,153"
08/19/2021,"2.6000","2.6700","2.4300","2.5100","200,350"
08/18/2021,"2.5900","2.7000","2.5400","2.6600","107,127"
08/17/2021,"2.7300","2.7300","2.5433","2.5900","106,459"
08/16/2021,"2.6100","2.6900","2.5000","2.6500","122,422"
08/13/2021,"2.6000","2.6050","2.5200","2.5600","83,590"
08/12/2021,"2.7400","2.7500","2.5100","2.6000","214,771"
08/11/2021,"2.8000","2.8500","2.7300","2.8000","83,470"
08/10/2021,"2.9600","3.0000","2.7800","2.8000","183,828"
08/09/2021,"2.9800","2.9800","2.9100","2.9500","116,749"
08/06/2021,"2.9400","2.9900","2.8700","2.9700","63,984"
08/05/2021,"2.9200","2.9900","2.8900","2.9500","186,920"
08/04/2021,"2.9000","3.0199","2.8800","2.9700","214,235"
08/03/2021,"3.0200","3.0200","2.8500","2.8900","103,465"
08/02/2021,"2.8900","3.0300","2.8300","2.9900","131,805"
07/30/2021,"2.8200","2.9650","2.8000","2.8300","151,109"
07/29/2021,"2.9600","3.0000","2.8500","2.9100","239,308"
07/28/2021,"2.9100","3.0700","2.8107","2.9400","502,030"
07/27/2021,"3.2500","3.2800","2.7100","2.8000","944,457"
07/26/2021,"3.8400","3.8400","3.3600","3.3700","399,636"
07/23/2021,"4.0300","4.1200","3.8400","3.9500","396,577"
07/22/2021,"4.2100","4.2150","4.0800","4.1300","91,099"
07/21/2021,"4.1400","4.2700","4.1150","4.1700","121,309"
07/20/2021,"3.9400","4.2300","3.8200","4.1400","95,632"
07/19/2021,"3.7800","3.9500","3.7400","3.9200","89,932"
07/16/2021,"3.9000","4.0900","3.7800","3.8900","124,776"
07/15/2021,"3.8400","3.9800","3.7500","3.8500","126,721"
07/14/2021,"4.2800","4.2899","3.7900","3.8300","219,611"
07/13/2021,"4.0900","4.3600","4.0900","4.2000","227,451"
07/12/2021,"4.2200","4.2400","4.0350","4.1000","126,964"
07/09/2021,"4.1900","4.3200","4.0200","4.2000","385,121"
07/08/2021,"4.0300","4.1700","3.9500","4.1500","197,953"
07/07/2021,"4.2800","4.3477","4.0300","4.1900","173,286"
07/06/2021,"4.3000","4.3200","4.0500","4.2800","283,197"
07/02/2021,"4.4200","4.4200","4.2200","4.3400","150,485"
07/01/2021,"4.4400","4.5550","4.2450","4.3500","428,263"
06/30/2021,"4.7300","4.7699","4.4116","4.4900","303,173"
06/29/2021,"4.5100","4.7900","4.2609","4.7100","432,242"
06/28/2021,"4.8800","4.9400","4.3900","4.5300","724,242"
06/25/2021,"4.9200","5.0800","4.7500","4.8800","282,482"
06/24/2021,"5.0800","5.1600","4.8600","4.9200","333,576"
06/23/2021,"5.0600","5.1800","4.8500","5.0300","278,435"
06/22/2021,"5.5300","5.5900","4.9800","5.0000","670,555"
06/21/2021,"5.8600","5.9000","5.3800","5.5300","526,375"
06/18/2021,"5.5700","6.2200","5.5500","5.8500","924,983"
06/17/2021,"5.2500","5.7500","5.2000","5.6400","899,507"
