Date,Open,High,Low,Close,Volume
08/12/2021,"16.90","18.02","16.90","17.55","830,965"
08/11/2021,"16.80","17.70","16.75","17.30","1,270,252"
08/10/2021,"15.95","16.72","15.84","16.50","1,010,105"
08/09/2021,"15.75","16.00","15.69","15.95","410,169"
08/06/2021,"15.60","16.05","15.57","15.68","414,295"
08/05/2021,"15.65","15.88","15.55","15.66","396,342"
08/04/2021,"15.39","15.98","15.35","15.69","372,135"
08/03/2021,"15.85","15.99","15.12","15.47","319,071"
08/02/2021,"15.92","16.00","15.65","15.82","143,743"
07/30/2021,"15.60","15.90","14.94","15.76","188,431"
07/29/2021,"15.67","15.75","15.40","15.71","250,090"
07/28/2021,"15.94","16.00","15.57","15.60","468,753"
07/27/2021,"16.00","16.05","15.81","15.95","301,202"
07/26/2021,"15.81","16.01","15.60","15.90","218,124"
07/23/2021,"15.90","15.99","15.36","15.85","392,515"
07/22/2021,"16.00","16.00","15.50","15.90","1,930,406"
07/21/2021,"15.80","16.02","15.15","15.80","766,936"
07/20/2021,"14.54","16.05","14.50","15.79","840,584"
07/19/2021,"15.16","15.65","14.72","15.15","502,212"
07/16/2021,"14.35","15.72","14.05","15.65","8,498,465"
