Date,Open,High,Low,Close,Volume
08/12/2021,"62.43","64.00","61.91","63.39","665,537"
08/11/2021,"62.55","64.30","61.00","62.59","1,129,880"
08/10/2021,"64.48","65.71","63.07","64.41","1,221,144"
08/09/2021,"63.10","65.39","62.96","64.90","1,277,627"
08/06/2021,"63.01","63.20","62.28","62.87","1,271,408"
08/05/2021,"61.58","62.93","61.53","62.85","924,102"
08/04/2021,"61.65","61.79","61.10","61.45","907,309"
08/03/2021,"60.93","61.37","59.98","61.32","1,017,221"
08/02/2021,"60.98","61.43","60.32","60.98","1,115,294"
07/30/2021,"60.43","61.25","59.99","60.81","651,278"
07/29/2021,"60.26","61.88","60.01","60.87","502,444"
07/28/2021,"60.28","60.34","59.74","60.02","1,481,567"
07/27/2021,"61.33","61.37","58.89","60.23","1,136,106"
07/26/2021,"61.30","61.82","60.83","61.13","1,016,075"
07/23/2021,"61.24","61.45","60.43","60.94","369,786"
07/22/2021,"60.98","61.59","60.48","61.04","668,036"
07/21/2021,"61.17","61.34","60.16","60.59","642,020"
07/20/2021,"59.08","60.95","58.70","60.74","934,302"
07/19/2021,"57.93","59.43","57.19","58.83","830,893"
07/16/2021,"59.62","60.00","58.69","58.90","1,368,606"
07/15/2021,"61.09","61.87","59.56","59.75","1,210,542"
07/14/2021,"63.71","64.08","61.39","61.52","1,155,798"
07/13/2021,"63.96","64.82","63.15","63.52","773,523"
07/12/2021,"65.00","65.00","63.20","63.94","1,282,573"
07/09/2021,"64.25","64.92","63.28","64.20","733,462"
07/08/2021,"64.97","64.97","62.05","63.81","1,630,146"
07/07/2021,"65.94","66.73","64.77","65.77","1,035,127"
07/06/2021,"64.99","65.87","64.80","65.84","780,444"
07/02/2021,"63.84","64.91","63.80","64.83","652,448"
07/01/2021,"64.30","64.44","62.18","63.50","1,112,933"
06/30/2021,"64.34","65.54","63.84","64.78","1,280,123"
06/29/2021,"61.99","64.96","61.92","64.39","2,048,861"
06/28/2021,"61.15","62.40","60.66","61.91","1,221,643"
06/25/2021,"61.85","62.10","60.50","60.85","9,986,806"
06/24/2021,"61.69","62.42","60.95","61.84","3,401,269"
06/23/2021,"62.88","64.35","61.03","61.65","5,110,343"
06/22/2021,"66.49","66.88","65.28","65.98","3,399,517"
06/21/2021,"63.86","67.00","63.86","66.44","4,116,248"
06/18/2021,"63.41","65.36","63.41","63.91","3,590,516"
06/17/2021,"64.89","65.81","64.35","65.15","3,597,440"
06/16/2021,"64.06","65.49","63.23","65.19","4,160,759"
06/15/2021,"63.84","64.49","63.25","64.35","1,801,311"
06/14/2021,"63.90","63.94","62.25","63.43","2,263,728"
06/11/2021,"63.56","64.08","62.69","63.78","1,970,051"
06/10/2021,"62.65","63.81","62.15","63.69","1,483,924"
06/09/2021,"62.50","63.95","62.50","62.71","1,605,909"
06/08/2021,"62.16","63.71","61.76","62.47","1,467,290"
06/07/2021,"62.73","63.52","61.34","62.36","2,121,295"
06/04/2021,"60.42","61.81","59.44","61.70","1,913,817"
06/03/2021,"58.12","60.66","57.48","60.35","1,656,086"
06/02/2021,"58.52","60.00","58.14","59.40","1,842,213"
06/01/2021,"57.86","58.66","57.16","58.54","1,236,633"
05/28/2021,"57.29","58.18","57.12","57.36","1,263,412"
05/27/2021,"56.54","57.65","55.44","57.52","10,652,470"
05/26/2021,"56.51","57.18","55.44","56.03","2,007,365"
05/25/2021,"55.00","56.91","54.74","56.55","2,557,222"
05/24/2021,"52.95","55.00","52.95","54.97","1,562,768"
05/21/2021,"52.83","53.45","52.55","53.16","1,636,687"
05/20/2021,"52.00","53.01","51.48","52.21","1,826,279"
05/19/2021,"50.13","52.12","50.13","52.00","939,342"
05/18/2021,"50.67","52.50","50.33","51.66","1,541,706"
05/17/2021,"48.74","51.43","48.74","50.10","1,572,787"
05/14/2021,"48.54","50.64","48.54","49.96","1,623,735"
05/13/2021,"48.87","50.48","47.45","48.11","1,817,941"
05/12/2021,"46.39","50.16","45.51","49.32","2,627,995"
05/11/2021,"45.00","46.49","41.66","45.87","2,056,156"
05/10/2021,"48.59","48.75","45.55","45.62","1,182,816"
05/07/2021,"48.35","49.56","48.06","48.47","735,465"
05/06/2021,"50.10","50.50","47.51","48.35","966,790"
05/05/2021,"51.15","51.15","49.80","50.29","714,050"
05/04/2021,"51.18","51.48","49.85","50.67","876,354"
05/03/2021,"49.88","52.10","49.88","51.73","493,496"
04/30/2021,"50.73","51.50","50.30","51.20","519,255"
04/29/2021,"52.00","52.05","50.52","50.93","488,686"
04/28/2021,"52.02","52.19","51.29","51.67","828,632"
04/27/2021,"50.60","51.96","50.24","51.86","612,711"
04/26/2021,"50.47","52.18","50.47","51.62","1,053,324"
04/23/2021,"50.42","51.01","50.06","50.78","655,871"
04/22/2021,"51.05","51.58","49.87","50.40","1,084,534"
04/21/2021,"49.68","51.27","49.41","50.94","1,296,419"
04/20/2021,"50.25","50.65","49.35","49.71","900,918"
04/19/2021,"50.34","50.89","49.71","49.93","978,924"
04/16/2021,"49.99","50.93","49.22","50.65","859,611"
04/15/2021,"50.00","50.32","48.98","49.79","684,946"
04/14/2021,"49.67","50.08","49.18","49.87","552,854"
04/13/2021,"49.40","50.09","49.01","49.98","717,699"
04/12/2021,"48.99","49.95","46.33","49.87","805,866"
04/09/2021,"48.30","49.47","48.01","48.99","603,778"
04/08/2021,"48.00","49.40","47.89","48.98","789,563"
04/07/2021,"48.02","48.78","47.04","48.16","352,627"
04/06/2021,"48.26","49.17","47.99","48.11","604,897"
04/05/2021,"48.20","48.88","47.24","47.90","603,782"
04/01/2021,"47.06","48.49","46.28","47.94","735,914"
03/31/2021,"45.73","48.49","45.08","46.93","927,778"
03/30/2021,"44.42","45.55","44.25","45.32","550,672"
03/29/2021,"44.47","46.00","43.60","44.59","400,497"
03/26/2021,"44.47","45.04","43.23","44.53","283,085"
03/25/2021,"42.00","45.00","41.50","44.41","759,530"
03/24/2021,"43.29","44.04","42.16","42.58","482,737"
03/23/2021,"43.67","44.63","42.30","42.99","458,548"
03/22/2021,"40.27","44.01","38.63","43.91","1,075,232"
03/19/2021,"42.16","43.38","41.34","42.02","764,731"
03/18/2021,"43.40","43.85","40.63","42.63","575,168"
03/17/2021,"43.67","45.05","42.70","43.86","666,273"
03/16/2021,"45.99","46.50","43.53","44.16","827,693"
03/15/2021,"46.83","46.97","45.27","45.99","545,632"
03/12/2021,"45.00","47.12","44.83","46.83","505,086"
03/11/2021,"45.11","46.37","44.77","44.80","852,362"
03/10/2021,"44.50","45.20","43.70","44.76","567,571"
03/09/2021,"43.81","44.49","42.00","43.37","628,747"
03/08/2021,"46.68","48.00","42.26","42.95","707,480"
03/05/2021,"46.73","47.91","44.44","47.17","481,434"
03/04/2021,"46.33","47.70","44.79","46.03","931,279"
03/03/2021,"46.45","47.53","44.92","46.17","647,180"
03/02/2021,"44.65","46.95","44.02","45.97","699,530"
03/01/2021,"45.19","46.62","44.05","44.50","564,755"
