Date,Open,High,Low,Close,Volume
08/12/2021,"12.70","13.53","12.70","13.51","1,539"
08/11/2021,"13.10","13.59","13.10","13.55","13,701"
08/10/2021,"13.50","13.60","13.50","13.60","875"
08/09/2021,"13.50","13.60","13.20","13.43","17,350"
08/06/2021,"13.68","13.68","13.68","13.68","516"
08/05/2021,"13.50","13.69","13.33","13.69","2,337"
08/04/2021,"13.43","13.44","13.43","13.44","290"
08/03/2021,"13.36","13.36","13.04","13.04","549"
08/02/2021,"12.99","13.44","12.85","12.85","6,039"
07/30/2021,"13.00","13.09","12.68","12.80","11,729"
07/29/2021,"12.69","13.00","12.69","12.98","5,094"
07/28/2021,"12.99","13.00","12.71","12.95","10,120"
07/27/2021,"12.82","13.06","12.82","12.99","14,699"
07/26/2021,"12.90","13.01","12.86","12.90","8,641"
07/23/2021,"13.09","13.58","12.76","12.99","14,487"
07/22/2021,"13.00","13.37","12.95","13.01","12,014"
07/21/2021,"13.35","13.50","12.87","12.94","4,579"
07/20/2021,"13.53","13.53","12.82","12.82","43,124"
07/19/2021,"12.83","13.94","12.83","13.38","13,962"
07/16/2021,"13.70","13.70","13.07","13.07","5,816"
07/15/2021,"13.60","13.60","13.60","13.60","205"
07/14/2021,"13.95","13.95","13.30","13.60","12,786"
07/13/2021,"14.00","14.00","13.56","13.95","5,126"
07/12/2021,"13.81","13.93","13.63","13.79","4,920"
07/09/2021,"13.26","13.90","13.26","13.90","18,777"
07/08/2021,"13.71","13.94","13.71","13.94","3,332"
07/07/2021,"13.61","13.94","13.51","13.77","9,958"
07/06/2021,"13.84","13.96","13.67","13.94","2,234"
07/02/2021,"14.00","14.10","13.84","13.85","8,676"
07/01/2021,"13.99","14.09","13.65","14.00","17,977"
06/30/2021,"13.85","14.00","13.48","13.85","11,758"
06/29/2021,"13.26","13.89","13.26","13.89","976"
06/28/2021,"13.57","13.88","13.43","13.85","35,804"
06/25/2021,"13.88","13.90","13.52","13.70","15,994"
06/24/2021,"13.70","13.89","13.70","13.72","2,987"
06/23/2021,"13.87","13.89","13.52","13.63","11,879"
06/22/2021,"13.82","13.90","13.32","13.71","21,637"
06/21/2021,"13.18","13.94","13.18","13.68","28,922"
06/18/2021,"13.78","13.97","12.64","12.97","186,638"
06/17/2021,"13.92","14.00","13.62","13.96","30,810"
06/16/2021,"13.95","14.10","13.85","13.91","31,846"
06/15/2021,"13.63","14.04","13.54","14.00","87,901"
06/14/2021,"13.38","14.25","13.27","13.60","47,404"
06/11/2021,"13.85","13.88","12.96","13.25","41,608"
06/10/2021,"13.25","13.74","12.95","13.02","9,038"
06/09/2021,"13.04","13.50","12.61","12.64","35,831"
06/08/2021,"13.82","13.82","13.04","13.22","33,718"
06/07/2021,"13.81","13.88","12.81","12.87","15,285"
06/04/2021,"13.60","13.89","13.44","13.80","18,190"
06/03/2021,"13.63","13.80","13.60","13.60","5,701"
06/02/2021,"13.65","13.90","13.60","13.80","28,571"
06/01/2021,"13.84","13.90","12.79","13.60","167,587"
05/28/2021,"13.90","13.98","13.75","13.84","13,390"
05/27/2021,"13.80","13.85","13.80","13.85","7,884"
05/26/2021,"13.75","13.86","13.75","13.85","47,730"
05/25/2021,"13.96","13.96","13.75","13.85","24,641"
05/24/2021,"13.93","13.93","13.70","13.85","26,028"
05/21/2021,"13.85","13.86","13.75","13.83","55,397"
05/20/2021,"13.86","13.87","13.75","13.84","17,211"
05/19/2021,"13.75","13.85","13.67","13.85","76,563"
05/18/2021,"13.85","13.91","13.85","13.88","2,252"
05/17/2021,"13.76","13.90","13.75","13.81","12,814"
05/14/2021,"13.93","13.93","13.75","13.83","33,254"
05/13/2021,"13.85","13.94","13.80","13.92","4,660"
05/12/2021,"13.91","14.07","13.75","13.75","29,187"
05/11/2021,"14.00","14.08","13.75","13.95","177,414"
05/10/2021,"14.15","14.30","14.00","14.00","324,751"
05/07/2021,"14.00","14.90","12.60","14.00","2,471,446"
