Date,Open,High,Low,Close,Volume
08/20/2021,"32.52","33.29","32.00","32.40","1,026,980"
08/19/2021,"34.10","34.10","32.72","33.35","480,329"
08/18/2021,"34.21","35.55","33.41","35.02","131,289"
08/17/2021,"33.47","34.45","33.30","34.15","367,064"
08/16/2021,"36.14","36.15","34.68","34.95","457,182"
08/13/2021,"36.76","38.15","36.60","36.96","897,143"
08/12/2021,"36.15","36.98","35.50","36.89","207,597"
08/11/2021,"36.33","37.08","35.60","36.29","526,003"
08/10/2021,"35.63","36.36","34.90","36.16","509,081"
08/09/2021,"34.73","36.20","34.57","35.38","413,685"
08/06/2021,"34.01","34.80","33.89","34.63","864,275"
08/05/2021,"34.20","34.63","33.89","34.26","1,846,840"
08/04/2021,"33.64","34.49","33.64","34.19","236,379"
08/03/2021,"34.50","34.72","33.18","33.62","968,997"
08/02/2021,"34.45","35.50","34.45","34.95","454,682"
07/30/2021,"34.08","34.98","33.85","34.45","520,139"
07/29/2021,"34.62","35.47","34.26","35.24","2,187,606"
07/28/2021,"32.12","34.83","31.02","34.12","1,448,571"
07/27/2021,"29.34","30.51","27.90","29.46","2,751,680"
07/26/2021,"30.00","34.53","29.78","31.00","1,453,884"
07/23/2021,"33.05","33.93","31.66","32.53","2,120,446"
07/22/2021,"35.44","36.87","34.95","35.00","379,728"
07/21/2021,"34.84","36.04","34.51","35.28","467,314"
07/20/2021,"35.11","35.21","34.56","35.02","411,591"
07/19/2021,"34.49","35.49","33.72","34.88","318,022"
07/16/2021,"35.27","36.29","34.56","35.53","1,041,851"
07/15/2021,"35.10","35.43","34.35","35.27","210,929"
07/14/2021,"35.30","35.86","34.86","34.94","390,049"
07/13/2021,"33.89","35.57","33.62","34.75","646,224"
07/12/2021,"35.40","36.40","33.92","34.16","882,916"
07/09/2021,"32.20","36.19","32.00","36.17","1,496,282"
07/08/2021,"30.00","32.40","29.01","31.20","2,530,891"
07/07/2021,"32.00","32.51","31.36","32.01","5,370,765"
07/06/2021,"32.44","33.70","29.71","30.52","9,393,938"
07/02/2021,"37.29","37.78","36.31","36.31","1,084,690"
07/01/2021,"39.50","39.50","36.83","37.10","1,998,605"
06/30/2021,"39.00","40.50","39.00","39.65","1,465,918"
06/29/2021,"37.86","39.36","37.50","38.65","2,904,022"
06/28/2021,"41.63","41.63","37.68","38.00","3,128,721"
06/25/2021,"41.07","42.57","40.78","42.05","1,194,722"
06/24/2021,"38.03","41.16","37.59","40.65","1,464,380"
06/23/2021,"36.30","38.39","36.15","38.26","1,498,779"
06/22/2021,"36.96","37.05","35.79","36.68","1,622,167"
06/21/2021,"37.35","37.84","36.30","36.44","1,037,041"
06/18/2021,"38.10","38.11","36.40","38.00","374,136"
06/17/2021,"36.72","38.97","36.30","38.27","1,008,971"
06/16/2021,"37.99","37.99","34.60","36.31","3,817,008"
06/15/2021,"39.66","39.94","37.05","38.12","2,213,482"
06/14/2021,"35.37","44.96","34.77","40.13","5,819,422"
06/11/2021,"33.50","38.00","33.26","37.20","16,812,430"
