Date,Open,High,Low,Close,Volume
08/12/2021,"8.45","8.68","8.00","8.26","107,078"
08/11/2021,"7.50","8.45","7.50","8.45","164,194"
08/10/2021,"7.66","7.84","7.47","7.83","11,900"
08/09/2021,"7.53","7.74","7.43","7.55","14,847"
08/06/2021,"7.22","7.65","7.05","7.53","12,370"
08/05/2021,"7.64","7.88","6.94","7.59","133,906"
08/04/2021,"7.50","7.84","7.38","7.50","43,559"
08/03/2021,"7.90","8.00","7.11","7.50","517,199"
08/02/2021,"7.60","7.87","7.03","7.50","251,641"
07/30/2021,"7.43","7.73","7.28","7.59","78,326"
07/29/2021,"6.85","7.80","6.84","7.30","150,380"
07/28/2021,"6.99","7.17","6.85","6.89","134,274"
07/27/2021,"8.00","8.45","7.00","7.00","2,273,525"
