Date,Open,High,Low,Close,Volume
08/20/2021,"40.73","41.10","40.07","40.94","272,486"
08/19/2021,"39.45","41.92","39.45","40.83","278,259"
08/18/2021,"39.87","41.43","39.25","39.87","221,448"
08/17/2021,"38.53","39.71","37.97","39.66","194,252"
08/16/2021,"38.58","39.92","38.27","38.77","204,071"
08/13/2021,"40.00","40.64","38.74","39.35","146,760"
08/12/2021,"35.88","40.29","34.47","39.66","404,535"
08/11/2021,"36.67","36.93","34.94","35.91","228,968"
08/10/2021,"37.34","38.72","36.53","36.71","257,872"
08/09/2021,"37.70","39.43","36.54","37.17","540,415"
08/06/2021,"41.35","41.60","37.62","37.68","475,666"
08/05/2021,"43.38","44.23","40.99","41.03","440,681"
08/04/2021,"45.60","46.50","42.06","43.12","263,238"
08/03/2021,"44.79","47.50","44.25","45.94","856,150"
08/02/2021,"43.49","45.15","43.36","44.80","305,186"
07/30/2021,"43.34","44.05","42.91","43.14","194,435"
07/29/2021,"44.59","45.14","43.08","43.65","395,093"
07/28/2021,"41.11","44.52","41.11","44.44","344,752"
07/27/2021,"42.19","42.75","41.04","41.16","223,342"
07/26/2021,"40.99","42.43","40.66","42.25","410,486"
07/23/2021,"40.35","41.03","39.78","40.89","178,210"
07/22/2021,"40.57","40.82","39.59","40.07","334,567"
07/21/2021,"40.22","40.35","39.57","40.16","223,547"
07/20/2021,"39.49","40.39","39.00","40.07","443,641"
07/19/2021,"39.45","40.41","37.75","39.49","339,964"
07/16/2021,"37.37","40.12","36.74","39.95","758,707"
07/15/2021,"37.00","38.26","36.52","37.32","261,877"
07/14/2021,"37.97","38.16","37.00","37.29","370,073"
07/13/2021,"37.84","38.55","37.25","37.80","227,862"
07/12/2021,"38.36","39.01","37.36","38.08","315,973"
07/09/2021,"39.85","39.85","38.32","38.42","163,205"
07/08/2021,"38.86","40.00","38.57","39.67","280,809"
07/07/2021,"38.95","40.09","38.62","40.02","335,068"
07/06/2021,"39.72","40.13","38.77","39.01","298,704"
07/02/2021,"38.95","40.00","38.06","39.72","281,312"
