Date,Open,High,Low,Close,Volume
08/30/2021,"10.27","11.22","10.13","11.16","1,154,700"
08/27/2021,"11.04","11.06","10.30","10.36","1,443,492"
08/26/2021,"11.50","11.79","10.99","11.11","2,102,825"
08/25/2021,"11.21","11.46","10.99","11.36","2,352,060"
08/24/2021,"10.93","11.21","10.74","11.18","3,603,299"
08/23/2021,"10.08","10.40","9.96","10.39","997,423"
08/20/2021,"9.88","10.57","9.75","10.00","1,444,848"
08/19/2021,"10.04","10.13","9.64","9.92","928,586"
08/18/2021,"10.47","10.57","9.73","10.11","2,330,235"
08/17/2021,"10.57","10.78","10.22","10.25","1,983,304"
08/16/2021,"11.14","11.17","10.83","10.98","486,593"
08/13/2021,"11.57","11.60","11.23","11.27","242,017"
08/12/2021,"11.62","11.68","11.25","11.57","453,923"
08/11/2021,"12.21","12.22","11.70","11.76","307,342"
08/10/2021,"12.52","12.56","12.10","12.14","474,889"
08/09/2021,"12.03","12.49","11.98","12.30","1,084,496"
08/06/2021,"11.75","12.11","11.41","11.85","1,748,727"
08/05/2021,"12.32","12.32","11.74","11.75","514,930"
08/04/2021,"12.54","12.75","12.34","12.36","370,262"
08/03/2021,"12.23","12.51","12.02","12.50","464,275"
08/02/2021,"12.58","12.72","12.35","12.45","3,741,662"
07/30/2021,"12.30","12.55","12.15","12.48","804,065"
07/29/2021,"12.64","12.87","12.01","12.53","1,135,609"
07/28/2021,"11.95","12.50","11.50","12.50","1,822,610"
07/27/2021,"11.79","12.06","11.31","11.41","2,708,103"
07/26/2021,"12.58","12.59","11.82","12.45","1,785,997"
07/23/2021,"13.58","13.67","12.43","13.17","2,906,645"
07/22/2021,"13.97","13.97","13.58","13.76","236,672"
07/21/2021,"13.77","13.98","13.49","13.96","562,179"
07/20/2021,"13.42","13.77","13.12","13.64","382,454"
07/19/2021,"13.34","13.55","13.25","13.38","410,377"
07/16/2021,"14.07","14.07","13.55","13.59","461,075"
07/15/2021,"14.25","14.58","13.91","14.07","233,904"
07/14/2021,"14.02","14.29","13.95","14.21","710,608"
07/13/2021,"13.92","14.22","13.63","13.93","403,368"
07/12/2021,"14.10","14.21","13.50","13.93","699,396"
07/09/2021,"14.00","14.05","13.83","13.95","365,521"
07/08/2021,"13.53","13.96","13.25","13.86","826,222"
07/07/2021,"14.36","14.60","13.81","13.93","798,161"
07/06/2021,"14.36","14.42","14.01","14.35","986,620"
07/02/2021,"14.57","14.75","13.92","14.69","618,892"
07/01/2021,"14.96","15.15","14.41","14.59","539,113"
06/30/2021,"15.03","15.51","14.79","15.09","1,121,882"
06/29/2021,"15.18","15.18","14.45","15.03","757,709"
06/28/2021,"15.28","15.54","14.98","15.18","629,481"
06/25/2021,"15.80","15.80","14.98","15.25","783,376"
06/24/2021,"15.56","15.85","15.44","15.81","863,250"
06/23/2021,"15.65","16.11","15.04","15.34","1,825,861"
06/22/2021,"14.72","14.85","14.49","14.60","397,189"
06/21/2021,"15.25","15.25","14.77","14.87","364,686"
06/18/2021,"15.35","15.60","15.25","15.29","1,340,992"
06/17/2021,"15.23","15.59","15.03","15.50","611,071"
06/16/2021,"15.22","15.49","14.83","15.33","690,427"
06/15/2021,"16.35","16.45","15.14","15.28","660,907"
06/14/2021,"16.60","16.60","16.04","16.51","488,707"
06/11/2021,"16.14","16.98","16.11","16.61","1,558,154"
06/10/2021,"15.57","16.30","15.54","16.05","782,333"
06/09/2021,"15.98","16.13","15.44","15.61","749,915"
06/08/2021,"16.16","16.25","15.65","15.89","607,832"
06/07/2021,"16.22","16.36","15.84","16.15","675,781"
06/04/2021,"15.48","16.11","15.39","16.05","821,531"
06/03/2021,"16.24","16.42","15.38","15.48","1,139,366"
06/02/2021,"16.98","16.99","16.18","16.43","988,879"
06/01/2021,"16.42","17.00","16.10","16.98","1,264,791"
05/28/2021,"16.03","17.18","16.01","16.20","1,457,545"
05/27/2021,"16.15","16.59","15.87","16.18","9,535,745"
05/26/2021,"15.96","16.42","15.83","16.26","1,533,060"
05/25/2021,"15.62","16.19","15.20","15.90","1,884,908"
05/24/2021,"14.80","15.55","14.73","15.31","2,511,868"
05/21/2021,"15.25","15.61","14.71","14.76","1,735,281"
05/20/2021,"14.16","15.21","14.11","15.07","1,958,306"
05/19/2021,"14.15","14.64","13.91","14.27","1,071,151"
05/18/2021,"14.67","15.02","14.27","14.36","1,956,751"
05/17/2021,"14.60","15.12","14.07","14.56","1,892,710"
05/14/2021,"13.76","14.85","13.23","14.69","1,956,340"
05/13/2021,"14.55","15.07","13.41","13.76","2,465,954"
05/12/2021,"14.28","15.13","14.08","14.55","2,799,560"
05/11/2021,"13.51","14.12","13.23","14.06","1,558,773"
05/10/2021,"14.00","14.06","13.66","13.76","2,635,179"
05/07/2021,"13.72","14.08","13.46","13.86","1,961,318"
05/06/2021,"13.69","14.03","13.48","13.97","2,167,923"
05/05/2021,"13.17","14.01","13.09","13.83","3,018,683"
05/04/2021,"13.37","13.39","12.66","13.06","1,020,888"
05/03/2021,"13.43","13.49","13.19","13.43","517,622"
04/30/2021,"14.06","14.13","13.17","13.19","6,201,721"
04/29/2021,"14.38","14.38","13.81","14.25","326,855"
04/28/2021,"14.28","14.43","14.10","14.30","377,613"
04/27/2021,"14.30","14.38","13.85","14.20","573,680"
04/26/2021,"13.97","14.94","13.90","14.09","1,458,359"
04/23/2021,"13.86","14.29","13.86","13.90","1,215,515"
04/22/2021,"14.00","14.37","13.66","13.72","1,357,183"
04/21/2021,"14.06","14.20","13.67","13.79","685,904"
04/20/2021,"14.44","14.87","13.90","14.18","507,005"
04/19/2021,"14.62","15.07","14.50","14.65","273,896"
04/16/2021,"14.53","14.69","14.25","14.62","272,103"
04/15/2021,"15.59","15.59","14.43","14.62","635,809"
04/14/2021,"14.66","15.66","14.53","15.59","1,376,933"
04/13/2021,"14.36","14.80","14.25","14.53","528,237"
04/12/2021,"15.08","15.15","14.26","14.30","1,032,472"
04/09/2021,"15.35","15.37","14.94","15.12","840,126"
04/08/2021,"15.30","15.69","14.48","15.31","4,072,074"
04/07/2021,"16.24","16.51","15.65","15.87","1,558,041"
04/06/2021,"16.63","17.48","15.42","16.30","1,733,731"
04/05/2021,"17.01","17.41","16.77","16.91","727,616"
04/01/2021,"16.65","17.26","16.27","16.83","853,158"
03/31/2021,"16.18","16.92","15.80","16.54","3,444,401"
03/30/2021,"15.69","16.60","14.82","16.51","1,730,821"
03/29/2021,"16.83","16.83","15.23","15.36","1,683,390"
03/26/2021,"16.72","17.17","15.12","16.80","1,566,461"
03/25/2021,"16.00","16.66","14.60","16.53","1,106,732"
03/24/2021,"17.53","17.90","15.86","15.89","855,836"
03/23/2021,"17.26","17.66","17.05","17.55","249,048"
03/22/2021,"18.26","18.34","17.53","17.55","168,075"
03/19/2021,"17.84","18.38","17.59","17.97","565,686"
03/18/2021,"18.41","18.58","17.51","17.76","305,205"
03/17/2021,"18.31","18.97","17.95","18.85","254,208"
03/16/2021,"19.22","19.48","18.56","18.73","324,137"
03/15/2021,"19.62","19.68","18.95","19.10","217,858"
03/12/2021,"18.31","19.98","17.76","19.75","727,887"
03/11/2021,"18.97","19.76","18.43","18.69","675,776"
03/10/2021,"18.53","18.94","18.12","18.52","522,949"
03/09/2021,"18.63","19.49","17.51","18.79","706,084"
03/08/2021,"18.63","18.73","16.66","16.97","784,076"
03/05/2021,"19.13","19.68","17.57","18.64","862,531"
03/04/2021,"19.92","20.20","18.33","19.02","804,578"
03/03/2021,"20.38","20.94","19.90","20.29","645,682"
03/02/2021,"20.22","20.71","19.26","20.61","866,491"
03/01/2021,"22.19","22.64","19.56","20.20","2,346,770"
02/26/2021,"20.22","27.47","20.21","23.65","3,047,512"
02/25/2021,"21.72","21.87","20.03","20.77","778,401"
02/24/2021,"20.88","21.89","20.69","21.88","485,132"
02/23/2021,"20.00","21.59","19.03","21.57","874,259"
02/22/2021,"21.22","21.88","20.62","21.00","836,535"
02/19/2021,"21.23","22.09","21.15","21.92","549,259"
02/18/2021,"20.53","21.23","19.91","21.05","355,407"
