Date,Open,High,Low,Close,Volume
08/20/2021,"19.17","19.17","17.56","18.30","95,251"
08/19/2021,"19.79","19.96","18.74","19.32","48,252"
08/18/2021,"19.31","20.47","19.10","19.87","66,779"
08/17/2021,"19.33","19.50","18.68","19.26","52,934"
08/16/2021,"19.98","20.71","19.16","19.65","124,981"
08/13/2021,"20.54","20.54","19.55","20.11","79,445"
08/12/2021,"20.25","21.15","20.00","20.60","90,176"
08/11/2021,"20.55","20.63","19.50","20.28","139,470"
08/10/2021,"22.88","22.88","20.46","20.63","281,561"
08/09/2021,"21.88","22.95","20.72","22.88","97,259"
08/06/2021,"19.12","22.93","18.68","21.62","129,670"
08/05/2021,"18.04","19.49","18.01","19.06","37,059"
08/04/2021,"17.73","18.19","17.73","18.00","26,105"
08/03/2021,"17.87","18.05","17.21","17.81","23,905"
08/02/2021,"17.51","18.20","17.23","17.75","36,261"
07/30/2021,"17.71","17.91","17.01","17.30","91,358"
07/29/2021,"18.18","18.40","17.20","17.78","43,482"
07/28/2021,"16.48","18.13","16.41","17.99","95,214"
07/27/2021,"16.30","16.70","15.72","16.36","49,199"
07/26/2021,"16.77","17.06","15.90","16.43","75,772"
07/23/2021,"16.36","16.96","15.90","16.69","48,120"
07/22/2021,"17.50","17.50","16.22","16.43","46,631"
07/21/2021,"16.92","17.71","16.70","17.57","48,198"
07/20/2021,"16.12","16.80","15.98","16.65","64,645"
07/19/2021,"15.90","16.10","15.52","15.98","99,460"
07/16/2021,"15.69","16.44","15.60","15.98","56,702"
07/15/2021,"16.50","16.50","15.25","15.58","135,832"
07/14/2021,"16.93","17.40","16.60","16.64","227,694"
07/13/2021,"17.94","18.03","16.69","16.79","78,996"
07/12/2021,"18.25","18.97","17.77","18.05","99,120"
07/09/2021,"17.89","18.12","17.51","18.06","49,625"
07/08/2021,"17.45","18.86","17.11","17.86","99,751"
07/07/2021,"18.67","18.72","17.40","17.74","73,576"
07/06/2021,"18.37","18.59","18.08","18.41","87,752"
07/02/2021,"18.25","18.42","17.57","18.13","126,323"
07/01/2021,"18.32","18.67","17.91","18.43","72,383"
06/30/2021,"18.69","18.98","18.31","18.53","116,668"
06/29/2021,"19.21","19.89","18.50","18.89","107,631"
06/28/2021,"20.00","20.39","19.22","19.41","113,715"
06/25/2021,"20.35","21.14","19.90","20.25","1,264,306"
06/24/2021,"20.24","21.08","20.24","20.45","120,275"
06/23/2021,"21.03","21.41","19.50","20.06","223,914"
06/22/2021,"22.83","23.13","20.90","21.25","137,118"
06/21/2021,"24.14","24.49","22.58","23.06","142,219"
06/18/2021,"23.93","25.00","23.06","24.13","133,982"
06/17/2021,"24.78","25.48","23.58","25.05","115,324"
06/16/2021,"24.08","25.25","23.11","25.04","115,933"
06/15/2021,"25.58","25.59","23.18","24.05","134,831"
06/14/2021,"26.68","27.09","25.05","25.55","117,355"
06/11/2021,"26.70","27.00","25.94","26.81","58,192"
06/10/2021,"27.00","27.00","25.84","26.78","54,826"
06/09/2021,"26.30","26.97","26.12","26.76","94,956"
06/08/2021,"25.41","26.23","24.61","26.01","83,958"
06/07/2021,"24.28","25.84","23.65","25.41","155,579"
06/04/2021,"24.13","24.30","23.28","24.15","68,638"
06/03/2021,"22.12","24.44","21.51","24.20","84,531"
06/02/2021,"23.00","23.34","21.85","22.32","102,612"
06/01/2021,"22.54","23.39","20.77","22.57","234,416"
05/28/2021,"20.31","22.95","20.28","22.62","145,380"
05/27/2021,"20.04","21.03","19.68","20.35","69,793"
05/26/2021,"20.17","20.38","19.17","20.03","82,419"
05/25/2021,"20.14","20.55","19.73","19.95","104,390"
05/24/2021,"19.87","20.65","19.45","20.48","148,026"
05/21/2021,"19.80","20.20","19.09","19.77","116,343"
05/20/2021,"18.49","19.48","18.33","19.33","70,849"
05/19/2021,"17.90","18.82","17.50","18.54","93,963"
05/18/2021,"18.87","19.53","17.82","18.23","135,736"
05/17/2021,"18.16","19.14","17.86","18.48","97,392"
05/14/2021,"16.69","18.25","16.69","18.18","167,117"
05/13/2021,"17.15","17.79","16.40","16.66","106,822"
05/12/2021,"17.28","18.28","16.68","16.86","94,170"
05/11/2021,"16.01","17.94","16.00","17.35","82,660"
05/10/2021,"18.30","18.30","16.34","16.41","125,910"
05/07/2021,"18.17","19.25","17.70","18.55","116,116"
05/06/2021,"20.02","20.34","17.41","18.27","222,545"
