Date,Open,High,Low,Close,Volume
08/12/2021,"28.14","29.27","27.99","29.17","293,491"
08/11/2021,"28.00","28.16","27.34","28.08","403,116"
08/10/2021,"27.14","28.12","27.14","27.91","491,541"
08/09/2021,"28.27","29.13","26.55","28.16","586,629"
08/06/2021,"27.99","28.76","26.94","28.57","292,681"
08/05/2021,"27.76","28.38","27.03","27.99","372,220"
08/04/2021,"26.02","28.50","25.87","27.92","584,214"
08/03/2021,"26.09","26.65","25.71","26.31","615,586"
08/02/2021,"27.21","27.37","25.15","26.13","1,843,534"
07/30/2021,"27.22","27.50","27.06","27.21","272,083"
07/29/2021,"26.61","27.93","26.24","27.41","357,611"
07/28/2021,"26.46","26.72","25.70","26.47","443,082"
07/27/2021,"26.37","26.59","26.01","26.32","350,931"
07/26/2021,"26.27","26.80","26.27","26.55","332,986"
07/23/2021,"26.02","26.50","25.62","26.45","228,379"
07/22/2021,"25.37","25.82","25.19","25.71","185,289"
07/21/2021,"24.92","26.21","24.70","25.42","482,647"
07/20/2021,"24.76","25.46","24.65","24.91","390,195"
07/19/2021,"24.16","24.69","23.75","24.56","382,093"
07/16/2021,"24.48","24.77","24.28","24.59","201,019"
07/15/2021,"25.04","25.21","24.05","24.46","252,842"
07/14/2021,"25.82","25.96","24.82","24.99","199,397"
07/13/2021,"27.37","27.65","25.55","25.92","558,077"
07/12/2021,"26.86","27.64","26.35","27.52","206,080"
07/09/2021,"25.92","27.03","25.51","26.98","220,505"
07/08/2021,"25.80","26.17","25.18","25.86","207,614"
07/07/2021,"26.99","27.23","25.69","26.15","205,330"
07/06/2021,"27.34","27.34","26.17","26.98","230,656"
07/02/2021,"27.82","28.69","26.55","27.26","260,209"
07/01/2021,"28.49","28.53","27.70","27.89","684,578"
06/30/2021,"28.14","28.76","27.63","28.33","487,862"
06/29/2021,"28.14","28.63","27.63","28.11","156,770"
06/28/2021,"28.38","28.65","27.85","27.96","283,536"
06/25/2021,"26.88","28.79","26.69","28.32","1,226,606"
06/24/2021,"26.37","27.25","26.18","27.02","405,919"
06/23/2021,"27.25","27.25","26.05","26.37","464,292"
06/22/2021,"27.20","27.24","26.77","27.16","283,556"
06/21/2021,"27.95","28.04","26.86","27.20","295,112"
06/18/2021,"27.53","28.10","27.07","27.61","481,581"
06/17/2021,"27.02","28.20","27.02","27.53","197,213"
06/16/2021,"26.63","27.46","26.29","26.90","261,837"
06/15/2021,"26.99","27.63","26.52","26.70","524,324"
06/14/2021,"27.19","28.67","26.68","27.09","708,899"
06/11/2021,"26.43","26.96","24.53","26.92","832,683"
06/10/2021,"26.38","27.26","26.01","27.16","209,006"
06/09/2021,"25.86","26.42","25.59","26.32","287,019"
06/08/2021,"25.14","25.85","24.94","25.59","377,820"
06/07/2021,"26.27","26.49","24.56","24.83","566,979"
06/04/2021,"25.66","26.81","25.42","26.23","926,317"
06/03/2021,"25.65","26.03","25.07","25.68","356,823"
06/02/2021,"26.00","26.14","25.61","26.12","1,749,969"
06/01/2021,"26.44","26.72","25.42","26.15","741,022"
05/28/2021,"26.36","26.54","25.67","26.31","574,461"
05/27/2021,"26.82","26.90","25.92","26.39","856,966"
05/26/2021,"26.54","27.09","26.41","26.75","225,408"
05/25/2021,"26.04","26.76","25.81","26.24","333,818"
05/24/2021,"26.78","26.95","25.79","25.85","266,341"
05/21/2021,"26.60","27.26","26.49","26.61","323,466"
05/20/2021,"25.67","26.66","25.30","26.40","203,828"
05/19/2021,"25.44","26.09","25.00","25.57","489,625"
05/18/2021,"24.65","26.60","24.58","25.91","435,522"
05/17/2021,"25.84","26.10","24.36","24.79","542,734"
05/14/2021,"25.86","26.55","25.25","25.76","378,677"
05/13/2021,"27.32","27.80","25.26","25.63","579,755"
05/12/2021,"27.85","28.46","26.57","27.05","332,836"
05/11/2021,"28.40","29.33","27.82","28.29","328,257"
05/10/2021,"29.38","29.74","28.52","29.34","662,730"
05/07/2021,"28.31","29.49","27.27","29.47","879,827"
05/06/2021,"31.19","31.22","27.40","29.38","816,701"
05/05/2021,"30.26","31.65","30.19","31.39","1,088,925"
05/04/2021,"31.42","31.87","29.41","30.09","569,844"
05/03/2021,"32.16","32.54","31.19","31.73","263,529"
04/30/2021,"32.76","33.60","30.82","31.81","770,125"
04/29/2021,"32.87","33.31","32.16","33.31","388,495"
04/28/2021,"32.72","33.61","32.24","32.72","388,807"
04/27/2021,"32.66","33.66","32.05","32.93","535,841"
04/26/2021,"31.10","32.62","31.09","32.54","1,158,381"
04/23/2021,"29.95","31.46","29.67","31.11","356,311"
04/22/2021,"28.15","30.55","28.05","29.73","354,191"
04/21/2021,"27.16","28.14","26.73","28.11","322,113"
