Date,Open,High,Low,Close,Volume
08/12/2021,"50.00","54.20","49.83","54.15","1,675,400"
08/11/2021,"50.13","51.33","48.33","50.06","1,117,631"
08/10/2021,"46.87","51.80","46.49","50.49","3,076,233"
08/09/2021,"43.25","48.59","43.15","47.28","5,825,543"
08/06/2021,"42.30","46.07","40.26","44.37","4,937,690"
08/05/2021,"41.72","42.00","39.72","40.25","987,304"
08/04/2021,"40.84","41.71","40.61","41.51","428,590"
08/03/2021,"41.90","42.14","40.11","41.41","365,856"
08/02/2021,"39.56","41.75","39.25","41.54","579,534"
07/30/2021,"38.86","39.39","38.51","39.19","393,123"
07/29/2021,"39.30","40.00","38.71","39.00","497,001"
07/28/2021,"39.00","39.79","38.60","39.23","741,584"
07/27/2021,"39.59","40.18","37.90","39.01","1,292,723"
07/26/2021,"39.74","41.80","39.46","40.00","1,199,835"
07/23/2021,"39.10","40.30","38.12","40.04","710,073"
07/22/2021,"39.03","39.49","37.71","39.37","791,136"
07/21/2021,"40.31","40.95","38.82","39.36","745,060"
07/20/2021,"39.85","40.98","39.17","40.63","497,704"
07/19/2021,"39.11","41.19","39.00","40.14","428,605"
07/16/2021,"40.28","41.48","40.20","40.40","329,661"
07/15/2021,"41.43","41.45","39.71","40.48","493,799"
07/14/2021,"42.99","43.80","41.40","41.50","685,269"
07/13/2021,"44.55","46.74","42.97","43.33","526,831"
07/12/2021,"45.31","46.01","43.68","45.06","528,361"
07/09/2021,"42.50","46.27","42.50","45.81","730,971"
07/08/2021,"41.17","43.91","40.50","42.65","521,557"
07/07/2021,"42.51","43.57","41.10","42.00","562,624"
07/06/2021,"43.18","44.60","42.64","43.00","972,978"
07/02/2021,"45.07","45.40","43.25","43.50","983,054"
07/01/2021,"47.80","48.66","43.58","44.25","1,693,012"
06/30/2021,"50.00","50.00","46.40","47.50","3,747,419"
06/29/2021,"54.66","57.99","48.34","50.00","3,230,379"
06/28/2021,"46.99","55.12","46.86","53.16","3,479,539"
06/25/2021,"45.84","46.77","45.00","46.15","2,108,742"
06/24/2021,"44.00","47.00","42.31","45.02","12,012,740"
