Date,Open,High,Low,Close,Volume
08/12/2021,"28.42","29.03","27.27","28.43","138,290"
08/11/2021,"28.99","29.15","27.85","28.77","130,943"
08/10/2021,"26.73","28.83","25.98","28.49","362,222"
08/09/2021,"27.34","27.90","25.98","26.70","113,564"
08/06/2021,"26.94","27.90","26.32","27.62","91,062"
08/05/2021,"23.85","27.19","23.85","27.09","138,959"
08/04/2021,"24.33","25.09","23.63","23.85","123,560"
08/03/2021,"24.20","25.26","23.66","24.38","285,665"
08/02/2021,"23.09","24.59","22.93","24.16","198,703"
07/30/2021,"24.74","25.16","22.59","22.93","123,060"
07/29/2021,"25.82","25.91","24.62","24.74","85,662"
07/28/2021,"25.01","26.00","24.57","25.51","157,177"
07/27/2021,"24.99","25.74","24.19","24.74","160,470"
07/26/2021,"25.90","26.74","24.20","25.06","339,155"
07/23/2021,"26.03","26.30","25.51","25.81","72,551"
07/22/2021,"26.87","27.01","25.68","26.13","66,898"
07/21/2021,"27.68","28.25","26.44","26.96","171,020"
07/20/2021,"26.56","27.70","26.20","27.37","259,582"
07/19/2021,"26.47","27.68","25.88","26.53","208,118"
07/16/2021,"26.60","27.30","26.30","26.96","150,773"
07/15/2021,"26.70","27.25","26.14","26.73","132,728"
07/14/2021,"29.91","29.91","26.60","26.86","431,137"
07/13/2021,"29.23","29.88","28.30","29.65","187,228"
07/12/2021,"27.26","29.92","27.00","29.27","203,872"
07/09/2021,"27.59","27.75","26.61","27.20","96,421"
07/08/2021,"25.90","27.69","25.54","27.55","192,769"
07/07/2021,"25.20","26.47","24.35","26.21","339,139"
07/06/2021,"25.76","25.95","25.00","25.22","168,560"
07/02/2021,"26.88","27.27","25.80","25.85","154,155"
07/01/2021,"26.25","27.27","25.82","26.90","260,599"
06/30/2021,"26.01","26.96","25.69","25.75","157,519"
06/29/2021,"26.05","27.12","25.06","26.01","315,435"
06/28/2021,"27.66","27.66","25.45","26.16","331,741"
06/25/2021,"26.21","28.30","25.95","27.50","536,692"
06/24/2021,"25.47","26.29","25.47","26.11","137,416"
06/23/2021,"24.89","25.86","24.56","25.38","101,531"
06/22/2021,"26.29","26.29","24.73","24.96","115,210"
06/21/2021,"25.74","26.24","25.00","26.03","334,922"
06/18/2021,"26.60","26.60","24.80","25.44","1,071,186"
06/17/2021,"27.24","28.00","26.00","26.25","200,330"
06/16/2021,"29.24","29.24","26.70","27.48","152,528"
06/15/2021,"30.69","30.69","28.05","28.51","127,331"
06/14/2021,"31.49","31.71","30.36","30.72","137,696"
06/11/2021,"32.08","32.49","31.06","31.39","102,345"
06/10/2021,"32.39","32.69","31.01","32.21","116,786"
06/09/2021,"33.57","34.44","32.22","32.61","272,876"
06/08/2021,"34.18","34.35","32.70","33.44","281,046"
06/07/2021,"33.20","34.69","33.20","33.86","376,108"
06/04/2021,"37.59","37.66","31.77","33.11","1,408,546"
06/03/2021,"28.53","29.81","28.22","29.76","393,625"
06/02/2021,"29.19","29.43","27.81","28.28","106,033"
06/01/2021,"29.91","30.58","28.80","29.10","97,597"
05/28/2021,"30.25","31.41","29.52","29.73","130,830"
05/27/2021,"31.19","31.19","29.52","30.09","332,562"
05/26/2021,"29.00","31.74","28.80","30.77","280,361"
05/25/2021,"28.26","29.30","28.04","28.39","122,220"
05/24/2021,"27.24","29.17","27.24","28.51","167,129"
05/21/2021,"29.77","29.86","26.57","27.19","494,751"
05/20/2021,"31.40","31.50","28.00","30.41","323,086"
05/19/2021,"30.50","32.30","30.15","31.20","382,736"
05/18/2021,"28.30","31.79","28.18","31.37","190,754"
05/17/2021,"27.59","28.63","27.26","28.37","199,962"
05/14/2021,"28.35","29.74","27.02","27.66","179,546"
05/13/2021,"30.69","31.93","27.50","27.75","142,168"
05/12/2021,"28.14","31.00","27.61","30.45","376,952"
05/11/2021,"27.96","30.01","27.26","28.42","124,957"
05/10/2021,"30.06","30.06","27.46","28.62","58,618"
05/07/2021,"29.17","30.96","29.11","29.86","51,529"
05/06/2021,"28.51","31.50","27.09","29.00","106,885"
05/05/2021,"32.22","32.24","28.53","28.87","176,249"
05/04/2021,"33.63","33.76","31.47","31.86","78,248"
05/03/2021,"32.80","34.49","32.26","34.25","88,245"
04/30/2021,"32.72","33.05","31.91","32.46","66,126"
04/29/2021,"33.38","33.38","31.34","32.78","52,578"
04/28/2021,"34.93","35.64","33.06","33.22","103,710"
04/27/2021,"33.70","36.38","32.53","34.67","289,977"
04/26/2021,"31.62","32.90","30.74","31.68","141,634"
04/23/2021,"32.65","32.75","31.20","31.49","113,300"
04/22/2021,"33.70","34.65","31.94","32.48","117,163"
04/21/2021,"31.26","34.63","29.69","33.84","219,417"
04/20/2021,"31.62","32.92","31.03","31.30","185,796"
04/19/2021,"35.03","35.74","31.54","32.09","98,759"
04/16/2021,"36.31","36.98","34.66","35.20","167,104"
04/15/2021,"35.63","36.32","34.79","35.91","329,738"
04/14/2021,"32.33","36.23","32.33","35.47","257,288"
04/13/2021,"30.00","33.44","29.05","32.28","548,571"
04/12/2021,"32.34","32.34","29.14","29.87","194,641"
04/09/2021,"33.89","34.80","31.63","32.30","74,179"
04/08/2021,"36.10","36.38","33.86","34.18","98,660"
04/07/2021,"35.01","37.14","34.20","35.94","241,995"
04/06/2021,"40.81","41.08","34.78","35.14","323,866"
04/05/2021,"41.47","42.00","40.00","41.02","103,399"
04/01/2021,"41.82","42.70","40.34","41.25","143,568"
03/31/2021,"40.08","41.94","39.60","41.67","160,417"
03/30/2021,"38.02","40.36","36.67","39.73","225,413"
03/29/2021,"39.19","39.48","37.40","38.05","168,494"
03/26/2021,"39.30","42.73","37.85","39.63","243,664"
03/25/2021,"38.81","39.99","36.36","39.18","163,751"
03/24/2021,"40.00","40.80","37.06","37.66","212,494"
03/23/2021,"42.36","42.45","38.51","40.02","637,085"
03/22/2021,"41.04","43.52","40.48","42.82","521,684"
03/19/2021,"42.65","43.30","41.00","41.11","2,558,165"
03/18/2021,"42.97","43.60","39.75","40.31","490,082"
03/17/2021,"45.85","46.42","42.24","43.40","456,882"
03/16/2021,"44.04","46.93","44.04","46.27","367,493"
03/15/2021,"48.39","49.38","43.25","44.89","348,347"
03/12/2021,"52.22","52.22","45.12","48.06","347,099"
03/11/2021,"53.43","56.59","51.98","52.73","326,769"
03/10/2021,"51.26","59.85","50.82","53.42","434,508"
03/09/2021,"46.80","54.14","46.40","51.06","455,369"
03/08/2021,"44.78","50.89","43.35","46.35","352,464"
03/05/2021,"43.70","46.13","37.55","44.53","299,582"
03/04/2021,"52.69","52.70","41.36","43.25","324,961"
03/03/2021,"51.55","52.93","48.11","52.10","225,159"
03/02/2021,"47.52","53.90","45.35","52.29","257,748"
03/01/2021,"41.57","50.97","40.70","48.39","457,324"
02/26/2021,"42.40","42.81","38.54","40.42","170,433"
02/25/2021,"41.77","42.99","39.84","42.68","234,839"
02/24/2021,"41.73","44.70","41.25","41.91","137,172"
02/23/2021,"43.38","45.17","41.15","42.12","430,009"
02/22/2021,"41.00","46.25","40.97","44.63","198,834"
02/19/2021,"43.35","45.98","43.01","45.73","108,794"
02/18/2021,"43.64","46.06","40.70","43.93","229,142"
02/17/2021,"42.55","46.55","41.34","44.03","315,073"
02/16/2021,"40.91","42.76","39.41","42.53","185,343"
02/12/2021,"39.28","41.05","38.52","40.00","149,466"
02/11/2021,"38.57","39.85","37.76","38.93","205,424"
02/10/2021,"37.29","38.87","36.61","38.33","143,339"
02/09/2021,"36.61","38.82","36.03","37.58","137,354"
02/08/2021,"36.73","37.18","35.78","36.22","159,435"
02/05/2021,"36.19","36.60","35.00","36.28","124,379"
02/04/2021,"34.00","36.25","33.55","36.00","156,796"
02/03/2021,"34.85","35.00","33.50","33.73","85,761"
02/02/2021,"33.89","35.34","33.89","34.23","94,440"
02/01/2021,"39.85","39.85","33.33","33.77","235,824"
01/29/2021,"37.54","39.49","37.28","38.01","195,814"
01/28/2021,"37.06","37.90","36.14","37.65","118,530"
01/27/2021,"38.00","38.20","35.31","37.57","275,029"
01/26/2021,"38.94","38.96","37.10","38.30","108,067"
01/25/2021,"38.95","39.49","36.94","38.59","120,726"
01/22/2021,"37.54","38.62","36.88","38.50","173,907"
01/21/2021,"37.98","38.18","35.95","38.18","199,900"
01/20/2021,"34.00","38.00","33.05","37.83","152,125"
01/19/2021,"34.72","35.99","32.63","33.88","149,751"
01/15/2021,"37.50","38.46","34.16","35.08","238,994"
01/14/2021,"35.38","37.80","32.18","37.50","402,049"
01/13/2021,"29.99","35.41","29.75","35.38","604,212"
01/12/2021,"28.00","29.84","27.01","29.59","396,375"
01/11/2021,"29.96","31.40","28.00","28.00","553,489"
01/08/2021,"42.00","43.00","27.98","29.91","4,054,268"
