Date,Open,High,Low,Close,Volume
08/11/2021,"6.59","6.78","6.40","6.64","26,821"
08/10/2021,"6.30","6.60","6.30","6.50","13,017"
08/09/2021,"6.40","6.49","6.24","6.34","4,828"
08/06/2021,"6.02","6.80","6.02","6.38","30,478"
08/05/2021,"6.30","6.35","6.22","6.31","7,086"
08/04/2021,"6.45","6.71","6.21","6.39","12,155"
08/03/2021,"6.79","6.79","6.30","6.64","6,681"
08/02/2021,"6.79","6.84","6.50","6.54","40,705"
07/30/2021,"6.50","6.88","6.08","6.69","59,636"
07/29/2021,"6.21","6.51","6.01","6.44","31,483"
07/28/2021,"5.88","6.34","5.88","6.21","3,746"
07/27/2021,"6.08","6.33","5.85","6.22","22,548"
07/26/2021,"6.16","6.37","5.90","6.07","17,914"
07/23/2021,"6.49","6.49","5.85","6.23","9,455"
07/22/2021,"6.39","6.50","5.91","6.45","13,117"
07/21/2021,"5.96","6.58","5.87","6.34","55,834"
07/20/2021,"5.83","6.00","5.72","5.83","6,539"
07/19/2021,"5.82","6.12","5.80","5.90","32,324"
07/16/2021,"5.87","5.90","5.85","5.86","7,042"
07/15/2021,"5.81","6.17","5.80","5.91","13,576"
07/14/2021,"5.94","5.99","5.88","5.97","11,388"
07/13/2021,"6.20","6.25","5.81","6.02","11,724"
07/12/2021,"5.75","6.30","5.75","6.10","16,387"
07/09/2021,"5.90","6.27","5.82","5.93","11,911"
07/08/2021,"5.76","6.34","5.72","5.87","7,592"
07/07/2021,"6.22","6.23","5.78","6.13","36,098"
07/06/2021,"6.49","6.49","6.12","6.26","35,837"
07/02/2021,"6.16","6.50","6.15","6.49","67,709"
07/01/2021,"6.43","6.60","6.07","6.20","74,670"
06/30/2021,"5.98","6.50","5.71","6.28","91,588"
06/29/2021,"5.99","5.99","5.75","5.84","8,394"
06/28/2021,"5.89","6.26","5.57","5.91","43,369"
06/25/2021,"5.65","5.95","5.65","5.88","25,082"
06/24/2021,"5.48","5.92","5.46","5.72","30,188"
06/23/2021,"5.61","5.90","5.45","5.48","31,132"
06/22/2021,"5.59","5.68","5.34","5.67","32,838"
06/21/2021,"5.57","5.70","5.30","5.44","23,112"
06/18/2021,"5.58","5.89","5.33","5.66","69,404"
06/17/2021,"5.78","5.94","5.52","5.62","45,902"
06/16/2021,"5.77","6.33","5.65","5.85","104,899"
06/15/2021,"5.23","5.99","5.13","5.64","106,326"
06/14/2021,"5.06","7.97","5.01","5.37","2,026,848"
06/11/2021,"5.00","5.00","4.64","4.98","10,185"
06/10/2021,"4.87","4.90","4.72","4.83","16,655"
06/09/2021,"4.60","5.00","4.56","5.00","96,027"
06/08/2021,"4.62","4.67","4.51","4.51","11,671"
06/07/2021,"4.78","4.78","4.52","4.70","25,210"
06/04/2021,"4.55","4.77","4.55","4.59","6,318"
06/03/2021,"4.31","4.50","4.31","4.48","12,921"
06/02/2021,"4.80","4.80","4.25","4.47","46,798"
06/01/2021,"4.83","4.85","4.29","4.80","11,665"
05/28/2021,"4.77","4.90","4.61","4.85","52,859"
05/27/2021,"4.95","4.95","4.71","4.77","29,492"
05/26/2021,"4.70","5.06","4.40","5.00","63,893"
05/25/2021,"4.68","4.70","4.40","4.57","27,439"
05/24/2021,"4.34","4.70","4.24","4.68","56,689"
05/21/2021,"4.19","4.30","4.16","4.29","10,213"
05/20/2021,"4.25","4.25","4.10","4.20","38,246"
05/19/2021,"4.15","4.45","4.15","4.29","13,746"
05/18/2021,"4.20","4.20","4.11","4.18","35,483"
05/17/2021,"4.19","4.24","4.15","4.15","9,932"
05/14/2021,"4.24","4.24","4.15","4.21","5,891"
05/13/2021,"4.15","4.25","4.15","4.20","17,546"
05/12/2021,"4.02","4.25","4.02","4.23","13,653"
05/11/2021,"4.32","4.32","4.07","4.26","28,025"
05/10/2021,"4.44","4.50","4.32","4.32","20,199"
05/07/2021,"4.44","4.44","4.32","4.34","3,840"
05/06/2021,"4.41","4.60","4.35","4.44","6,534"
05/05/2021,"4.65","4.65","4.34","4.36","10,745"
05/04/2021,"4.46","4.70","4.31","4.60","13,302"
05/03/2021,"4.43","4.50","4.30","4.45","6,387"
04/30/2021,"4.47","4.47","4.32","4.47","5,969"
04/29/2021,"4.70","4.70","4.36","4.47","41,531"
04/28/2021,"4.50","4.69","4.50","4.54","13,237"
04/27/2021,"4.57","4.69","4.54","4.63","10,878"
04/26/2021,"4.58","4.60","4.50","4.53","3,393"
04/23/2021,"4.61","4.78","4.40","4.68","15,537"
04/22/2021,"4.50","4.80","4.43","4.43","29,803"
04/21/2021,"4.35","4.49","4.35","4.45","3,963"
04/20/2021,"4.42","4.59","4.35","4.39","17,354"
04/19/2021,"4.50","4.60","4.35","4.54","15,837"
04/16/2021,"4.55","4.65","4.40","4.53","21,901"
04/15/2021,"4.70","4.70","4.50","4.63","7,804"
04/14/2021,"4.53","4.70","4.53","4.68","8,528"
04/13/2021,"4.52","4.86","4.52","4.57","12,530"
04/12/2021,"4.78","4.95","4.54","4.58","15,027"
04/09/2021,"4.71","4.79","4.60","4.64","10,282"
04/08/2021,"4.83","4.95","4.72","4.82","37,820"
04/07/2021,"4.63","4.89","4.63","4.67","74,036"
04/06/2021,"4.73","4.94","4.55","4.81","107,911"
04/05/2021,"4.80","4.88","4.30","4.55","32,181"
04/01/2021,"4.95","5.14","4.80","4.80","48,127"
03/31/2021,"4.60","4.92","4.60","4.90","53,688"
03/30/2021,"4.85","4.85","4.50","4.55","32,982"
03/29/2021,"4.71","4.89","4.71","4.76","17,690"
03/26/2021,"4.95","4.95","4.65","4.73","33,979"
03/25/2021,"4.58","4.94","4.45","4.89","35,496"
03/24/2021,"4.93","5.20","4.68","4.70","30,267"
03/23/2021,"5.24","5.30","4.95","5.00","81,035"
03/22/2021,"5.90","5.90","5.07","5.24","139,166"
03/19/2021,"5.60","5.88","5.50","5.70","31,977"
03/18/2021,"5.61","5.67","5.50","5.59","23,229"
03/17/2021,"5.62","5.79","5.44","5.78","40,631"
03/16/2021,"5.58","5.95","5.34","5.70","67,175"
03/15/2021,"5.30","5.62","5.30","5.44","48,147"
03/12/2021,"5.69","5.69","5.30","5.30","44,668"
03/11/2021,"4.95","5.80","4.95","5.60","89,378"
03/10/2021,"4.77","4.95","4.52","4.90","142,823"
03/09/2021,"4.27","4.63","4.27","4.49","107,062"
03/08/2021,"4.49","4.65","4.26","4.29","88,238"
03/05/2021,"4.50","4.72","4.06","4.31","108,299"
03/04/2021,"4.92","4.92","4.28","4.31","188,250"
03/03/2021,"5.00","5.27","4.84","4.84","94,988"
03/02/2021,"5.15","5.35","4.88","4.91","109,781"
03/01/2021,"5.50","5.56","5.08","5.11","168,433"
02/26/2021,"5.82","5.94","5.04","5.26","142,098"
02/25/2021,"6.50","6.50","5.80","5.81","188,900"
02/24/2021,"6.70","6.70","6.16","6.40","78,751"
02/23/2021,"6.80","6.88","6.23","6.70","93,302"
02/22/2021,"6.89","7.10","6.80","7.04","125,268"
02/19/2021,"6.95","7.10","6.60","6.96","90,730"
02/18/2021,"6.96","7.27","6.65","6.99","161,041"
02/17/2021,"7.00","7.00","6.19","6.95","140,252"
02/16/2021,"7.34","7.55","6.68","7.00","167,265"
02/12/2021,"7.10","7.33","6.60","7.15","197,973"
02/11/2021,"7.23","7.66","6.70","7.10","443,112"
02/10/2021,"5.15","6.96","5.05","6.79","632,187"
02/09/2021,"5.40","5.45","5.00","5.15","180,325"
02/08/2021,"5.50","5.50","4.85","5.10","603,764"
02/05/2021,"8.00","8.80","4.58","5.74","1,851,032"
