Date,Open,High,Low,Close,Volume
08/11/2021,"26.05","26.54","25.65","26.22","433,775"
08/10/2021,"25.50","26.75","25.25","26.12","467,017"
08/09/2021,"24.10","25.56","23.75","25.44","751,965"
08/06/2021,"25.19","25.56","24.16","24.37","263,537"
08/05/2021,"25.33","25.78","24.68","25.21","625,875"
08/04/2021,"26.04","27.00","25.00","25.33","712,645"
08/03/2021,"26.24","26.91","25.23","26.56","394,976"
08/02/2021,"26.66","27.13","25.92","26.49","878,432"
07/30/2021,"26.33","27.13","25.25","26.50","422,563"
07/29/2021,"25.30","26.96","24.59","26.94","4,005,062"
07/28/2021,"23.12","25.47","23.12","25.16","1,606,225"
07/27/2021,"22.64","23.84","22.50","23.30","1,036,880"
07/26/2021,"23.32","23.90","22.50","22.75","1,659,732"
07/23/2021,"21.70","25.86","21.45","23.70","10,130,420"
