Date,Open,High,Low,Close,Volume
08/20/2021,"21.30","21.48","20.46","21.07","21,317"
08/19/2021,"21.05","21.51","19.93","21.00","31,919"
08/18/2021,"20.75","21.53","20.30","21.30","57,988"
08/17/2021,"20.89","21.06","19.97","20.73","97,797"
08/16/2021,"19.34","21.11","19.07","20.73","167,135"
08/13/2021,"21.12","21.12","19.39","20.38","65,101"
08/12/2021,"19.65","21.18","19.58","20.89","203,751"
08/11/2021,"20.12","20.50","19.27","20.06","72,185"
08/10/2021,"20.06","20.95","19.78","20.49","82,372"
08/09/2021,"20.35","21.06","19.67","20.11","43,554"
08/06/2021,"19.93","21.21","19.47","20.15","22,248"
08/05/2021,"20.00","20.22","19.24","20.05","41,360"
08/04/2021,"20.30","20.89","19.15","19.32","51,929"
08/03/2021,"19.82","20.47","18.13","20.10","925,968"
08/02/2021,"20.90","20.90","19.91","19.98","222,122"
07/30/2021,"20.88","21.15","20.26","20.64","90,594"
07/29/2021,"20.85","21.25","20.17","21.07","83,026"
07/28/2021,"21.24","21.24","20.52","20.65","42,978"
07/27/2021,"20.99","21.34","20.17","21.07","284,009"
07/26/2021,"21.40","21.92","20.87","21.04","391,033"
07/23/2021,"21.28","21.89","20.55","21.49","48,801"
07/22/2021,"20.97","21.50","20.51","21.14","56,682"
07/21/2021,"21.11","21.44","20.79","20.99","239,584"
07/20/2021,"21.13","22.77","20.71","21.32","400,971"
07/19/2021,"19.61","21.81","19.61","21.32","441,147"
07/16/2021,"21.32","21.84","20.50","21.08","194,423"
07/15/2021,"21.98","22.86","20.33","20.87","181,840"
07/14/2021,"22.83","23.25","21.36","21.54","101,492"
07/13/2021,"21.65","22.94","21.11","22.26","237,577"
07/12/2021,"21.92","22.49","21.21","21.86","132,931"
07/09/2021,"21.20","22.31","20.85","21.93","66,088"
07/08/2021,"20.51","21.36","20.40","21.19","108,014"
07/07/2021,"22.01","22.52","20.45","21.01","546,063"
07/06/2021,"22.31","22.83","21.68","21.81","106,545"
07/02/2021,"22.55","22.87","21.48","22.12","104,646"
07/01/2021,"22.33","23.14","21.37","22.55","273,784"
06/30/2021,"22.40","22.99","21.90","22.21","415,066"
06/29/2021,"22.96","23.95","22.26","22.28","106,529"
06/28/2021,"24.77","24.77","23.22","23.31","141,638"
06/25/2021,"24.33","25.05","23.22","24.50","344,301"
06/24/2021,"24.05","24.61","21.55","23.92","326,258"
06/23/2021,"25.20","25.45","23.27","23.79","354,098"
06/22/2021,"26.25","26.25","24.70","25.27","297,411"
06/21/2021,"24.49","25.15","24.25","24.76","73,551"
06/18/2021,"25.33","26.90","24.01","24.91","76,792"
06/17/2021,"24.63","25.66","24.00","25.66","261,891"
06/16/2021,"24.23","24.58","23.50","24.33","186,066"
06/15/2021,"24.80","25.89","23.45","24.03","431,609"
06/14/2021,"22.03","26.09","22.00","25.00","320,413"
06/11/2021,"21.00","22.27","20.40","21.71","305,369"
06/10/2021,"21.89","22.96","21.31","21.86","130,309"
06/09/2021,"22.71","23.25","21.50","21.83","355,322"
06/08/2021,"23.06","23.49","22.34","22.70","48,669"
06/07/2021,"24.68","25.00","22.19","23.15","214,895"
06/04/2021,"22.02","24.00","22.02","22.83","137,283"
06/03/2021,"24.14","24.75","20.68","22.06","313,642"
06/02/2021,"23.26","25.82","22.00","25.11","501,538"
06/01/2021,"20.75","24.30","20.48","23.58","826,130"
05/28/2021,"20.25","24.83","20.00","21.75","3,830,375"
