Date,Open,High,Low,Close,Volume
08/30/2021,"18.12","20.86","18.12","20.65","34,389"
08/27/2021,"20.15","21.00","18.12","18.12","97,945"
08/26/2021,"20.40","21.82","20.21","20.38","92,655"
08/25/2021,"21.61","22.95","20.06","20.07","53,613"
08/24/2021,"22.33","23.05","21.24","21.89","90,465"
08/23/2021,"21.71","24.68","20.81","22.21","114,373"
08/20/2021,"22.75","24.81","22.13","22.29","30,435"
08/19/2021,"23.03","23.60","22.00","22.75","23,566"
08/18/2021,"22.96","25.78","22.70","23.84","43,462"
08/17/2021,"21.74","26.41","21.33","23.55","100,843"
08/16/2021,"23.51","24.23","21.22","21.74","32,656"
08/13/2021,"24.66","25.14","23.29","23.51","21,943"
08/12/2021,"26.39","28.50","24.32","25.25","29,062"
08/11/2021,"28.61","29.00","26.06","26.30","17,274"
08/10/2021,"26.15","29.27","25.01","28.50","41,890"
08/09/2021,"22.40","26.96","20.54","26.14","63,406"
08/06/2021,"23.39","23.93","20.11","21.70","39,765"
08/05/2021,"23.14","23.30","22.26","22.79","13,675"
08/04/2021,"23.50","23.50","22.16","22.75","17,629"
08/03/2021,"22.37","22.54","20.80","22.00","29,937"
08/02/2021,"22.38","24.28","21.45","21.47","23,241"
07/30/2021,"21.95","23.69","21.95","22.01","24,690"
07/29/2021,"22.04","22.61","21.17","21.61","97,006"
07/28/2021,"22.03","23.90","21.97","22.10","39,618"
07/27/2021,"24.80","25.89","21.98","21.98","383,218"
07/26/2021,"25.49","25.85","24.57","24.88","79,196"
07/23/2021,"24.64","27.14","24.63","26.00","33,309"
07/22/2021,"25.00","25.00","24.18","25.00","59,546"
07/21/2021,"23.52","24.81","23.50","24.56","8,794"
07/20/2021,"24.00","24.93","24.00","24.83","19,370"
07/19/2021,"22.00","24.95","22.00","24.77","35,293"
07/16/2021,"22.83","23.86","21.40","22.00","14,296"
07/15/2021,"24.10","24.10","21.78","22.97","116,256"
07/14/2021,"23.29","24.07","21.19","24.07","77,748"
07/13/2021,"21.93","23.00","21.93","23.00","79,058"
07/12/2021,"21.19","23.20","20.40","21.74","73,959"
07/09/2021,"21.25","22.00","19.68","20.63","26,196"
07/08/2021,"20.25","21.59","20.25","21.30","26,442"
07/07/2021,"21.54","22.22","19.89","21.39","204,461"
07/06/2021,"19.49","25.00","19.47","21.98","223,142"
07/02/2021,"20.26","20.45","18.80","19.71","103,659"
07/01/2021,"19.25","19.81","18.79","19.80","92,572"
06/30/2021,"19.19","19.73","19.03","19.53","11,042"
06/29/2021,"19.43","19.48","18.58","19.48","73,168"
06/28/2021,"19.29","19.78","19.29","19.29","55,308"
06/25/2021,"18.55","19.43","18.51","19.02","32,250"
06/24/2021,"18.13","18.89","17.58","18.43","11,706"
06/23/2021,"17.90","18.89","17.90","18.48","211,581"
06/22/2021,"18.34","18.42","17.75","17.76","7,475"
06/21/2021,"17.95","18.85","17.88","18.01","20,278"
06/18/2021,"17.45","17.94","17.25","17.60","178,144"
06/17/2021,"18.35","18.35","17.42","17.63","52,438"
06/16/2021,"19.21","19.27","17.34","17.37","89,092"
06/15/2021,"19.67","19.67","18.29","19.00","49,498"
06/14/2021,"18.00","19.85","17.90","19.00","69,614"
06/11/2021,"17.87","18.36","17.75","18.00","15,849"
06/10/2021,"16.71","18.38","16.71","18.04","35,671"
06/09/2021,"15.83","18.44","15.78","18.00","58,896"
06/08/2021,"15.00","15.91","15.00","15.81","28,771"
06/07/2021,"14.73","15.28","14.73","14.73","47,014"
06/04/2021,"14.61","15.34","14.21","14.81","215,739"
06/03/2021,"14.55","14.76","14.16","14.16","5,055"
06/02/2021,"15.16","15.16","14.02","14.49","18,140"
06/01/2021,"14.75","15.08","14.40","14.42","15,630"
05/28/2021,"14.61","15.50","14.61","14.88","32,418"
05/27/2021,"14.72","15.35","14.50","15.03","43,710"
05/26/2021,"15.00","15.33","14.70","15.00","18,165"
05/25/2021,"16.92","16.92","14.58","14.65","30,141"
05/24/2021,"15.68","15.89","15.23","15.61","11,670"
05/21/2021,"15.83","16.54","15.54","15.54","38,033"
05/20/2021,"15.53","16.50","15.50","16.21","58,775"
05/19/2021,"15.90","16.44","15.50","15.75","63,840"
05/18/2021,"15.86","16.99","15.71","16.25","17,171"
05/17/2021,"15.50","17.00","15.50","16.22","163,362"
05/14/2021,"15.46","16.70","15.14","16.41","64,490"
05/13/2021,"15.52","16.37","15.50","15.50","23,625"
05/12/2021,"14.45","15.85","14.27","15.40","121,012"
05/11/2021,"14.82","15.37","14.43","14.43","16,959"
05/10/2021,"15.77","16.65","15.27","15.27","10,138"
05/07/2021,"16.45","16.80","15.52","15.53","41,103"
05/06/2021,"16.80","16.80","15.94","16.10","8,955"
05/05/2021,"16.19","16.97","15.57","16.82","38,934"
05/04/2021,"15.80","16.30","15.80","16.16","23,699"
05/03/2021,"16.53","16.62","16.04","16.31","8,468"
04/30/2021,"15.51","16.76","15.51","16.27","37,060"
04/29/2021,"15.76","16.71","15.54","15.54","53,428"
04/28/2021,"16.35","16.35","15.52","16.05","32,626"
04/27/2021,"15.81","16.81","15.55","16.07","90,100"
04/26/2021,"16.74","17.00","15.51","16.53","78,638"
04/23/2021,"16.80","17.03","16.01","16.12","208,704"
04/22/2021,"17.36","17.36","16.91","17.11","6,662"
04/21/2021,"16.96","17.87","16.83","17.09","79,090"
04/20/2021,"17.03","17.61","16.80","17.08","152,142"
