Date,Open,High,Low,Close,Volume
08/11/2021,"8.35","8.45","8.16","8.24","104,969"
08/10/2021,"8.60","8.60","8.13","8.30","141,626"
08/09/2021,"8.61","8.71","8.31","8.50","200,274"
08/06/2021,"8.84","8.85","8.64","8.67","62,469"
08/05/2021,"8.89","8.93","8.53","8.71","123,543"
08/04/2021,"8.69","9.08","8.60","8.76","160,822"
08/03/2021,"9.28","9.28","8.81","8.88","68,720"
08/02/2021,"9.43","9.43","8.90","9.20","164,238"
07/30/2021,"8.67","9.17","8.53","8.98","123,843"
07/29/2021,"8.70","8.82","8.40","8.63","82,515"
07/28/2021,"8.53","8.85","8.35","8.56","86,448"
07/27/2021,"8.78","8.85","8.20","8.42","196,052"
07/26/2021,"8.87","9.04","8.85","8.90","133,838"
07/23/2021,"9.09","9.14","8.85","9.00","227,053"
07/22/2021,"7.99","9.26","7.75","9.07","514,527"
07/21/2021,"7.86","8.03","7.70","7.98","172,798"
07/20/2021,"7.80","8.05","7.71","7.85","242,772"
07/19/2021,"8.03","8.16","7.79","7.87","235,211"
07/16/2021,"8.54","8.69","8.17","8.22","236,450"
07/15/2021,"8.75","8.75","8.21","8.50","373,558"
07/14/2021,"9.50","9.61","8.73","8.79","584,571"
07/13/2021,"9.81","9.88","9.20","9.41","369,153"
07/12/2021,"10.13","10.33","9.74","9.78","421,903"
07/09/2021,"9.34","9.92","9.34","9.88","379,529"
07/08/2021,"9.80","9.88","9.11","9.42","549,621"
07/07/2021,"10.48","10.54","9.96","9.98","287,078"
07/06/2021,"10.91","10.93","10.37","10.57","263,446"
07/02/2021,"11.26","11.30","10.93","11.01","125,461"
07/01/2021,"11.22","11.48","11.07","11.35","189,805"
06/30/2021,"10.72","11.85","10.66","11.38","393,372"
06/29/2021,"10.86","11.39","10.79","10.88","541,378"
06/28/2021,"11.25","11.25","10.95","11.04","308,300"
06/25/2021,"10.70","11.25","10.55","11.12","554,945"
06/24/2021,"10.99","11.15","10.79","10.84","353,193"
06/23/2021,"11.21","11.56","10.90","11.04","492,884"
06/22/2021,"11.72","11.94","11.39","11.50","137,798"
06/21/2021,"12.15","12.48","11.50","11.73","504,586"
06/18/2021,"12.30","13.31","12.08","12.20","662,587"
06/17/2021,"13.02","13.29","12.29","12.64","976,362"
06/16/2021,"14.00","14.29","12.53","13.00","11,919,570"
