Date,Open,High,Low,Close,Volume
08/30/2021,"256.35","263.34","256.25","262.66","2,656,610"
08/27/2021,"249.39","259.67","248.09","259.12","3,201,369"
08/26/2021,"253.21","255.20","248.50","248.54","3,038,888"
08/25/2021,"257.00","262.11","256.00","256.77","2,675,110"
08/24/2021,"256.99","260.25","253.20","259.28","3,982,757"
08/23/2021,"263.67","266.50","255.00","256.00","5,705,279"
08/20/2021,"252.00","260.62","251.42","257.32","4,031,097"
08/19/2021,"240.60","249.77","239.19","248.24","3,247,230"
08/18/2021,"249.00","254.40","243.76","244.39","2,564,969"
08/17/2021,"253.14","260.74","246.23","250.80","3,101,977"
08/16/2021,"265.26","265.43","253.60","256.83","3,241,136"
08/13/2021,"262.82","266.50","259.97","261.25","4,472,802"
08/12/2021,"266.39","267.75","255.20","256.50","8,266,747"
08/11/2021,"282.34","294.00","274.35","278.40","13,998,310"
08/10/2021,"280.67","281.50","264.25","269.67","7,723,436"
08/09/2021,"267.85","282.43","267.50","280.47","8,892,383"
08/06/2021,"255.50","263.90","250.23","258.26","5,579,943"
08/05/2021,"239.76","258.31","237.59","255.50","6,017,849"
08/04/2021,"231.06","245.47","229.85","244.36","3,684,694"
08/03/2021,"233.87","235.69","226.91","230.18","2,850,545"
08/02/2021,"237.28","240.38","233.80","235.40","2,151,346"
07/30/2021,"233.28","238.07","231.90","236.58","2,041,063"
07/29/2021,"241.77","245.16","235.33","235.78","2,453,058"
07/28/2021,"240.30","242.87","238.03","241.75","2,065,223"
07/27/2021,"243.00","243.21","229.12","235.08","5,636,360"
07/26/2021,"240.08","249.80","237.88","245.45","7,615,718"
07/23/2021,"226.22","227.35","222.73","224.92","1,574,726"
07/22/2021,"232.00","232.32","224.50","226.08","2,551,694"
07/21/2021,"231.70","237.15","229.19","230.87","3,677,370"
07/20/2021,"216.71","226.89","213.23","224.96","3,104,775"
07/19/2021,"216.92","221.89","213.22","220.61","3,149,313"
07/16/2021,"227.20","231.30","220.66","225.01","3,373,060"
07/15/2021,"229.94","234.47","220.37","224.63","3,635,910"
07/14/2021,"244.90","247.45","229.16","229.94","4,808,426"
07/13/2021,"245.51","249.15","242.93","243.31","3,307,965"
07/12/2021,"254.00","254.89","246.83","247.67","2,222,085"
07/09/2021,"245.00","256.99","244.21","253.88","4,457,367"
07/08/2021,"239.00","246.60","233.61","244.29","4,349,961"
07/07/2021,"238.96","252.99","232.34","251.97","4,804,431"
07/06/2021,"243.00","243.00","234.02","235.41","2,212,615"
07/02/2021,"242.00","246.80","238.88","240.72","2,328,028"
07/01/2021,"251.09","255.15","240.53","241.44","3,627,357"
06/30/2021,"248.30","254.67","247.00","253.30","4,143,487"
06/29/2021,"250.20","261.15","250.01","254.90","7,867,552"
06/28/2021,"227.64","248.06","226.13","246.69","7,449,035"
06/25/2021,"226.97","227.82","223.22","224.54","2,506,957"
06/24/2021,"228.46","230.04","226.67","229.93","2,857,722"
06/23/2021,"225.54","230.52","224.50","226.01","3,394,664"
06/22/2021,"216.25","223.15","210.77","222.47","6,206,112"
06/21/2021,"223.14","224.99","218.77","222.60","4,687,569"
06/18/2021,"226.92","232.69","226.50","229.29","3,265,165"
06/17/2021,"226.88","233.23","226.35","230.66","2,589,611"
06/16/2021,"231.40","234.68","226.28","228.05","2,874,844"
06/15/2021,"236.23","237.67","230.96","232.21","3,007,899"
06/14/2021,"231.27","239.76","229.76","239.10","6,151,688"
06/11/2021,"223.50","225.74","221.96","223.92","2,383,458"
06/10/2021,"226.22","229.79","221.47","221.85","3,955,294"
06/09/2021,"222.80","229.79","217.40","224.32","6,865,914"
06/08/2021,"227.16","229.33","217.40","220.66","6,015,772"
06/07/2021,"229.92","232.56","226.50","231.45","2,658,314"
06/04/2021,"229.99","233.36","227.50","228.79","3,775,123"
06/03/2021,"241.39","241.50","233.50","233.66","3,091,112"
06/02/2021,"242.80","243.90","238.71","240.48","3,383,753"
06/01/2021,"238.51","244.71","238.10","238.93","3,962,697"
