Date,Open,High,Low,Close,Volume
08/11/2021,"31.19","31.47","28.26","29.37","999,010"
08/10/2021,"31.25","32.59","30.50","31.65","641,170"
08/09/2021,"29.10","31.83","29.00","30.79","647,895"
08/06/2021,"29.94","30.84","28.13","29.21","635,424"
08/05/2021,"28.00","30.75","27.85","29.40","2,670,555"
08/04/2021,"27.94","27.95","25.02","27.75","2,690,088"
08/03/2021,"24.51","27.48","24.50","27.07","1,963,391"
08/02/2021,"22.50","24.88","22.06","24.20","1,893,091"
07/30/2021,"22.17","23.19","21.95","22.21","2,830,146"
07/29/2021,"22.00","23.74","21.95","22.00","13,637,320"
