Date,Open,High,Low,Close,Volume
08/30/2021,"29.99","30.20","28.96","30.09","11,436,700"
08/27/2021,"30.75","30.91","29.94","29.99","9,171,674"
08/26/2021,"30.92","31.64","30.56","30.93","10,263,220"
08/25/2021,"32.00","32.00","30.75","30.86","9,521,549"
08/24/2021,"30.70","32.10","30.43","31.78","14,771,230"
08/23/2021,"31.80","31.82","30.18","30.55","14,470,380"
08/20/2021,"31.80","32.13","30.71","31.29","17,175,689"
08/19/2021,"32.29","32.78","31.61","31.73","8,626,048"
08/18/2021,"33.00","33.64","32.37","32.37","13,769,200"
08/17/2021,"33.03","33.95","32.22","33.63","8,512,827"
08/16/2021,"33.79","33.85","32.46","33.22","15,175,670"
08/13/2021,"34.65","36.49","33.01","33.87","41,979,621"
08/12/2021,"34.25","35.06","33.89","34.13","21,310,740"
08/11/2021,"36.30","37.55","36.16","37.20","8,562,965"
08/10/2021,"39.73","39.84","36.34","36.70","7,948,387"
08/09/2021,"38.40","39.86","38.32","39.49","3,379,596"
08/06/2021,"39.70","40.38","38.71","38.80","3,807,365"
08/05/2021,"38.72","40.11","38.46","40.06","3,621,927"
08/04/2021,"37.94","40.12","37.88","39.37","5,069,538"
08/03/2021,"36.50","38.03","36.24","38.03","4,856,189"
08/02/2021,"36.52","37.91","36.02","36.74","4,998,998"
07/30/2021,"37.25","37.34","35.75","36.32","4,890,474"
07/29/2021,"38.02","38.59","36.90","37.57","3,684,932"
07/28/2021,"38.27","38.95","37.69","38.39","3,118,990"
07/27/2021,"36.66","38.06","36.62","37.54","3,851,649"
07/26/2021,"38.30","38.42","36.76","37.19","6,039,565"
07/23/2021,"39.47","39.55","37.65","38.61","3,718,384"
07/22/2021,"39.67","39.68","38.43","38.56","3,273,838"
07/21/2021,"39.47","40.18","39.23","39.65","3,144,356"
07/20/2021,"40.00","40.30","38.55","38.83","3,922,354"
07/19/2021,"39.45","40.04","38.75","39.90","3,342,377"
07/16/2021,"41.40","42.04","39.95","40.19","7,221,426"
07/15/2021,"43.56","44.47","41.82","42.25","5,791,358"
07/14/2021,"44.33","45.53","43.84","44.06","3,968,557"
07/13/2021,"42.51","46.00","42.44","44.54","6,926,493"
07/12/2021,"42.20","43.63","41.65","43.08","3,166,013"
07/09/2021,"40.90","42.88","40.02","42.13","3,671,944"
07/08/2021,"39.00","40.47","38.95","40.00","2,496,865"
07/07/2021,"40.50","40.51","39.10","40.03","3,230,842"
07/06/2021,"40.61","41.33","39.85","39.95","3,185,067"
07/02/2021,"41.19","41.42","40.10","40.46","2,931,569"
07/01/2021,"42.13","42.13","40.74","41.52","2,686,662"
06/30/2021,"41.70","44.48","41.23","41.82","6,292,420"
06/29/2021,"38.54","44.19","38.45","42.16","10,531,160"
06/28/2021,"37.68","38.29","37.25","38.25","4,885,578"
06/25/2021,"38.50","38.64","37.33","37.40","4,240,338"
06/24/2021,"39.99","40.50","38.04","38.17","4,148,360"
06/23/2021,"40.04","40.04","39.15","39.64","5,327,368"
06/22/2021,"39.18","40.60","38.90","40.02","5,641,603"
06/21/2021,"39.00","39.50","37.88","39.44","2,835,427"
06/18/2021,"39.04","40.18","38.92","39.41","3,553,676"
06/17/2021,"38.34","39.80","38.32","39.73","4,137,354"
06/16/2021,"38.81","39.09","38.30","38.67","2,964,335"
06/15/2021,"38.65","38.89","37.95","38.82","3,200,545"
06/14/2021,"38.80","39.44","38.36","38.51","2,219,654"
06/11/2021,"38.06","39.31","38.06","38.60","3,465,341"
06/10/2021,"37.71","38.43","37.60","38.06","2,972,674"
06/09/2021,"38.10","38.50","37.74","37.78","2,079,395"
06/08/2021,"38.62","39.42","37.94","38.19","3,295,208"
06/07/2021,"38.93","39.00","38.18","38.58","2,556,694"
06/04/2021,"39.52","39.95","38.83","38.89","2,867,903"
06/03/2021,"40.35","40.56","39.27","39.52","2,210,024"
06/02/2021,"41.00","41.67","40.56","40.84","2,918,743"
06/01/2021,"41.20","42.12","41.20","41.31","2,483,555"
05/28/2021,"41.00","41.50","40.75","40.79","2,304,703"
05/27/2021,"41.65","41.78","40.62","41.00","3,977,087"
05/26/2021,"40.20","41.90","38.89","41.80","5,013,998"
05/25/2021,"41.08","41.10","38.29","40.14","4,784,264"
05/24/2021,"39.16","40.90","38.35","40.50","6,524,842"
05/21/2021,"39.35","39.35","37.81","38.01","2,756,951"
05/20/2021,"37.15","38.97","36.68","38.74","5,927,962"
05/19/2021,"35.77","37.32","35.19","37.06","6,752,216"
05/18/2021,"36.46","37.38","35.50","37.25","6,072,789"
05/17/2021,"35.47","35.83","32.81","35.18","10,336,820"
05/14/2021,"32.96","36.60","31.37","36.43","11,063,330"
05/13/2021,"35.98","36.00","30.65","32.04","14,661,500"
05/12/2021,"36.51","37.27","34.97","35.33","7,087,042"
05/11/2021,"36.38","37.69","36.15","36.25","5,418,923"
05/10/2021,"38.93","39.00","36.88","37.07","5,003,107"
05/07/2021,"40.09","40.30","38.71","38.93","3,080,372"
05/06/2021,"41.26","41.35","39.33","40.23","3,984,873"
05/05/2021,"41.76","42.39","40.84","41.26","3,249,455"
05/04/2021,"41.78","41.96","40.15","41.49","3,665,426"
05/03/2021,"42.50","43.04","41.83","42.06","2,607,358"
04/30/2021,"42.56","42.74","41.85","41.90","3,498,669"
04/29/2021,"43.55","43.80","42.49","42.56","3,217,667"
04/28/2021,"45.90","45.91","43.58","43.71","2,907,854"
04/27/2021,"45.83","46.22","45.01","45.54","1,873,053"
04/26/2021,"46.00","46.00","44.32","45.67","1,949,662"
04/23/2021,"42.90","45.69","42.90","45.56","4,599,178"
04/22/2021,"42.50","45.22","41.78","42.81","7,274,794"
04/21/2021,"42.05","42.36","41.63","41.98","4,004,319"
04/20/2021,"45.40","45.79","42.01","42.62","8,413,191"
04/19/2021,"46.00","46.40","45.35","45.72","3,329,114"
04/16/2021,"45.80","46.12","45.47","45.90","2,955,515"
04/15/2021,"46.14","46.30","45.23","45.80","3,120,028"
04/14/2021,"47.00","47.49","45.25","45.71","3,640,748"
04/13/2021,"45.45","47.65","45.11","47.10","3,570,291"
04/12/2021,"45.85","46.02","44.40","45.22","3,670,927"
04/09/2021,"45.36","46.50","44.92","45.85","3,974,817"
04/08/2021,"45.50","46.11","44.06","45.58","4,568,910"
04/07/2021,"46.74","46.80","44.95","45.33","3,608,253"
04/06/2021,"45.70","46.95","45.50","46.57","2,438,720"
04/05/2021,"47.20","48.09","45.31","45.94","4,607,481"
04/01/2021,"49.81","50.50","46.60","47.31","4,928,734"
03/31/2021,"48.83","50.38","47.80","49.35","8,033,119"
03/30/2021,"45.92","48.75","45.92","48.75","4,873,964"
03/29/2021,"44.20","47.43","43.82","46.01","5,340,795"
03/26/2021,"44.04","45.35","42.52","43.53","4,306,797"
03/25/2021,"43.18","44.20","41.41","43.70","7,532,303"
03/24/2021,"46.00","46.60","43.30","43.79","8,099,857"
03/23/2021,"44.67","47.14","44.65","46.00","8,656,779"
03/22/2021,"45.29","46.03","44.29","44.86","4,983,965"
03/19/2021,"43.92","46.06","42.80","44.89","14,452,490"
03/18/2021,"43.55","45.45","42.70","43.89","15,408,040"
03/17/2021,"46.00","46.90","43.19","43.29","15,251,130"
03/16/2021,"50.59","50.77","46.70","47.13","14,552,390"
03/15/2021,"50.13","51.85","49.02","50.45","17,457,131"
03/12/2021,"52.54","52.76","46.25","48.47","30,520,990"
03/11/2021,"63.50","69.00","49.25","49.25","91,584,117"
