Date,Open,High,Low,Close,Volume
08/20/2021,"26.02","26.80","25.61","26.09","845,804"
08/19/2021,"26.34","27.37","25.36","25.42","518,239"
08/18/2021,"25.14","27.75","24.50","27.04","734,979"
08/17/2021,"26.19","28.47","23.80","24.30","761,836"
08/16/2021,"24.35","27.16","23.34","26.48","589,562"
08/13/2021,"23.05","24.84","23.05","24.23","580,237"
08/12/2021,"25.45","27.00","22.80","23.23","918,244"
08/11/2021,"28.20","28.49","24.87","25.37","1,073,901"
08/10/2021,"26.33","29.00","26.33","27.59","1,421,816"
08/09/2021,"23.38","26.45","23.38","26.13","1,187,975"
08/06/2021,"22.75","25.99","21.92","22.39","1,247,265"
08/05/2021,"18.22","22.59","18.22","21.70","1,992,899"
08/04/2021,"17.17","18.33","17.00","18.05","527,770"
08/03/2021,"18.43","19.03","17.12","17.20","656,753"
08/02/2021,"16.34","17.90","16.21","17.51","693,190"
07/30/2021,"15.60","16.25","15.36","16.20","383,890"
07/29/2021,"15.85","16.36","15.02","15.80","830,265"
07/28/2021,"16.10","16.30","15.45","15.75","909,214"
07/27/2021,"17.32","17.77","15.00","15.96","1,502,165"
07/26/2021,"18.00","18.78","16.75","16.75","1,791,824"
07/23/2021,"17.65","19.68","16.32","16.32","6,816,090"
