Date,Open,High,Low,Close,Volume
08/12/2021,"27.82","27.82","27.08","27.64","1,424,380"
08/11/2021,"28.15","28.42","27.52","27.94","1,709,279"
08/10/2021,"28.66","28.66","28.11","28.13","826,333"
08/09/2021,"28.03","28.43","27.79","28.30","1,173,618"
08/06/2021,"28.18","28.68","28.06","28.08","1,218,820"
08/05/2021,"27.30","29.05","27.13","28.33","2,368,425"
08/04/2021,"26.83","27.90","26.44","27.40","4,433,443"
08/03/2021,"26.99","28.09","26.16","27.13","8,738,507"
08/02/2021,"29.51","30.29","28.81","28.98","2,996,599"
07/30/2021,"29.01","29.43","28.72","29.19","1,868,736"
07/29/2021,"29.71","29.90","29.19","29.35","1,063,738"
07/28/2021,"29.33","29.56","29.04","29.30","1,053,911"
07/27/2021,"29.56","29.62","28.52","29.13","2,325,567"
07/26/2021,"29.62","30.00","29.38","29.75","1,254,006"
07/23/2021,"29.74","29.90","29.03","29.52","1,108,753"
07/22/2021,"30.20","30.33","29.36","29.62","1,340,401"
07/21/2021,"30.25","30.99","29.68","30.21","1,656,341"
07/20/2021,"28.93","29.99","28.48","29.66","1,767,032"
07/19/2021,"28.75","29.44","28.38","28.60","2,538,428"
07/16/2021,"30.77","30.99","29.09","29.33","2,350,331"
07/15/2021,"30.38","30.60","29.54","30.27","2,094,834"
07/14/2021,"31.00","31.15","30.18","30.37","1,288,949"
07/13/2021,"31.40","31.62","30.81","30.86","1,061,612"
07/12/2021,"31.97","32.03","31.20","31.70","895,133"
07/09/2021,"31.20","31.90","30.85","31.73","953,843"
07/08/2021,"31.01","31.61","30.69","31.16","1,670,627"
07/07/2021,"32.03","32.18","31.11","31.74","1,662,494"
07/06/2021,"32.30","32.64","31.83","32.03","1,636,189"
07/02/2021,"32.76","32.99","31.88","32.07","1,506,379"
07/01/2021,"33.22","33.49","32.56","32.81","1,488,961"
06/30/2021,"33.05","33.43","32.52","33.29","1,366,826"
06/29/2021,"33.50","33.78","32.93","33.26","1,416,099"
06/28/2021,"34.00","34.14","33.00","33.35","1,774,134"
06/25/2021,"32.55","34.37","32.54","33.87","3,969,438"
06/24/2021,"32.65","32.93","32.21","32.48","1,352,339"
06/23/2021,"32.00","32.96","31.89","32.52","2,641,650"
06/22/2021,"31.63","32.45","31.41","31.79","3,165,430"
06/21/2021,"32.03","32.25","31.35","31.91","2,672,017"
06/18/2021,"32.87","33.25","31.52","31.93","3,968,722"
06/17/2021,"33.00","34.22","32.80","33.06","4,408,889"
06/16/2021,"34.57","34.86","32.76","33.36","7,460,809"
06/15/2021,"36.49","37.78","34.66","35.83","15,037,920"
06/14/2021,"40.70","42.97","35.65","36.00","65,483,391"
06/11/2021,"31.52","32.63","31.14","32.36","2,225,546"
06/10/2021,"31.80","32.01","30.89","31.33","1,602,443"
06/09/2021,"31.86","32.51","31.57","31.68","1,776,488"
06/08/2021,"31.99","32.10","31.31","31.83","1,839,194"
06/07/2021,"32.00","32.25","31.44","31.80","1,979,960"
06/04/2021,"32.40","32.40","31.52","31.86","4,828,234"
06/03/2021,"33.70","35.03","33.60","34.00","2,085,027"
06/02/2021,"32.48","34.32","31.96","34.23","1,911,271"
06/01/2021,"31.76","32.77","31.65","32.22","1,006,414"
05/28/2021,"32.55","32.70","31.10","31.22","1,214,831"
05/27/2021,"32.50","33.25","32.07","32.39","1,579,730"
05/26/2021,"31.68","32.70","31.62","32.35","1,786,001"
05/25/2021,"31.69","31.99","31.19","31.60","1,283,817"
05/24/2021,"31.70","32.00","30.85","31.24","2,331,881"
05/21/2021,"32.24","32.42","31.55","31.63","547,940"
05/20/2021,"32.15","32.51","31.78","31.93","641,280"
05/19/2021,"31.37","32.18","31.25","31.89","533,774"
05/18/2021,"32.49","33.23","31.99","32.06","842,675"
05/17/2021,"31.40","32.36","31.05","32.29","863,470"
05/14/2021,"31.18","31.83","30.72","31.57","1,078,950"
05/13/2021,"31.24","31.85","30.07","30.71","1,131,791"
05/12/2021,"31.48","32.39","31.19","31.39","805,486"
05/11/2021,"29.92","32.30","29.60","32.07","1,721,273"
05/10/2021,"33.50","33.59","31.42","31.45","1,493,440"
05/07/2021,"32.91","34.00","32.53","33.69","1,474,584"
05/06/2021,"33.07","33.72","31.99","32.78","1,617,489"
05/05/2021,"33.55","36.14","32.68","34.01","3,132,542"
05/04/2021,"33.88","34.00","31.30","32.59","3,438,979"
05/03/2021,"33.40","33.69","32.75","33.44","1,556,626"
04/30/2021,"33.70","34.25","32.90","33.18","941,245"
04/29/2021,"33.83","34.35","32.73","34.28","785,363"
04/28/2021,"34.38","34.38","32.62","33.53","787,930"
04/27/2021,"33.86","34.43","33.57","33.86","432,508"
04/26/2021,"33.70","34.26","33.14","33.87","510,359"
04/23/2021,"33.23","33.93","32.59","33.49","452,355"
04/22/2021,"33.35","34.00","32.81","33.01","625,007"
04/21/2021,"31.79","33.16","31.50","32.86","520,653"
04/20/2021,"31.80","32.71","31.32","32.42","862,597"
04/19/2021,"32.46","33.33","31.99","32.17","994,970"
04/16/2021,"34.06","34.15","32.52","32.60","950,052"
04/15/2021,"34.17","34.39","33.39","34.16","939,742"
04/14/2021,"33.55","34.78","33.51","33.93","802,625"
04/13/2021,"33.38","33.98","33.36","33.71","745,247"
04/12/2021,"33.71","34.06","33.03","33.67","657,094"
04/09/2021,"34.10","34.34","33.21","33.52","828,167"
04/08/2021,"34.58","34.90","33.60","34.43","588,463"
04/07/2021,"34.50","35.27","34.00","34.58","636,189"
04/06/2021,"34.37","35.86","34.26","34.66","907,342"
04/05/2021,"34.50","34.81","33.59","34.23","781,492"
04/01/2021,"33.77","34.99","33.56","33.87","1,442,273"
03/31/2021,"33.46","34.18","32.71","33.29","1,088,154"
03/30/2021,"32.00","33.37","31.32","33.26","1,425,282"
03/29/2021,"31.75","32.62","31.21","32.10","1,405,961"
03/26/2021,"32.85","32.88","31.14","31.97","1,233,337"
03/25/2021,"29.60","33.30","29.51","32.96","2,182,420"
03/24/2021,"32.12","32.77","30.71","30.80","1,297,639"
03/23/2021,"32.37","32.50","31.32","31.48","1,185,200"
03/22/2021,"32.90","33.32","32.06","32.29","1,138,451"
