Date,Open,High,Low,Close,Volume
08/11/2021,"27.00","28.46","25.44","25.89","179,725"
08/10/2021,"26.42","27.75","26.31","26.82","232,978"
08/09/2021,"26.21","26.87","25.66","26.03","89,660"
08/06/2021,"24.78","25.98","23.90","25.49","230,137"
08/05/2021,"25.66","26.50","24.25","24.94","375,985"
08/04/2021,"27.08","28.39","25.50","25.54","458,942"
08/03/2021,"24.37","26.65","24.15","26.54","232,184"
08/02/2021,"22.50","25.27","22.08","23.91","185,534"
07/30/2021,"22.13","22.78","21.13","22.18","146,704"
07/29/2021,"19.70","21.96","19.10","21.80","1,206,880"
07/28/2021,"17.68","20.39","17.68","19.85","423,194"
07/27/2021,"17.82","18.60","17.52","17.52","390,746"
07/26/2021,"19.00","20.24","17.69","17.93","352,334"
07/23/2021,"20.10","22.00","17.40","18.76","3,174,300"
