Date,Open,High,Low,Close,Volume
08/30/2021,"24.99","24.99","23.11","23.84","285,361"
08/27/2021,"26.29","26.96","24.14","24.45","473,130"
08/26/2021,"28.01","28.01","26.07","26.41","248,370"
08/25/2021,"31.43","31.43","27.13","28.00","361,918"
08/24/2021,"28.72","33.19","28.72","31.16","717,150"
08/23/2021,"29.62","30.76","28.57","28.69","270,148"
08/20/2021,"29.80","29.91","28.71","29.65","134,734"
08/19/2021,"29.04","30.03","29.04","29.92","178,178"
08/18/2021,"28.00","29.86","28.00","29.18","232,326"
08/17/2021,"30.49","30.57","27.57","27.92","301,093"
08/16/2021,"29.40","30.69","29.22","30.64","142,969"
08/13/2021,"30.16","30.50","29.06","29.65","251,323"
08/12/2021,"29.88","30.43","29.51","30.03","126,805"
08/11/2021,"29.67","30.17","28.91","30.06","185,090"
08/10/2021,"28.30","30.01","28.15","29.72","514,803"
08/09/2021,"27.53","28.25","26.63","27.81","399,127"
08/06/2021,"26.50","28.50","26.50","27.73","293,075"
08/05/2021,"24.64","26.81","24.45","26.65","186,431"
08/04/2021,"24.65","24.95","24.29","24.58","132,933"
08/03/2021,"24.78","25.21","24.14","24.78","139,821"
08/02/2021,"23.14","25.00","23.05","24.59","478,741"
07/30/2021,"23.03","23.47","22.75","23.35","107,443"
07/29/2021,"23.22","23.59","22.87","23.11","199,277"
07/28/2021,"23.28","23.53","22.59","22.97","121,419"
07/27/2021,"23.28","23.59","22.72","23.38","144,068"
07/26/2021,"23.00","23.80","23.00","23.47","239,387"
07/23/2021,"22.54","23.25","22.09","22.48","519,400"
07/22/2021,"23.03","23.53","22.46","22.73","531,904"
07/21/2021,"23.69","24.18","23.21","23.50","268,565"
07/20/2021,"22.62","23.85","22.30","23.85","223,786"
07/19/2021,"22.60","23.26","22.00","22.71","339,892"
07/16/2021,"22.53","23.45","22.01","22.90","449,964"
07/15/2021,"22.99","22.99","21.63","22.54","808,031"
07/14/2021,"23.50","23.96","23.00","23.23","495,269"
07/13/2021,"23.50","23.81","22.87","23.50","269,746"
07/12/2021,"24.40","25.15","23.14","23.50","481,570"
07/09/2021,"25.15","25.33","23.95","24.40","433,982"
07/08/2021,"26.17","26.75","24.76","24.80","425,612"
07/07/2021,"27.50","28.98","26.15","27.00","457,771"
07/06/2021,"27.00","28.12","24.75","27.00","688,526"
07/02/2021,"24.51","27.66","24.50","26.58","1,145,076"
07/01/2021,"23.25","26.35","22.21","24.15","5,959,016"
