Date,Open,High,Low,Close,Volume
08/11/2021,"67.18","67.57","60.70","62.69","972,403"
08/10/2021,"64.08","65.48","63.06","65.17","805,556"
08/09/2021,"59.65","63.08","58.52","62.18","665,020"
08/06/2021,"61.33","61.87","57.70","59.65","691,912"
08/05/2021,"59.16","63.03","57.90","62.53","1,221,575"
08/04/2021,"54.54","59.68","54.27","57.91","1,147,529"
08/03/2021,"52.42","56.13","52.25","54.54","1,205,680"
08/02/2021,"49.87","51.00","49.45","49.89","406,477"
07/30/2021,"51.69","51.80","48.92","49.26","752,087"
07/29/2021,"52.79","53.26","51.02","51.86","340,640"
07/28/2021,"52.13","53.62","52.01","52.79","322,336"
07/27/2021,"54.48","54.55","51.51","52.37","280,128"
07/26/2021,"53.10","54.94","52.88","54.20","342,633"
07/23/2021,"54.97","55.44","52.69","54.17","399,898"
07/22/2021,"54.10","55.47","53.77","55.08","374,683"
07/21/2021,"53.76","55.49","53.25","53.67","535,667"
07/20/2021,"50.37","52.93","50.00","52.64","448,302"
07/19/2021,"49.47","50.54","48.33","50.16","907,101"
07/16/2021,"51.17","51.88","49.34","50.26","965,200"
07/15/2021,"50.93","53.15","50.21","51.00","664,927"
07/14/2021,"53.00","53.50","49.50","50.00","1,806,351"
07/13/2021,"57.49","57.49","55.00","55.08","1,080,641"
07/12/2021,"59.27","60.00","57.80","58.70","828,983"
07/09/2021,"59.13","59.29","58.00","58.80","463,829"
07/08/2021,"56.72","60.26","56.56","58.73","558,537"
07/07/2021,"60.22","60.49","58.35","59.97","1,082,788"
07/06/2021,"63.82","64.02","60.15","61.42","753,963"
07/02/2021,"65.77","66.91","63.97","64.76","990,274"
07/01/2021,"62.15","70.30","62.00","67.85","2,621,306"
06/30/2021,"69.67","76.22","69.10","73.48","1,729,656"
06/29/2021,"63.74","67.70","63.57","67.46","1,096,339"
06/28/2021,"63.35","64.50","61.02","63.61","911,304"
06/25/2021,"60.30","63.34","59.61","63.26","3,627,113"
06/24/2021,"58.19","60.40","57.99","59.76","1,046,898"
06/23/2021,"57.01","58.10","54.99","56.91","1,470,320"
06/22/2021,"59.00","59.88","56.25","58.10","1,652,486"
06/21/2021,"64.76","64.77","57.18","59.67","2,761,280"
06/18/2021,"63.91","68.36","60.61","61.94","6,807,987"
06/17/2021,"50.59","58.84","47.12","57.83","15,374,040"
06/16/2021,"98.76","101.00","93.92","94.79","2,745,163"
06/15/2021,"99.36","100.50","97.98","98.20","452,601"
06/14/2021,"101.42","101.70","97.38","99.00","812,009"
06/11/2021,"96.90","100.22","96.51","97.82","1,232,171"
06/10/2021,"104.00","107.32","103.01","105.80","614,781"
06/09/2021,"109.40","111.85","104.49","105.72","773,492"
06/08/2021,"107.11","110.77","101.50","109.29","2,293,706"
06/07/2021,"117.00","125.66","117.00","125.00","1,752,538"
06/04/2021,"112.44","116.13","112.44","116.11","543,247"
06/03/2021,"112.30","114.51","111.30","114.47","381,490"
06/02/2021,"108.00","114.61","107.80","114.61","553,636"
06/01/2021,"105.42","109.00","103.77","108.28","652,474"
05/28/2021,"111.36","113.55","110.81","111.48","480,347"
05/27/2021,"112.26","113.35","109.50","110.94","536,179"
05/26/2021,"114.20","117.41","112.30","114.35","676,896"
05/25/2021,"114.62","116.30","114.46","115.67","440,863"
05/24/2021,"115.60","117.98","114.05","114.57","476,409"
