Date,Open,High,Low,Close,Volume
08/11/2021,"19.50","19.50","18.44","18.70","297,359"
08/10/2021,"18.75","19.38","18.50","19.31","390,329"
08/09/2021,"18.77","18.98","18.25","18.66","256,858"
08/06/2021,"18.78","19.00","18.31","18.42","438,979"
08/05/2021,"18.87","19.25","18.58","18.62","439,427"
08/04/2021,"20.00","20.00","18.77","18.88","554,907"
08/03/2021,"20.30","20.50","19.00","19.84","323,239"
08/02/2021,"19.60","20.42","18.94","20.36","423,983"
07/30/2021,"18.50","19.40","18.26","19.34","278,349"
07/29/2021,"18.92","19.20","18.53","18.55","727,678"
07/28/2021,"19.09","19.42","18.70","18.90","410,808"
07/27/2021,"19.01","19.35","18.76","19.00","285,287"
07/26/2021,"18.68","19.39","18.55","19.37","401,392"
07/23/2021,"19.00","19.34","18.05","19.08","585,557"
07/22/2021,"19.34","19.73","19.03","19.07","269,018"
07/21/2021,"20.00","20.00","18.52","19.68","669,635"
07/20/2021,"19.11","19.73","18.88","19.61","345,976"
07/19/2021,"18.35","19.41","17.85","18.96","508,178"
07/16/2021,"19.29","19.69","18.65","19.08","356,045"
07/15/2021,"19.46","19.93","18.10","19.51","658,616"
07/14/2021,"21.95","22.88","19.19","19.44","1,101,998"
07/13/2021,"21.61","22.89","21.57","22.16","456,864"
07/12/2021,"22.37","23.49","21.55","22.34","784,185"
07/09/2021,"19.58","22.64","19.57","22.37","1,353,615"
07/08/2021,"18.78","20.08","18.33","19.58","950,249"
07/07/2021,"19.66","20.03","18.50","19.73","874,208"
07/06/2021,"20.99","20.99","19.23","19.83","789,225"
07/02/2021,"20.10","21.25","19.73","20.88","689,351"
07/01/2021,"21.01","21.45","19.13","19.86","1,204,895"
06/30/2021,"22.74","22.74","20.20","20.59","2,006,468"
06/29/2021,"25.72","26.50","22.51","23.16","3,486,554"
06/28/2021,"21.49","25.37","21.00","24.01","2,773,282"
06/25/2021,"19.09","21.16","18.03","20.54","2,020,627"
06/24/2021,"19.39","21.00","18.85","19.64","4,887,870"
06/23/2021,"14.60","19.97","14.60","17.60","16,185,840"
